"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1959 -1.89166666666667 0 0 0 "AM" 1959
1 1959 -6.325 0 0 0 "AM" 1959
1 1991 -4.7625 0 0 0 "AM" 1991
1 1992 -9.05 0 0 0 "AM" 1992
1 1999 -3.55 0 0 0 "AM" 1999
1 2003 -6.18846153846154 0 0 0 "AM" 2003
1 2004 -7.73125 0 0 0 "AM" 2004
1 2005 -8.78913043478261 0 0 0 "AM" 2005
1 2014 -8.04166666666667 0 0 0 "AM" 2014
1 2015 -7.09285714285714 0 0 0 "AM" 2015
1 2016 -7.96190476190476 0 0 0 "AM" 2016
1 2017 -10.0947368421053 0 0 0 "AM" 2017
1 2018 -4.98541666666667 0 0 0 "AM" 2018
1 2019 -6.04736842105263 0 0 0 "AM" 2019
2 1991 -8.10625 0 0 0 "AM" 1991
2 2003 -8.3125 0 0 0 "AM" 2003
2 2004 -5.66470588235294 0 0 0 "AM" 2004
2 2005 -9.1225 0 0 0 "AM" 2005
2 2009 -11.2 0 0 0 "AM" 2009
2 2014 -6.64047619047619 0 0 0 "AM" 2014
2 2015 -4.37272727272727 0 0 0 "AM" 2015
2 2016 -1.75714285714286 0 0 0 "AM" 2016
2 2017 -10.1727272727273 0 0 0 "AM" 2017
2 2018 -1.572 0 0 0 "AM" 2018
3 1959 -1.95 0 0 0 "AM" 1959
3 1991 0.741666666666667 0 0 0 "AM" 1991
3 1992 -10.7 0 0 0 "AM" 1992
3 2003 -4.47307692307692 0 0 0 "AM" 2003
3 2004 -1.11470588235294 0 0 0 "AM" 2004
3 2005 -4.83958333333333 0 0 0 "AM" 2005
3 2014 1.274 0 0 0 "AM" 2014
3 2015 -1.23571428571429 0 0 0 "AM" 2015
3 2016 0.5625 0 0 0 "AM" 2016
3 2017 -0.762962962962963 0 0 0 "AM" 2017
3 2018 3.46086956521739 0 0 0 "AM" 2018
4 1990 2.91666666666667 0 0 0 "AM" 1990
4 1991 5.39444444444444 0 0 0 "AM" 1991
4 1992 4.40555555555556 0 0 0 "AM" 1992
4 2003 2.32083333333333 0 0 0 "AM" 2003
4 2004 3.32954545454545 0 0 0 "AM" 2004
4 2005 4.1675 0 0 0 "AM" 2005
4 2008 5.925 0 0 0 "AM" 2008
4 2014 6.46153846153846 0 0 0 "AM" 2014
4 2015 3.60714285714286 0 0 0 "AM" 2015
4 2016 6.92407407407407 0 0 0 "AM" 2016
4 2017 4.71458333333333 0 0 0 "AM" 2017
4 2018 6.3037037037037 0 0 0 "AM" 2018
5 1990 10.65 0 0 0 "AM" 1990
5 1991 8 0 0 0 "AM" 1991
5 1992 9.35 0 0 0 "AM" 1992
5 2003 10.6775 0 0 0 "AM" 2003
5 2004 8.24444444444444 0 0 0 "AM" 2004
5 2005 9.80217391304348 0 0 0 "AM" 2005
5 2013 10.8692307692308 0 0 0 "AM" 2013
5 2014 11.6384615384615 0 0 0 "AM" 2014
5 2015 10.094 0 0 0 "AM" 2015
5 2016 9.93214285714286 0 0 0 "AM" 2016
5 2017 10.225 0 0 0 "AM" 2017
5 2018 10.9678571428571 0 0 0 "AM" 2018
6 1990 13.7375 0 0 0 "AM" 1990
6 1991 14.5625 0 0 0 "AM" 1991
6 1992 11.9 0 0 0 "AM" 1992
6 2003 12.1038461538462 0 0 0 "AM" 2003
6 2004 13.3763157894737 0 0 0 "AM" 2004
6 2005 11.754 0 0 0 "AM" 2005
6 2013 14.3703703703704 0 0 0 "AM" 2013
6 2014 14.4928571428571 0 0 0 "AM" 2014
6 2015 15.8653846153846 0 0 0 "AM" 2015
6 2016 14.6104166666667 0 0 0 "AM" 2016
6 2017 14.1413793103448 0 0 0 "AM" 2017
6 2018 14.5375 0 0 0 "AM" 2018
7 1991 15.89 0 0 0 "AM" 1991
7 1992 14.62 0 0 0 "AM" 1992
7 2003 16.1673076923077 0 0 0 "AM" 2003
7 2004 15.6576923076923 0 0 0 "AM" 2004
7 2005 15.6272727272727 0 0 0 "AM" 2005
7 2013 16.9 0 0 0 "AM" 2013
7 2014 18.4788461538462 0 0 0 "AM" 2014
7 2015 18.9566666666667 0 0 0 "AM" 2015
7 2016 16.906 0 0 0 "AM" 2016
7 2017 18.8293103448276 0 0 0 "AM" 2017
7 2018 20.232 0 0 0 "AM" 2018
8 1991 19.6125 0 0 0 "AM" 1991
8 1992 16.0333333333333 0 0 0 "AM" 1992
8 2003 17.5057692307692 0 0 0 "AM" 2003
8 2004 18.305 0 0 0 "AM" 2004
8 2013 16.7685185185185 0 0 0 "AM" 2013
8 2014 20.2965517241379 0 0 0 "AM" 2014
8 2015 19.7208333333333 0 0 0 "AM" 2015
8 2016 19.4055555555556 0 0 0 "AM" 2016
8 2017 20.1603448275862 0 0 0 "AM" 2017
8 2018 17.8733333333333 0 0 0 "AM" 2018
9 1990 15.4 0 0 0 "AM" 1990
9 1991 13.7125 0 0 0 "AM" 1991
9 1992 14.5583333333333 0 0 0 "AM" 1992
9 1998 9.05 0 0 0 "AM" 1998
9 1999 14 0 0 0 "AM" 1999
9 2003 10.4236842105263 0 0 0 "AM" 2003
9 2004 13.4304347826087 0 0 0 "AM" 2004
9 2013 13.22 0 0 0 "AM" 2013
9 2014 14.9857142857143 0 0 0 "AM" 2014
9 2015 15.8833333333333 0 0 0 "AM" 2015
9 2016 12.0074074074074 0 0 0 "AM" 2016
9 2017 15.9379310344828 0 0 0 "AM" 2017
9 2018 14.9608695652174 0 0 0 "AM" 2018
10 1990 6.33 0 0 0 "AM" 1990
10 1991 10.2388888888889 0 0 0 "AM" 1991
10 1998 7.475 0 0 0 "AM" 1998
10 2002 6.67857142857143 0 0 0 "AM" 2002
10 2003 8.44411764705882 0 0 0 "AM" 2003
10 2004 7.925 0 0 0 "AM" 2004
10 2013 5.33035714285714 0 0 0 "AM" 2013
10 2014 6.76724137931035 0 0 0 "AM" 2014
10 2015 7.848 0 0 0 "AM" 2015
10 2016 6.79137931034483 0 0 0 "AM" 2016
10 2017 5.94833333333333 0 0 0 "AM" 2017
10 2018 9.09347826086957 0 0 0 "AM" 2018
11 1990 6.81 0 0 0 "AM" 1990
11 1991 0.0875 0 0 0 "AM" 1991
11 1992 -2.875 0 0 0 "AM" 1992
11 1998 4.1 0 0 0 "AM" 1998
11 2002 3.01578947368421 0 0 0 "AM" 2002
11 2003 0.0295454545454546 0 0 0 "AM" 2003
11 2004 1.07142857142857 0 0 0 "AM" 2004
11 2013 3.30434782608696 0 0 0 "AM" 2013
11 2014 1.26 0 0 0 "AM" 2014
11 2015 1.60416666666667 0 0 0 "AM" 2015
11 2016 -1.14423076923077 0 0 0 "AM" 2016
11 2017 1.558 0 0 0 "AM" 2017
11 2018 2.35 0 0 0 "AM" 2018
12 1990 -0.375 0 0 0 "AM" 1990
12 1998 -3.05 0 0 0 "AM" 1998
12 2002 -9.8375 0 0 0 "AM" 2002
12 2003 -6.96666666666667 0 0 0 "AM" 2003
12 2004 -8.99285714285714 0 0 0 "AM" 2004
12 2013 -9.79230769230769 0 0 0 "AM" 2013
12 2014 -3.8625 0 0 0 "AM" 2014
12 2015 -6.65961538461538 0 0 0 "AM" 2015
12 2016 -9.55217391304348 0 0 0 "AM" 2016
12 2017 -2.69259259259259 0 0 0 "AM" 2017
12 2018 -2.34318181818182 0 0 0 "AM" 2018
1 1896 -7.90967741935484 0 0 0 "AM" 1896
1 1897 -10.8112903225806 0 0 0 "AM" 1897
1 1922 -7.50161290322581 0 0 0 "AM" 1922
1 1929 -14.1193548387097 0 0 0 "AM" 1929
1 1930 -4.4241935483871 0 0 0 "AM" 1930
1 1932 -12.0806451612903 0 0 0 "AM" 1932
1 1933 -14.7532258064516 0 0 0 "AM" 1933
1 1934 -13.6096774193548 0 0 0 "AM" 1934
1 1935 -12.941935483871 0 0 0 "AM" 1935
1 1936 -10.7983870967742 0 0 0 "AM" 1936
1 1937 -9.68064516129032 0 0 0 "AM" 1937
1 1938 -9.10161290322581 0 0 0 "AM" 1938
1 1939 -7.25483870967742 0 0 0 "AM" 1939
1 1940 -8.91451612903226 0 0 0 "AM" 1940
1 1941 -6.95645161290323 0 0 0 "AM" 1941
1 1942 -10.4854838709677 0 0 0 "AM" 1942
1 1943 -6.0241935483871 0 0 0 "AM" 1943
1 1944 -11.3064516129032 0 0 0 "AM" 1944
1 1945 -8.7741935483871 0 0 0 "AM" 1945
1 1946 -10.7161290322581 0 0 0 "AM" 1946
1 1947 -7.38225806451613 0 0 0 "AM" 1947
1 1948 -6.25806451612903 0 0 0 "AM" 1948
1 1949 -11.9870967741935 0 0 0 "AM" 1949
1 1950 -13.8838709677419 0 0 0 "AM" 1950
1 1951 -9.03064516129032 0 0 0 "AM" 1951
1 1952 -10.1677419354839 0 0 0 "AM" 1952
1 1953 -7.55483870967742 0 0 0 "AM" 1953
1 1954 -12.3967741935484 0 0 0 "AM" 1954
