"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1974 0 26.5 0 0 0 "AO" 1974
1 1978 0 25 0 0 0 "AO" 1978
1 2016 37.1 28.05 0 0 0 "AO" 2016
1 2018 8 26.975 0 0 0 "AO" 2018
2 1974 0 28 0 0 0 "AO" 1974
2 1978 0 25.5 0 0 0 "AO" 1978
2 2004 0 27.5 0 0 0 "AO" 2004
2 2005 6.1 27.65 0 0 0 "AO" 2005
2 2016 2.55 28.675 0 0 0 "AO" 2016
2 2018 13 28.65 0 0 0 "AO" 2018
3 1974 0.5 27.875 0 0 0 "AO" 1974
3 1978 0.125 26.6875 0 0 0 "AO" 1978
3 2015 10.55 26.675 0 0 0 "AO" 2015
3 2016 0 30.3 0 0 0 "AO" 2016
3 2017 79 26.05 0 0 0 "AO" 2017
4 1974 2 26.5 0 0 0 "AO" 1974
4 1978 0 24.75 0 0 0 "AO" 1978
4 2007 1 28.1 0 0 0 "AO" 2007
4 2012 16 29.7 0 0 0 "AO" 2012
4 2016 23.1 30.1 0 0 0 "AO" 2016
4 2018 1.5 28.75 0 0 0 "AO" 2018
5 1974 0 25.6111111111111 0 0 0 "AO" 1974
5 1977 0 25.5 0 0 0 "AO" 1977
5 1978 0 23.3333333333333 0 0 0 "AO" 1978
6 1973 0 22 0 0 0 "AO" 1973
6 1974 0 23.625 0 0 0 "AO" 1974
6 1978 0 22 0 0 0 "AO" 1978
7 1973 0 19.75 0 0 0 "AO" 1973
7 1974 0 21.0833333333333 0 0 0 "AO" 1974
7 1978 0 21.9166666666667 0 0 0 "AO" 1978
7 2015 102.1 21.85 0 0 0 "AO" 2015
8 1974 0 20.5 0 0 0 "AO" 1974
8 1977 0 21.25 0 0 0 "AO" 1977
8 1978 0 20.875 0 0 0 "AO" 1978
8 2007 0 22.75 0 0 0 "AO" 2007
8 2015 0 21.5 0 0 0 "AO" 2015
9 1973 0 23.25 0 0 0 "AO" 1973
9 1974 0 23.1 0 0 0 "AO" 1974
9 1977 0.125 22.875 0 0 0 "AO" 1977
9 1978 0 23 0 0 0 "AO" 1978
9 1981 0.125 22.25 0 0 0 "AO" 1981
9 2003 0 23.775 0 0 0 "AO" 2003
10 1973 0.166666666666667 26 0 0 0 "AO" 1973
10 1974 0 24 0 0 0 "AO" 1974
10 1976 0 21.25 0 0 0 "AO" 1976
10 1977 0.0714285714285714 25.2142857142857 0 0 0 "AO" 1977
10 2004 3 25.05 0 0 0 "AO" 2004
10 2006 0 23.85 0 0 0 "AO" 2006
10 2015 1.43333333333333 26.45 0 0 0 "AO" 2015
10 2016 0 26.1 0 0 0 "AO" 2016
10 2017 0 27 0 0 0 "AO" 2017
11 1973 0.15 25.25 0 0 0 "AO" 1973
11 1976 0 25 0 0 0 "AO" 1976
11 1977 0.871428571428571 26.2142857142857 0 0 0 "AO" 1977
11 1978 1 26.8333333333333 0 0 0 "AO" 1978
11 2006 0 26.2 0 0 0 "AO" 2006
11 2015 0.25 27.825 0 0 0 "AO" 2015
11 2016 1 27.1333333333333 0 0 0 "AO" 2016
11 2017 0 27.6 0 0 0 "AO" 2017
12 1973 0 26 0 0 0 "AO" 1973
12 1976 7.9 24.5 0 0 0 "AO" 1976
12 1977 0.463636363636364 25 0 0 0 "AO" 1977
12 1978 0.166666666666667 26.5 0 0 0 "AO" 1978
12 2017 0.15 26.95 0 0 0 "AO" 2017
1 1974 0 20.5 0 0 0 "AO" 1974
2 1974 1 21 0 0 0 "AO" 1974
3 1974 0 21 0 0 0 "AO" 1974
5 1974 0 19.2 0 0 0 "AO" 1974
6 1974 0 16.75 0 0 0 "AO" 1974
7 1974 0 18 0 0 0 "AO" 1974
8 1973 0 18 0 0 0 "AO" 1973
8 1974 6.5 20 0 0 0 "AO" 1974
9 1973 0 22 0 0 0 "AO" 1973
9 1974 0 21 0 0 0 "AO" 1974
9 1981 0 23 0 0 0 "AO" 1981
10 1974 4.1 22 0 0 0 "AO" 1974
11 1973 0 22 0 0 0 "AO" 1973
12 1973 1 21.5 0 0 0 "AO" 1973
1 1974 0 17 0 0 0 "AO" 1974
2 1974 0 17.5 0 0 0 "AO" 1974
2 1978 3.3 19.1666666666667 0 0 0 "AO" 1978
3 1974 5.1 19 0 0 0 "AO" 1974
3 1978 4.52857142857143 18.6428571428571 0 0 0 "AO" 1978
3 2006 1 21 0 0 0 "AO" 2006
4 1978 0 16.5 0 0 0 "AO" 1978
5 1974 0 15.8333333333333 0 0 0 "AO" 1974
5 1978 0 16.75 0 0 0 "AO" 1978
6 1973 0 16.5 0 0 0 "AO" 1973
6 1974 0 15.375 0 0 0 "AO" 1974
7 1974 0 15.5833333333333 0 0 0 "AO" 1974
7 1979 0 15 0 0 0 "AO" 1979
8 1978 0 20.75 0 0 0 "AO" 1978
8 1980 0 18 0 0 0 "AO" 1980
9 1973 0 24 0 0 0 "AO" 1973
9 1974 0 19.6666666666667 0 0 0 "AO" 1974
9 1977 0 22.5 0 0 0 "AO" 1977
9 1978 0 21.25 0 0 0 "AO" 1978
9 1981 0 21.625 0 0 0 "AO" 1981
10 1973 21.3666666666667 18.6666666666667 0 0 0 "AO" 1973
10 1974 0.5 19.75 0 0 0 "AO" 1974
10 1977 1 23.3333333333333 0 0 0 "AO" 1977
11 1973 0.333333333333333 21.3333333333333 0 0 0 "AO" 1973
11 1977 1.66666666666667 20.1666666666667 0 0 0 "AO" 1977
11 1978 0 21.5 0 0 0 "AO" 1978
