"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1956 26.3887096774194 0 0 0 "AQ" 1956
1 1957 24.9887096774194 0 0 0 "AQ" 1957
2 1956 26.3603448275862 0 0 0 "AQ" 1956
2 1957 25.1232142857143 0 0 0 "AQ" 1957
3 1956 26.4396551724138 0 0 0 "AQ" 1956
3 1957 25.1854838709677 0 0 0 "AQ" 1957
4 1955 26.8866666666667 0 0 0 "AQ" 1955
4 1956 26.9352941176471 0 0 0 "AQ" 1956
4 1957 25.0833333333333 0 0 0 "AQ" 1957
5 1955 26.6129032258065 0 0 0 "AQ" 1955
5 1956 26.0112903225806 0 0 0 "AQ" 1956
5 1957 24.8548387096774 0 0 0 "AQ" 1957
6 1955 26.5416666666667 0 0 0 "AQ" 1955
6 1956 23.6883333333333 0 0 0 "AQ" 1956
6 1957 24.4883333333333 0 0 0 "AQ" 1957
7 1955 26.1709677419355 0 0 0 "AQ" 1955
7 1956 23.4854838709677 0 0 0 "AQ" 1956
7 1957 23.9951612903226 0 0 0 "AQ" 1957
8 1955 25.9564516129032 0 0 0 "AQ" 1955
8 1956 23.91 0 0 0 "AQ" 1956
8 1957 26.2467741935484 0 0 0 "AQ" 1957
9 1955 26.36 0 0 0 "AQ" 1955
9 1956 24.0316666666667 0 0 0 "AQ" 1956
9 1957 26.26 0 0 0 "AQ" 1957
10 1955 26.8133333333333 0 0 0 "AQ" 1955
10 1956 24.6380952380952 0 0 0 "AQ" 1956
11 1955 26.75 0 0 0 "AQ" 1955
11 1956 24.7866666666667 0 0 0 "AQ" 1956
12 1955 26.3338709677419 0 0 0 "AQ" 1955
12 1956 24.8645161290323 0 0 0 "AQ" 1956
5 1956 26.3064516129032 0 0 0 "AQ" 1956
6 1955 27.47 0 0 0 "AQ" 1955
7 1955 27.0777777777778 0 0 0 "AQ" 1955
7 1957 25.0645161290323 0 0 0 "AQ" 1957
8 1955 27.4161290322581 0 0 0 "AQ" 1955
9 1955 26.945 0 0 0 "AQ" 1955
10 1955 25.4725806451613 0 0 0 "AQ" 1955
11 1955 26.6 0 0 0 "AQ" 1955
12 1955 25.9482142857143 0 0 0 "AQ" 1955
1 1968 26.195 0 0 0 "AQ" 1968
1 1969 27.2822580645161 0 0 0 "AQ" 1969
1 1970 27.6887096774194 0 0 0 "AQ" 1970
1 1971 27.391935483871 0 0 0 "AQ" 1971
1 1972 26.6016129032258 0 0 0 "AQ" 1972
1 1973 27.7407407407407 0 0 0 "AQ" 1973
1 1978 29.4306451612903 0 0 0 "AQ" 1978
2 1968 25.6357142857143 0 0 0 "AQ" 1968
2 1969 28.0232142857143 0 0 0 "AQ" 1969
2 1970 27.937037037037 0 0 0 "AQ" 1970
2 1971 27.4517857142857 0 0 0 "AQ" 1971
2 1972 26.9120689655172 0 0 0 "AQ" 1972
2 1973 28.7634615384615 0 0 0 "AQ" 1973
2 1978 31.2589285714286 0 0 0 "AQ" 1978
3 1968 25.3983870967742 0 0 0 "AQ" 1968
3 1969 27.8709677419355 0 0 0 "AQ" 1969
3 1970 27.1790322580645 0 0 0 "AQ" 1970
3 1971 27.0661290322581 0 0 0 "AQ" 1971
3 1972 27 0 0 0 "AQ" 1972
3 1973 28.4689655172414 0 0 0 "AQ" 1973
3 1974 29.6806451612903 0 0 0 "AQ" 1974
3 1976 30.1983333333333 0 0 0 "AQ" 1976
3 1977 30.0327586206897 0 0 0 "AQ" 1977
3 1978 29.3290322580645 0 0 0 "AQ" 1978
4 1968 24.425 0 0 0 "AQ" 1968
4 1969 27.31 0 0 0 "AQ" 1969
4 1970 27.3683333333333 0 0 0 "AQ" 1970
4 1971 26.9416666666667 0 0 0 "AQ" 1971
4 1972 27.425 0 0 0 "AQ" 1972
4 1973 28.0296296296296 0 0 0 "AQ" 1973
4 1974 29.2583333333333 0 0 0 "AQ" 1974
4 1975 29.3116666666667 0 0 0 "AQ" 1975
4 1976 29.4796296296296 0 0 0 "AQ" 1976
4 1977 30.0283333333333 0 0 0 "AQ" 1977
4 1978 29.7083333333333 0 0 0 "AQ" 1978
5 1968 26.1467741935484 0 0 0 "AQ" 1968
5 1969 26.491935483871 0 0 0 "AQ" 1969
5 1970 27.4112903225806 0 0 0 "AQ" 1970
5 1971 26.7274193548387 0 0 0 "AQ" 1971
5 1972 26.4172413793103 0 0 0 "AQ" 1972
5 1973 27.1972222222222 0 0 0 "AQ" 1973
5 1974 29.3193548387097 0 0 0 "AQ" 1974
5 1976 28.1338709677419 0 0 0 "AQ" 1976
5 1977 28.4403225806452 0 0 0 "AQ" 1977
5 1978 29.0306451612903 0 0 0 "AQ" 1978
6 1968 26.0683333333333 0 0 0 "AQ" 1968
6 1969 26.6816666666667 0 0 0 "AQ" 1969
6 1970 26.61 0 0 0 "AQ" 1970
6 1971 25.95 0 0 0 "AQ" 1971
6 1972 26.2928571428571 0 0 0 "AQ" 1972
6 1973 26.5236842105263 0 0 0 "AQ" 1973
6 1976 28.2333333333333 0 0 0 "AQ" 1976
6 1977 27.9396551724138 0 0 0 "AQ" 1977
7 1968 25.5033333333333 0 0 0 "AQ" 1968
7 1969 25.5145161290323 0 0 0 "AQ" 1969
7 1970 26.1677419354839 0 0 0 "AQ" 1970
7 1971 25.6693548387097 0 0 0 "AQ" 1971
7 1972 25.1883333333333 0 0 0 "AQ" 1972
7 1973 26.4516129032258 0 0 0 "AQ" 1973
7 1976 27.4145161290323 0 0 0 "AQ" 1976
7 1977 27.045 0 0 0 "AQ" 1977
8 1967 25.6048387096774 0 0 0 "AQ" 1967
8 1968 24.9564516129032 0 0 0 "AQ" 1968
8 1969 25.7633333333333 0 0 0 "AQ" 1969
8 1970 25.7125 0 0 0 "AQ" 1970
8 1971 25.7564516129032 0 0 0 "AQ" 1971
8 1972 25.9766666666667 0 0 0 "AQ" 1972
8 1973 27.0709677419355 0 0 0 "AQ" 1973
8 1976 28.362962962963 0 0 0 "AQ" 1976
8 1977 27.0260869565217 0 0 0 "AQ" 1977
9 1967 26.7116666666667 0 0 0 "AQ" 1967
9 1969 25.6925925925926 0 0 0 "AQ" 1969
9 1970 25.8283333333333 0 0 0 "AQ" 1970
9 1971 25.2583333333333 0 0 0 "AQ" 1971
9 1972 26.1196428571429 0 0 0 "AQ" 1972
9 1973 26.9516666666667 0 0 0 "AQ" 1973
9 1976 29.0083333333333 0 0 0 "AQ" 1976
9 1977 27.94375 0 0 0 "AQ" 1977
10 1967 26.2948275862069 0 0 0 "AQ" 1967
10 1968 26.2774193548387 0 0 0 "AQ" 1968
10 1969 26.7758064516129 0 0 0 "AQ" 1969
10 1970 26.7241379310345 0 0 0 "AQ" 1970
10 1971 26.5596774193548 0 0 0 "AQ" 1971
10 1972 26.7689655172414 0 0 0 "AQ" 1972
10 1973 26.1016129032258 0 0 0 "AQ" 1973
10 1976 29.3816666666667 0 0 0 "AQ" 1976
10 1977 28.3016129032258 0 0 0 "AQ" 1977
11 1967 25.9133333333333 0 0 0 "AQ" 1967
11 1968 26.6465517241379 0 0 0 "AQ" 1968
11 1969 27.335 0 0 0 "AQ" 1969
11 1970 24.4637931034483 0 0 0 "AQ" 1970
11 1971 26.5983333333333 0 0 0 "AQ" 1971
11 1972 26.9033333333333 0 0 0 "AQ" 1972
11 1973 26.7566666666667 0 0 0 "AQ" 1973
11 1976 29.8716666666667 0 0 0 "AQ" 1976
11 1977 28.8266666666667 0 0 0 "AQ" 1977
12 1967 26.1589285714286 0 0 0 "AQ" 1967
12 1968 27.6161290322581 0 0 0 "AQ" 1968
12 1969 27.45 0 0 0 "AQ" 1969
12 1970 26.1822580645161 0 0 0 "AQ" 1970
12 1971 26.6887096774194 0 0 0 "AQ" 1971
12 1972 27.8283333333333 0 0 0 "AQ" 1972
12 1976 29.2672413793103 0 0 0 "AQ" 1976
12 1977 29.408 0 0 0 "AQ" 1977
1 1969 28.0564516129032 0 0 0 "AQ" 1969
