"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1980 26.5 0 0 0 "AR" 1980
1 1981 25.7 0 0 0 "AR" 1981
1 1982 27.95 0 0 0 "AR" 1982
1 1983 27.4136363636364 0 0 0 "AR" 1983
1 1984 28.13 0 0 0 "AR" 1984
1 1992 25.175 0 0 0 "AR" 1992
1 1993 27.65 0 0 0 "AR" 1993
1 1994 26.73 0 0 0 "AR" 1994
1 1995 26.7666666666667 0 0 0 "AR" 1995
1 1996 27.5666666666667 0 0 0 "AR" 1996
1 1997 27.7 0 0 0 "AR" 1997
2 1979 25 0 0 0 "AR" 1979
2 1980 26.2272727272727 0 0 0 "AR" 1980
2 1981 25.3333333333333 0 0 0 "AR" 1981
2 1982 24.45 0 0 0 "AR" 1982
2 1983 24.1071428571429 0 0 0 "AR" 1983
2 1984 27.65 0 0 0 "AR" 1984
2 1992 21.55 0 0 0 "AR" 1992
2 1993 24.6071428571429 0 0 0 "AR" 1993
2 1994 24.51 0 0 0 "AR" 1994
2 1995 23.8857142857143 0 0 0 "AR" 1995
2 1996 24.85 0 0 0 "AR" 1996
3 1979 22.0416666666667 0 0 0 "AR" 1979
3 1980 26.6428571428571 0 0 0 "AR" 1980
3 1981 23.6 0 0 0 "AR" 1981
3 1982 24.4777777777778 0 0 0 "AR" 1982
3 1983 22.3388888888889 0 0 0 "AR" 1983
3 1984 23.2863636363636 0 0 0 "AR" 1984
3 1992 24.72 0 0 0 "AR" 1992
3 1993 24.45 0 0 0 "AR" 1993
3 1994 22.4166666666667 0 0 0 "AR" 1994
3 1995 23.3125 0 0 0 "AR" 1995
3 1996 23.7666666666667 0 0 0 "AR" 1996
4 1979 18.65 0 0 0 "AR" 1979
4 1980 25.4583333333333 0 0 0 "AR" 1980
4 1981 18.9166666666667 0 0 0 "AR" 1981
4 1982 21.2833333333333 0 0 0 "AR" 1982
4 1983 19.78125 0 0 0 "AR" 1983
4 1984 19.1444444444444 0 0 0 "AR" 1984
4 1992 17.13 0 0 0 "AR" 1992
4 1993 19.9285714285714 0 0 0 "AR" 1993
4 1994 21.45 0 0 0 "AR" 1994
4 1995 16.6214285714286 0 0 0 "AR" 1995
4 1996 21.2 0 0 0 "AR" 1996
5 1977 10.5 0 0 0 "AR" 1977
5 1979 15.875 0 0 0 "AR" 1979
5 1980 19.6923076923077 0 0 0 "AR" 1980
5 1981 21.2777777777778 0 0 0 "AR" 1981
5 1983 16.59 0 0 0 "AR" 1983
5 1984 19.2166666666667 0 0 0 "AR" 1984
5 1992 17.3388888888889 0 0 0 "AR" 1992
5 1993 15.275 0 0 0 "AR" 1993
5 1994 18.6227272727273 0 0 0 "AR" 1994
5 1995 16.755 0 0 0 "AR" 1995
5 1996 17.18 0 0 0 "AR" 1996
6 1979 13.6333333333333 0 0 0 "AR" 1979
6 1980 17.75 0 0 0 "AR" 1980
6 1981 12.8333333333333 0 0 0 "AR" 1981
6 1983 12.0125 0 0 0 "AR" 1983
6 1984 12.425 0 0 0 "AR" 1984
6 1992 15.6833333333333 0 0 0 "AR" 1992
6 1993 14.1444444444444 0 0 0 "AR" 1993
6 1994 18.05625 0 0 0 "AR" 1994
6 1995 16.255 0 0 0 "AR" 1995
6 1996 12.795 0 0 0 "AR" 1996
7 1979 18.6 0 0 0 "AR" 1979
7 1980 17.5 0 0 0 "AR" 1980
7 1981 13.1666666666667 0 0 0 "AR" 1981
7 1983 10.9166666666667 0 0 0 "AR" 1983
7 1984 13.6833333333333 0 0 0 "AR" 1984
7 1992 7.18333333333333 0 0 0 "AR" 1992
7 1993 14.95 0 0 0 "AR" 1993
7 1994 14.93 0 0 0 "AR" 1994
7 1995 17.2785714285714 0 0 0 "AR" 1995
7 1996 11.3583333333333 0 0 0 "AR" 1996
8 1978 15.5 0 0 0 "AR" 1978
8 1979 17.1 0 0 0 "AR" 1979
8 1980 17.1666666666667 0 0 0 "AR" 1980
8 1981 18.1363636363636 0 0 0 "AR" 1981
8 1983 16.4285714285714 0 0 0 "AR" 1983
8 1984 11.85625 0 0 0 "AR" 1984
8 1992 12.5 0 0 0 "AR" 1992
8 1993 17.375 0 0 0 "AR" 1993
8 1994 15.13 0 0 0 "AR" 1994
8 1995 13.95 0 0 0 "AR" 1995
8 1996 19.7833333333333 0 0 0 "AR" 1996
9 1979 14.2 0 0 0 "AR" 1979
9 1980 13.25 0 0 0 "AR" 1980
9 1981 15.0833333333333 0 0 0 "AR" 1981
9 1983 14.07 0 0 0 "AR" 1983
9 1984 18.3333333333333 0 0 0 "AR" 1984
9 1992 17.42 0 0 0 "AR" 1992
9 1993 17.125 0 0 0 "AR" 1993
9 1994 19.845 0 0 0 "AR" 1994
9 1995 17.7125 0 0 0 "AR" 1995
9 1996 14.3625 0 0 0 "AR" 1996
10 1979 20.7727272727273 0 0 0 "AR" 1979
10 1980 15.5833333333333 0 0 0 "AR" 1980
10 1981 16.2857142857143 0 0 0 "AR" 1981
10 1983 24.1 0 0 0 "AR" 1983
10 1992 19.175 0 0 0 "AR" 1992
10 1993 17.9 0 0 0 "AR" 1993
10 1994 19.41 0 0 0 "AR" 1994
10 1995 19.5357142857143 0 0 0 "AR" 1995
10 1996 20.99375 0 0 0 "AR" 1996
11 1979 19.3571428571429 0 0 0 "AR" 1979
11 1980 22.875 0 0 0 "AR" 1980
11 1981 23.1153846153846 0 0 0 "AR" 1981
11 1982 23.48 0 0 0 "AR" 1982
11 1983 23.9 0 0 0 "AR" 1983
11 1992 20.6083333333333 0 0 0 "AR" 1992
11 1993 22.9214285714286 0 0 0 "AR" 1993
11 1994 23.45 0 0 0 "AR" 1994
11 1995 24.7 0 0 0 "AR" 1995
11 1996 25.125 0 0 0 "AR" 1996
12 1979 23.9375 0 0 0 "AR" 1979
12 1980 24.8333333333333 0 0 0 "AR" 1980
12 1981 22.3 0 0 0 "AR" 1981
12 1982 25.575 0 0 0 "AR" 1982
12 1983 28.15 0 0 0 "AR" 1983
12 1992 23.66875 0 0 0 "AR" 1992
12 1993 23.8625 0 0 0 "AR" 1993
12 1994 29.6583333333333 0 0 0 "AR" 1994
12 1995 26.8555555555556 0 0 0 "AR" 1995
12 1996 24.7909090909091 0 0 0 "AR" 1996
1 1968 25.5227272727273 0 0 0 "AR" 1968
1 1979 27.4166666666667 0 0 0 "AR" 1979
1 1980 28.2083333333333 0 0 0 "AR" 1980
1 1981 25.6818181818182 0 0 0 "AR" 1981
1 1982 28.55 0 0 0 "AR" 1982
1 1983 28.575 0 0 0 "AR" 1983
1 1984 27.8666666666667 0 0 0 "AR" 1984
1 1988 26.375 0 0 0 "AR" 1988
1 1989 28.2214285714286 0 0 0 "AR" 1989
1 1990 28.21875 0 0 0 "AR" 1990
1 1991 24 0 0 0 "AR" 1991
1 1992 25.6875 0 0 0 "AR" 1992
1 1993 28.0214285714286 0 0 0 "AR" 1993
1 1994 26.8166666666667 0 0 0 "AR" 1994
1 1995 26.735 0 0 0 "AR" 1995
1 1996 27.2136363636364 0 0 0 "AR" 1996
1 1997 29.2727272727273 0 0 0 "AR" 1997
1 1999 26.2076923076923 0 0 0 "AR" 1999
1 2000 27.646875 0 0 0 "AR" 2000
1 2001 25.5 0 0 0 "AR" 2001
1 2002 26.775 0 0 0 "AR" 2002
1 2003 26.3807692307692 0 0 0 "AR" 2003
1 2004 26.8035714285714 0 0 0 "AR" 2004
