"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1997 0 17.9227272727273 0 0 0 "BA" 1997
1 1998 0 16.4857142857143 0 0 0 "BA" 1998
1 2002 1.5 20.9 0 0 0 "BA" 2002
1 2004 3.6 21.5 0 0 0 "BA" 2004
1 2005 4.1 18.8 0 0 0 "BA" 2005
1 2007 5.1 14.7 0 0 0 "BA" 2007
1 2008 0.5 16.05 0 0 0 "BA" 2008
1 2011 1 22.1 0 0 0 "BA" 2011
1 2019 0.6 20.65 0 0 0 "BA" 2019
2 1994 27.9 16.05 0 0 0 "BA" 1994
2 1995 163.1 18.65 0 0 0 "BA" 1995
2 1997 0 16.6590909090909 0 0 0 "BA" 1997
2 1998 0 19.7958333333333 0 0 0 "BA" 1998
2 2004 0 19.45 0 0 0 "BA" 2004
2 2005 3.95 18.775 0 0 0 "BA" 2005
2 2007 1.36666666666667 18.0833333333333 0 0 0 "BA" 2007
2 2011 0 24.4 0 0 0 "BA" 2011
2 2018 0.9 20.375 0 0 0 "BA" 2018
3 1983 116.45 20.225 0 0 0 "BA" 1983
3 1997 0 19.7538461538462 0 0 0 "BA" 1997
3 1998 0 22.9 0 0 0 "BA" 1998
3 2001 1.5 22.15 0 0 0 "BA" 2001
3 2002 0.8 29 0 0 0 "BA" 2002
3 2005 6.45 19.125 0 0 0 "BA" 2005
3 2006 1.8 25.8 0 0 0 "BA" 2006
3 2009 0.266666666666667 20.9166666666667 0 0 0 "BA" 2009
3 2012 1.8 19.225 0 0 0 "BA" 2012
3 2014 0 24.6 0 0 0 "BA" 2014
3 2015 1 23 0 0 0 "BA" 2015
3 2018 2.5 21.4 0 0 0 "BA" 2018
4 1994 50 30.45 0 0 0 "BA" 1994
4 1997 0 23.746875 0 0 0 "BA" 1997
4 1998 0 26.990625 0 0 0 "BA" 1998
4 2003 0 30.2 0 0 0 "BA" 2003
4 2006 2.05 26.025 0 0 0 "BA" 2006
4 2007 2.3 23.9 0 0 0 "BA" 2007
4 2008 68.6 23.675 0 0 0 "BA" 2008
4 2009 1 26.7 0 0 0 "BA" 2009
4 2010 0 31.7 0 0 0 "BA" 2010
4 2013 0 28.45 0 0 0 "BA" 2013
4 2016 0.8 26.9 0 0 0 "BA" 2016
5 1997 0 30.0113636363636 0 0 0 "BA" 1997
5 1998 1.295 31.08 0 0 0 "BA" 1998
5 2013 2 24.3 0 0 0 "BA" 2013
5 2014 0 30.45 0 0 0 "BA" 2014
6 1983 0 30.85 0 0 0 "BA" 1983
6 1996 0 32.4 0 0 0 "BA" 1996
6 1997 0 33.7625 0 0 0 "BA" 1997
6 1998 0 34.6947368421053 0 0 0 "BA" 1998
7 1984 0 33.25 0 0 0 "BA" 1984
7 1997 0 34.8925 0 0 0 "BA" 1997
7 1998 0 35.5117647058824 0 0 0 "BA" 1998
8 1984 40.9 33.35 0 0 0 "BA" 1984
8 1997 0 33.603125 0 0 0 "BA" 1997
8 1998 0 36.75 0 0 0 "BA" 1998
8 2004 0 35.15 0 0 0 "BA" 2004
8 2013 50 35.75 0 0 0 "BA" 2013
9 1997 0 32.9818181818182 0 0 0 "BA" 1997
9 1998 0 34.5970588235294 0 0 0 "BA" 1998
10 1997 0 29.93 0 0 0 "BA" 1997
10 1998 0 30.91 0 0 0 "BA" 1998
10 2002 25 31.375 0 0 0 "BA" 2002
10 2010 0 30.65 0 0 0 "BA" 2010
10 2018 0 29.7 0 0 0 "BA" 2018
11 1984 1 23.55 0 0 0 "BA" 1984
11 1997 0 23.0357142857143 0 0 0 "BA" 1997
11 2000 13.5 21.1 0 0 0 "BA" 2000
11 2002 14 26.75 0 0 0 "BA" 2002
11 2003 0 21.25 0 0 0 "BA" 2003
11 2006 32 19.25 0 0 0 "BA" 2006
11 2010 9.1 24.6 0 0 0 "BA" 2010
11 2011 4.1 19.55 0 0 0 "BA" 2011
11 2013 24.9 20.05 0 0 0 "BA" 2013
11 2014 0.5 24.9 0 0 0 "BA" 2014
11 2018 0 26.4333333333333 0 0 0 "BA" 2018
12 1996 0 19.76 0 0 0 "BA" 1996
12 1997 0 19.6125 0 0 0 "BA" 1997
12 2000 5.8 19.15 0 0 0 "BA" 2000
12 2002 0.4 21.85 0 0 0 "BA" 2002
12 2003 0.8 23.2 0 0 0 "BA" 2003
12 2006 7.1 18.9 0 0 0 "BA" 2006
12 2008 0 20.45 0 0 0 "BA" 2008
12 2009 18.4 21.05 0 0 0 "BA" 2009
12 2018 0 21.8 0 0 0 "BA" 2018
