"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1975 7.1 25 0 0 0 "BB" 1975
1 1977 30.6333333333333 25.5 0 0 0 "BB" 1977
1 1978 18.88 25.4 0 0 0 "BB" 1978
1 1979 44.95 24 0 0 0 "BB" 1979
1 1981 1.23333333333333 25.7083333333333 0 0 0 "BB" 1981
1 1982 5.7 24.9357142857143 0 0 0 "BB" 1982
1 1983 4 25.3557692307692 0 0 0 "BB" 1983
1 1984 4.06 25.01 0 0 0 "BB" 1984
1 1985 1.29565217391304 24.75 0 0 0 "BB" 1985
1 1986 1.98095238095238 24.9571428571429 0 0 0 "BB" 1986
1 1987 0.71 25.525 0 0 0 "BB" 1987
1 1988 1.72941176470588 25.0117647058824 0 0 0 "BB" 1988
1 1989 1.91052631578947 25.4184210526316 0 0 0 "BB" 1989
1 1990 4.73333333333333 25.1888888888889 0 0 0 "BB" 1990
1 1991 0.707142857142857 26.0892857142857 0 0 0 "BB" 1991
1 1992 1.75789473684211 25.8421052631579 0 0 0 "BB" 1992
1 1993 3.08695652173913 25.8021739130435 0 0 0 "BB" 1993
1 1994 2.80869565217391 25.7108695652174 0 0 0 "BB" 1994
1 1995 2.87777777777778 25.925 0 0 0 "BB" 1995
1 1996 1.12 26.08 0 0 0 "BB" 1996
1 1997 1.935 25.965 0 0 0 "BB" 1997
1 1998 1.4448275862069 26.7103448275862 0 0 0 "BB" 1998
1 1999 1.75555555555556 25.9814814814815 0 0 0 "BB" 1999
1 2000 2.78 25.445 0 0 0 "BB" 2000
1 2001 1.78333333333333 25.675 0 0 0 "BB" 2001
1 2002 1.44782608695652 26.4217391304348 0 0 0 "BB" 2002
1 2003 2.57894736842105 26.5368421052632 0 0 0 "BB" 2003
1 2004 0.94 26.428 0 0 0 "BB" 2004
1 2008 2.87307692307692 26.4230769230769 0 0 0 "BB" 2008
1 2010 0.855555555555556 27.2240740740741 0 0 0 "BB" 2010
1 2018 0.525 26.3375 0 0 0 "BB" 2018
1 2019 1.43333333333333 24.75 0 0 0 "BB" 2019
2 1976 2 24.5 0 0 0 "BB" 1976
2 1977 0.5 25.75 0 0 0 "BB" 1977
2 1979 40 26 0 0 0 "BB" 1979
2 1981 2.85 26.4166666666667 0 0 0 "BB" 1981
2 1982 4.072 25.06 0 0 0 "BB" 1982
2 1983 0.468181818181818 25.2409090909091 0 0 0 "BB" 1983
2 1984 1.58 25.688 0 0 0 "BB" 1984
2 1985 2.575 25.075 0 0 0 "BB" 1985
2 1986 1.20952380952381 24.1833333333333 0 0 0 "BB" 1986
2 1987 0.890909090909091 25.5045454545455 0 0 0 "BB" 1987
2 1988 1.76875 25.646875 0 0 0 "BB" 1988
2 1989 1.68095238095238 25.1952380952381 0 0 0 "BB" 1989
2 1990 3.83125 24.59375 0 0 0 "BB" 1990
2 1991 1.40769230769231 26.2423076923077 0 0 0 "BB" 1991
2 1992 3 25.6545454545455 0 0 0 "BB" 1992
2 1993 2.21 25.72 0 0 0 "BB" 1993
2 1994 1.74 25.874 0 0 0 "BB" 1994
2 1995 2 25.8159090909091 0 0 0 "BB" 1995
2 1996 0.945 26.5275 0 0 0 "BB" 1996
2 1997 0.905 25.9025 0 0 0 "BB" 1997
2 1998 0.265217391304348 27.0021739130435 0 0 0 "BB" 1998
2 1999 0.992 25.546 0 0 0 "BB" 1999
2 2000 3.376 25.156 0 0 0 "BB" 2000
2 2001 1.44347826086957 25.454347826087 0 0 0 "BB" 2001
2 2002 4.19375 25.70625 0 0 0 "BB" 2002
