"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1961 24.5758064516129 0 0 0 "BC" 1961
1 1962 25.7467741935484 0 0 0 "BC" 1962
1 1963 24.1629032258065 0 0 0 "BC" 1963
1 1965 24.8306451612903 0 0 0 "BC" 1965
1 1966 25.8112903225806 0 0 0 "BC" 1966
1 1967 24.3177419354839 0 0 0 "BC" 1967
1 1970 27.1693548387097 0 0 0 "BC" 1970
1 1971 23.5758064516129 0 0 0 "BC" 1971
1 1972 23.8933333333333 0 0 0 "BC" 1972
1 1973 27.5145161290323 0 0 0 "BC" 1973
1 1974 23.4433333333333 0 0 0 "BC" 1974
1 1975 24.6629032258065 0 0 0 "BC" 1975
1 1976 24.0048387096774 0 0 0 "BC" 1976
1 1977 25.2383333333333 0 0 0 "BC" 1977
1 1978 25.0178571428571 0 0 0 "BC" 1978
1 1979 25.318 0 0 0 "BC" 1979
1 1980 26.4683333333333 0 0 0 "BC" 1980
1 1981 25.1467741935484 0 0 0 "BC" 1981
1 1982 26.6161290322581 0 0 0 "BC" 1982
1 1983 25.9838709677419 0 0 0 "BC" 1983
1 1984 26.6 0 0 0 "BC" 1984
1 1985 26.758064516129 0 0 0 "BC" 1985
1 1986 25.6016666666667 0 0 0 "BC" 1986
1 1987 27.3193548387097 0 0 0 "BC" 1987
1 1988 26.6725806451613 0 0 0 "BC" 1988
1 1990 25.0612903225806 0 0 0 "BC" 1990
2 1961 23.9392857142857 0 0 0 "BC" 1961
2 1962 25.2607142857143 0 0 0 "BC" 1962
2 1963 24.3821428571429 0 0 0 "BC" 1963
2 1965 26.1928571428571 0 0 0 "BC" 1965
2 1966 24.6535714285714 0 0 0 "BC" 1966
2 1967 24.2392857142857 0 0 0 "BC" 1967
2 1970 26.5482142857143 0 0 0 "BC" 1970
2 1971 25.1192307692308 0 0 0 "BC" 1971
2 1972 24.6833333333333 0 0 0 "BC" 1972
2 1973 26.0589285714286 0 0 0 "BC" 1973
2 1974 23.8785714285714 0 0 0 "BC" 1974
2 1975 25.3267857142857 0 0 0 "BC" 1975
2 1976 23.7844827586207 0 0 0 "BC" 1976
2 1977 23.8696428571429 0 0 0 "BC" 1977
2 1978 23.9596153846154 0 0 0 "BC" 1978
2 1979 25.3825 0 0 0 "BC" 1979
2 1980 24.6478260869565 0 0 0 "BC" 1980
2 1981 24.1520833333333 0 0 0 "BC" 1981
2 1982 26.4803571428571 0 0 0 "BC" 1982
2 1983 27.1428571428571 0 0 0 "BC" 1983
2 1984 25.7620689655172 0 0 0 "BC" 1984
2 1985 24.9303571428571 0 0 0 "BC" 1985
2 1986 24.7464285714286 0 0 0 "BC" 1986
2 1987 26.9767857142857 0 0 0 "BC" 1987
2 1988 25.8017857142857 0 0 0 "BC" 1988
2 1989 23.9388888888889 0 0 0 "BC" 1989
2 1990 25.3375 0 0 0 "BC" 1990
3 1961 23.7887096774194 0 0 0 "BC" 1961
3 1962 25.2161290322581 0 0 0 "BC" 1962
3 1963 23.9709677419355 0 0 0 "BC" 1963
3 1965 25.1467741935484 0 0 0 "BC" 1965
3 1966 23.2596774193548 0 0 0 "BC" 1966
3 1967 23.6870967741935 0 0 0 "BC" 1967
3 1970 26.2935483870968 0 0 0 "BC" 1970
3 1971 25.0870967741935 0 0 0 "BC" 1971
3 1972 23.0369565217391 0 0 0 "BC" 1972
3 1973 25.7322580645161 0 0 0 "BC" 1973
3 1974 23.258064516129 0 0 0 "BC" 1974
3 1975 24.2741935483871 0 0 0 "BC" 1975
3 1976 23.5838709677419 0 0 0 "BC" 1976
3 1977 23.3322580645161 0 0 0 "BC" 1977
3 1978 24.2307692307692 0 0 0 "BC" 1978
3 1979 24.8709677419355 0 0 0 "BC" 1979
3 1980 24.3693548387097 0 0 0 "BC" 1980
3 1981 23.475 0 0 0 "BC" 1981
3 1982 25.9758064516129 0 0 0 "BC" 1982
3 1983 26.5032258064516 0 0 0 "BC" 1983
3 1984 25.3290322580645 0 0 0 "BC" 1984
3 1985 25.0516129032258 0 0 0 "BC" 1985
3 1986 24.5806451612903 0 0 0 "BC" 1986
3 1987 26.4193548387097 0 0 0 "BC" 1987
3 1988 25.0064516129032 0 0 0 "BC" 1988
3 1989 24.09 0 0 0 "BC" 1989
3 1990 25.4387096774194 0 0 0 "BC" 1990
4 1961 22.5916666666667 0 0 0 "BC" 1961
4 1962 23.185 0 0 0 "BC" 1962
4 1963 22.1816666666667 0 0 0 "BC" 1963
4 1965 23.0783333333333 0 0 0 "BC" 1965
4 1966 21.8933333333333 0 0 0 "BC" 1966
4 1967 23.4516666666667 0 0 0 "BC" 1967
4 1970 24.2733333333333 0 0 0 "BC" 1970
4 1971 23.7966666666667 0 0 0 "BC" 1971
4 1972 22.6583333333333 0 0 0 "BC" 1972
4 1973 24.26 0 0 0 "BC" 1973
4 1974 21.735 0 0 0 "BC" 1974
4 1975 22.4416666666667 0 0 0 "BC" 1975
4 1976 22.44 0 0 0 "BC" 1976
4 1977 21.6883333333333 0 0 0 "BC" 1977
4 1978 22.4038461538462 0 0 0 "BC" 1978
4 1979 23.7483333333333 0 0 0 "BC" 1979
4 1980 22.32 0 0 0 "BC" 1980
4 1981 21.8576923076923 0 0 0 "BC" 1981
4 1982 23.798275862069 0 0 0 "BC" 1982
4 1983 23.6866666666667 0 0 0 "BC" 1983
4 1984 23.27 0 0 0 "BC" 1984
4 1985 23.3766666666667 0 0 0 "BC" 1985
4 1986 23.0137931034483 0 0 0 "BC" 1986
4 1987 25.545 0 0 0 "BC" 1987
4 1988 24.0196428571429 0 0 0 "BC" 1988
4 1989 22.2758620689655 0 0 0 "BC" 1989
4 1990 23.4083333333333 0 0 0 "BC" 1990
5 1961 20.6274193548387 0 0 0 "BC" 1961
5 1962 17.7854838709677 0 0 0 "BC" 1962
5 1963 16.8338709677419 0 0 0 "BC" 1963
5 1965 17.9096774193548 0 0 0 "BC" 1965
5 1966 18.0903225806452 0 0 0 "BC" 1966
5 1967 19.8854838709677 0 0 0 "BC" 1967
5 1970 21.1277777777778 0 0 0 "BC" 1970
5 1971 19.3032258064516 0 0 0 "BC" 1971
5 1972 18.1529411764706 0 0 0 "BC" 1972
5 1973 20.3884615384615 0 0 0 "BC" 1973
5 1974 17.741935483871 0 0 0 "BC" 1974
