"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 2000 0 18.0214285714286 0 0 0 "BM" 2000
1 2003 0 18.32 0 0 0 "BM" 2003
1 2004 0 17.9928571428571 0 0 0 "BM" 2004
1 2017 0 20 0 0 0 "BM" 2017
1 2018 0 17.35 0 0 0 "BM" 2018
1 2019 0 19.62 0 0 0 "BM" 2019
2 1992 8.9 19.5 0 0 0 "BM" 1992
2 1998 0 20.95 0 0 0 "BM" 1998
2 2003 0 20.35 0 0 0 "BM" 2003
2 2004 0 20.0611111111111 0 0 0 "BM" 2004
2 2005 25 21.6 0 0 0 "BM" 2005
2 2015 0 22.9666666666667 0 0 0 "BM" 2015
2 2017 0 20.75 0 0 0 "BM" 2017
2 2018 0 19.4166666666667 0 0 0 "BM" 2018
3 1982 0 22.2 0 0 0 "BM" 1982
3 1994 0 22.55 0 0 0 "BM" 1994
3 1996 0 21.4 0 0 0 "BM" 1996
3 1997 0 24.375 0 0 0 "BM" 1997
3 2003 0 22.525 0 0 0 "BM" 2003
3 2004 0 24.125 0 0 0 "BM" 2004
3 2005 0 25.05 0 0 0 "BM" 2005
3 2015 0 26.025 0 0 0 "BM" 2015
3 2017 0 22.5375 0 0 0 "BM" 2017
3 2018 0 23.625 0 0 0 "BM" 2018
4 1994 27.05 28.625 0 0 0 "BM" 1994
4 1995 0 28.325 0 0 0 "BM" 1995
4 1997 0 23 0 0 0 "BM" 1997
4 2003 0 26.67 0 0 0 "BM" 2003
4 2004 0 25.2076923076923 0 0 0 "BM" 2004
4 2005 0 25.65 0 0 0 "BM" 2005
4 2015 0 26.15 0 0 0 "BM" 2015
4 2016 7.1 23.2 0 0 0 "BM" 2016
4 2017 7.66666666666667 25.975 0 0 0 "BM" 2017
4 2018 0 28.1 0 0 0 "BM" 2018
5 1982 17.55 27.05 0 0 0 "BM" 1982
5 1992 5.45 25.625 0 0 0 "BM" 1992
5 1994 0 31.75 0 0 0 "BM" 1994
5 1996 0 28.6 0 0 0 "BM" 1996
5 2003 0 26.6 0 0 0 "BM" 2003
5 2004 0 27.375 0 0 0 "BM" 2004
5 2005 0 31.9 0 0 0 "BM" 2005
5 2015 19.42 28.02 0 0 0 "BM" 2015
5 2017 1.66666666666667 27 0 0 0 "BM" 2017
5 2018 19.68 26.225 0 0 0 "BM" 2018
6 1982 35.6666666666667 25.2666666666667 0 0 0 "BM" 1982
6 1983 8.7 27.5333333333333 0 0 0 "BM" 1983
6 1986 59.9 25.25 0 0 0 "BM" 1986
6 1994 0 28.85 0 0 0 "BM" 1994
6 2003 0 28.8 0 0 0 "BM" 2003
6 2004 0 28.47 0 0 0 "BM" 2004
6 2005 0 29.1692307692308 0 0 0 "BM" 2005
6 2015 17.98 27.63 0 0 0 "BM" 2015
6 2016 6.1 27.35 0 0 0 "BM" 2016
6 2017 36.525 26.1875 0 0 0 "BM" 2017
6 2018 26.29 27.965 0 0 0 "BM" 2018
7 1982 18 26.55 0 0 0 "BM" 1982
7 1983 13.7 26.45 0 0 0 "BM" 1983
7 1984 36.1 25.85 0 0 0 "BM" 1984
7 1994 0 30.4 0 0 0 "BM" 1994
7 2003 0 28.0833333333333 0 0 0 "BM" 2003
7 2004 0 26.6625 0 0 0 "BM" 2004
7 2005 0 27.7571428571429 0 0 0 "BM" 2005
7 2016 0 27.5 0 0 0 "BM" 2016
7 2017 13.3 27.1857142857143 0 0 0 "BM" 2017
7 2018 3.51666666666667 28.0333333333333 0 0 0 "BM" 2018
8 1983 29.2 27.6 0 0 0 "BM" 1983
8 1992 1 29.625 0 0 0 "BM" 1992
8 2002 0 27.425 0 0 0 "BM" 2002
8 2003 0 29.2333333333333 0 0 0 "BM" 2003
8 2004 0 27.9954545454545 0 0 0 "BM" 2004
8 2015 11.55 26.85 0 0 0 "BM" 2015
8 2017 9.31666666666667 27.8333333333333 0 0 0 "BM" 2017
8 2018 14.85 28.11875 0 0 0 "BM" 2018
9 1993 150.366666666667 27.4833333333333 0 0 0 "BM" 1993
9 1999 0 29 0 0 0 "BM" 1999
9 2002 0 29.2416666666667 0 0 0 "BM" 2002
9 2003 0 28.25 0 0 0 "BM" 2003
9 2004 0 27.1590909090909 0 0 0 "BM" 2004
9 2015 9.73333333333333 28.7333333333333 0 0 0 "BM" 2015
9 2016 9 27.675 0 0 0 "BM" 2016
9 2017 16 26.38 0 0 0 "BM" 2017
9 2018 8.75 27.7 0 0 0 "BM" 2018
10 1982 0 24.7 0 0 0 "BM" 1982
10 1993 16 27.35 0 0 0 "BM" 1993
10 1994 0 25 0 0 0 "BM" 1994
10 1998 0 28.2166666666667 0 0 0 "BM" 1998
10 1999 0 27.5875 0 0 0 "BM" 1999
10 2002 0 26.2277777777778 0 0 0 "BM" 2002
10 2003 0 27.1730769230769 0 0 0 "BM" 2003
10 2015 0 26.5 0 0 0 "BM" 2015
10 2016 0 29.9 0 0 0 "BM" 2016
10 2017 39.0333333333333 26.8666666666667 0 0 0 "BM" 2017
10 2018 7.84444444444444 25.7888888888889 0 0 0 "BM" 2018
11 1992 0 19.25 0 0 0 "BM" 1992
11 1993 0 24.5 0 0 0 "BM" 1993
11 1994 0 24.5 0 0 0 "BM" 1994
11 1995 0 24.575 0 0 0 "BM" 1995
11 1996 0 24.675 0 0 0 "BM" 1996
11 1998 0 24.38125 0 0 0 "BM" 1998
11 1999 0 22.2071428571429 0 0 0 "BM" 1999
11 2002 0 22.3571428571429 0 0 0 "BM" 2002
11 2003 0 21.8115384615385 0 0 0 "BM" 2003
11 2015 0 21.3166666666667 0 0 0 "BM" 2015
11 2016 0 18.95 0 0 0 "BM" 2016
11 2017 0 23.0125 0 0 0 "BM" 2017
11 2018 0 22.8166666666667 0 0 0 "BM" 2018
12 1994 0 17.9 0 0 0 "BM" 1994
12 1997 0 20.35 0 0 0 "BM" 1997
12 1998 0 20.36 0 0 0 "BM" 1998
12 1999 0 20.5 0 0 0 "BM" 1999
12 2002 0 21.6 0 0 0 "BM" 2002
12 2003 0 18.9676470588235 0 0 0 "BM" 2003
12 2004 0 18.25 0 0 0 "BM" 2004
12 2016 2.55 19.625 0 0 0 "BM" 2016
12 2017 0 19.025 0 0 0 "BM" 2017
12 2018 0 19.6666666666667 0 0 0 "BM" 2018
1 1983 0 19.95 0 0 0 "BM" 1983
1 1991 0 20.65 0 0 0 "BM" 1991
1 1995 0 21.1 0 0 0 "BM" 1995
1 2000 0 19.8125 0 0 0 "BM" 2000
1 2003 0 21.6428571428571 0 0 0 "BM" 2003
1 2004 0 22.0230769230769 0 0 0 "BM" 2004
1 2005 0 22.325 0 0 0 "BM" 2005
1 2017 0 22.49 0 0 0 "BM" 2017
1 2018 0 20.35 0 0 0 "BM" 2018
1 2019 4.29 22.44 0 0 0 "BM" 2019
2 1982 0 24.6666666666667 0 0 0 "BM" 1982
2 1994 0 24.05 0 0 0 "BM" 1994
2 2003 4.16666666666667 24.8458333333333 0 0 0 "BM" 2003
2 2004 0 24.15 0 0 0 "BM" 2004
2 2005 0 26.8 0 0 0 "BM" 2005
2 2015 0 28.2 0 0 0 "BM" 2015
2 2017 0 24.6833333333333 0 0 0 "BM" 2017
2 2018 0 25.0357142857143 0 0 0 "BM" 2018
3 1982 0 27.8 0 0 0 "BM" 1982
3 1983 0 23.05 0 0 0 "BM" 1983
3 1984 0 24.75 0 0 0 "BM" 1984
3 1991 0 30 0 0 0 "BM" 1991
3 1994 12.5 30.125 0 0 0 "BM" 1994
3 2003 0 27.871875 0 0 0 "BM" 2003
3 2004 0 29.4769230769231 0 0 0 "BM" 2004
3 2005 0 29.8625 0 0 0 "BM" 2005
3 2017 0.74375 26.275 0 0 0 "BM" 2017
3 2018 0 29.2388888888889 0 0 0 "BM" 2018
4 1982 0 31.9 0 0 0 "BM" 1982
4 1983 0 34 0 0 0 "BM" 1983
4 1984 0 30.9 0 0 0 "BM" 1984
4 1991 0 31.3857142857143 0 0 0 "BM" 1991
4 1996 0 31.3 0 0 0 "BM" 1996
4 2003 0 32.3833333333333 0 0 0 "BM" 2003
4 2004 0 31.705 0 0 0 "BM" 2004
4 2005 0 28.25 0 0 0 "BM" 2005
4 2015 3 30.75 0 0 0 "BM" 2015
4 2017 2.75882352941176 28.6352941176471 0 0 0 "BM" 2017
4 2018 6.51666666666667 30.575 0 0 0 "BM" 2018
5 1982 0 32.875 0 0 0 "BM" 1982
5 1983 0 32.75 0 0 0 "BM" 1983
5 1985 32 28 0 0 0 "BM" 1985
5 1993 3 33.45 0 0 0 "BM" 1993
5 1994 0 32.4 0 0 0 "BM" 1994
5 2003 0 30.0142857142857 0 0 0 "BM" 2003
5 2004 0 32.9833333333333 0 0 0 "BM" 2004
5 2005 0 33.73 0 0 0 "BM" 2005
5 2015 30.75 29.2625 0 0 0 "BM" 2015
5 2017 5.86875 30.315625 0 0 0 "BM" 2017
5 2018 6.76666666666667 30.5888888888889 0 0 0 "BM" 2018
6 1982 3 30.3 0 0 0 "BM" 1982
6 1993 160 31.6 0 0 0 "BM" 1993
6 1994 0 30.45 0 0 0 "BM" 1994
6 1996 0 30.4 0 0 0 "BM" 1996
6 2003 0 30.66875 0 0 0 "BM" 2003
6 2004 0 30.1708333333333 0 0 0 "BM" 2004
6 2005 0 32.9730769230769 0 0 0 "BM" 2005
6 2015 0 32.5 0 0 0 "BM" 2015
6 2017 0.1875 30.990625 0 0 0 "BM" 2017
6 2018 2.175 30.3375 0 0 0 "BM" 2018
7 1983 0 30.425 0 0 0 "BM" 1983
7 1991 12.95 30.025 0 0 0 "BM" 1991
7 2003 0 31.74375 0 0 0 "BM" 2003
