"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1964 -6.15833333333333 0 0 0 "BO" 1964
1 1965 -5.47 0 0 0 "BO" 1965
1 1966 -10.8142857142857 0 0 0 "BO" 1966
1 1967 -13.7363636363636 0 0 0 "BO" 1967
1 1968 -20.6285714285714 0 0 0 "BO" 1968
1 1969 -15.89 0 0 0 "BO" 1969
1 1970 -11.1466666666667 0 0 0 "BO" 1970
1 1971 -1.978125 0 0 0 "BO" 1971
1 1973 -6.96666666666667 0 0 0 "BO" 1973
1 1974 -6.86666666666667 0 0 0 "BO" 1974
1 1975 -0.722222222222222 0 0 0 "BO" 1975
1 1976 -7.18181818181818 0 0 0 "BO" 1976
1 1977 -9.82142857142857 0 0 0 "BO" 1977
1 1978 -8.21428571428571 0 0 0 "BO" 1978
1 1979 -10.4047619047619 0 0 0 "BO" 1979
1 1980 -9.29166666666667 0 0 0 "BO" 1980
1 1981 -5.76315789473684 0 0 0 "BO" 1981
1 1982 -9.13571428571429 0 0 0 "BO" 1982
1 1983 -0.85 0 0 0 "BO" 1983
1 1984 -5.21071428571429 0 0 0 "BO" 1984
1 1985 -9.94444444444444 0 0 0 "BO" 1985
1 1986 -1.43571428571429 0 0 0 "BO" 1986
1 1987 -17.025 0 0 0 "BO" 1987
1 1988 -5.17307692307692 0 0 0 "BO" 1988
1 1989 0.7125 0 0 0 "BO" 1989
1 1990 -1.66333333333333 0 0 0 "BO" 1990
1 1991 -3.26923076923077 0 0 0 "BO" 1991
1 1992 -1.22727272727273 0 0 0 "BO" 1992
1 1993 -3.23235294117647 0 0 0 "BO" 1993
1 1994 -0.990909090909091 0 0 0 "BO" 1994
1 1995 -6.98 0 0 0 "BO" 1995
1 1996 -10.0076923076923 0 0 0 "BO" 1996
1 1997 -4.54444444444444 0 0 0 "BO" 1997
1 1998 -2.775 0 0 0 "BO" 1998
1 1999 -3.4875 0 0 0 "BO" 1999
1 2000 -3.42916666666667 0 0 0 "BO" 2000
1 2001 -3.20384615384615 0 0 0 "BO" 2001
1 2002 -3.81923076923077 0 0 0 "BO" 2002
1 2003 -6.62 0 0 0 "BO" 2003
1 2004 -6.67142857142857 0 0 0 "BO" 2004
1 2005 -3.01666666666667 0 0 0 "BO" 2005
1 2006 -11.05 0 0 0 "BO" 2006
1 2007 -1.50384615384615 0 0 0 "BO" 2007
1 2008 -2.62692307692308 0 0 0 "BO" 2008
1 2009 -5.06333333333333 0 0 0 "BO" 2009
1 2010 -8.71 0 0 0 "BO" 2010
1 2011 -4.25 0 0 0 "BO" 2011
1 2012 -3.1875 0 0 0 "BO" 2012
1 2013 -7.42 0 0 0 "BO" 2013
1 2014 -16.3 0 0 0 "BO" 2014
1 2015 -2.95 0 0 0 "BO" 2015
1 2016 -6.55 0 0 0 "BO" 2016
1 2017 -2.2 0 0 0 "BO" 2017
1 2018 3.6 0 0 0 "BO" 2018
1 2019 -6.44285714285714 0 0 0 "BO" 2019
2 1963 -8.35 0 0 0 "BO" 1963
2 1964 -11.096875 0 0 0 "BO" 1964
2 1965 -10.1222222222222 0 0 0 "BO" 1965
2 1966 -8.78333333333333 0 0 0 "BO" 1966
2 1967 -6.94444444444444 0 0 0 "BO" 1967
2 1968 -7.545 0 0 0 "BO" 1968
2 1969 -9.15263157894737 0 0 0 "BO" 1969
2 1970 -11.6815789473684 0 0 0 "BO" 1970
2 1971 -3.78125 0 0 0 "BO" 1971
2 1973 -1.875 0 0 0 "BO" 1973
2 1974 -0.714285714285714 0 0 0 "BO" 1974
2 1975 -2.76923076923077 0 0 0 "BO" 1975
2 1976 -9.05263157894737 0 0 0 "BO" 1976
2 1977 -6.08823529411765 0 0 0 "BO" 1977
2 1978 -8.61111111111111 0 0 0 "BO" 1978
2 1979 -10.7222222222222 0 0 0 "BO" 1979
2 1980 -8 0 0 0 "BO" 1980
2 1981 -4.90476190476191 0 0 0 "BO" 1981
2 1982 -7.73076923076923 0 0 0 "BO" 1982
2 1983 -7.58888888888889 0 0 0 "BO" 1983
2 1984 -9.3525 0 0 0 "BO" 1984
2 1985 -14.0357142857143 0 0 0 "BO" 1985
2 1986 -13.35 0 0 0 "BO" 1986
2 1987 -6.78571428571429 0 0 0 "BO" 1987
2 1988 -4.37857142857143 0 0 0 "BO" 1988
2 1989 1.6 0 0 0 "BO" 1989
2 1990 2.94230769230769 0 0 0 "BO" 1990
2 1991 -5.1175 0 0 0 "BO" 1991
2 1992 -1.54 0 0 0 "BO" 1992
2 1993 -4.334375 0 0 0 "BO" 1993
2 1994 -12.0214285714286 0 0 0 "BO" 1994
2 1995 1.10416666666667 0 0 0 "BO" 1995
2 1996 -11.259375 0 0 0 "BO" 1996
2 1997 -1.7 0 0 0 "BO" 1997
2 1998 -0.104545454545455 0 0 0 "BO" 1998
2 1999 -8.05416666666667 0 0 0 "BO" 1999
2 2000 -1.971875 0 0 0 "BO" 2000
2 2001 -7.72083333333333 0 0 0 "BO" 2001
2 2002 -0.5 0 0 0 "BO" 2002
2 2003 -7.17058823529412 0 0 0 "BO" 2003
2 2004 -5.65 0 0 0 "BO" 2004
