"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 2002 10.05 27.03125 0 0 0 "BR" 2002
1 2003 1.26666666666667 27.85 0 0 0 "BR" 2003
1 2004 7.8 27.8571428571429 0 0 0 "BR" 2004
2 2002 7.53333333333333 27.8333333333333 0 0 0 "BR" 2002
2 2003 47.6666666666667 26.3333333333333 0 0 0 "BR" 2003
2 2004 18.9666666666667 26.25 0 0 0 "BR" 2004
3 2002 9.82 27.3 0 0 0 "BR" 2002
3 2003 8.28 26.7 0 0 0 "BR" 2003
3 2004 20.1 25.5 0 0 0 "BR" 2004
4 2002 20.6066666666667 27.04 0 0 0 "BR" 2002
4 2003 5.525 27.375 0 0 0 "BR" 2003
5 1985 11.4 27.15 0 0 0 "BR" 1985
5 1986 0.6 27.2 0 0 0 "BR" 1986
5 2002 17.0769230769231 27.4615384615385 0 0 0 "BR" 2002
5 2003 3.10833333333333 28.2083333333333 0 0 0 "BR" 2003
6 1985 0 26.85 0 0 0 "BR" 1985
6 1986 0 27 0 0 0 "BR" 1986
6 2002 6.78 27.82 0 0 0 "BR" 2002
6 2003 6.63846153846154 27.8846153846154 0 0 0 "BR" 2003
7 1986 4.2 26.55 0 0 0 "BR" 1986
7 2002 4.65 27.5416666666667 0 0 0 "BR" 2002
7 2003 3.73125 27.53125 0 0 0 "BR" 2003
8 2002 0 28 0 0 0 "BR" 2002
8 2003 0.684615384615385 28.1153846153846 0 0 0 "BR" 2003
9 2002 0 27.9736842105263 0 0 0 "BR" 2002
9 2003 0 28.2222222222222 0 0 0 "BR" 2003
10 2002 0 28 0 0 0 "BR" 2002
10 2003 0.0277777777777778 28.1388888888889 0 0 0 "BR" 2003
11 2001 0 29 0 0 0 "BR" 2001
11 2002 0.0666666666666667 28.1208333333333 0 0 0 "BR" 2002
11 2003 0 28.7272727272727 0 0 0 "BR" 2003
12 2001 0.266666666666667 28.75 0 0 0 "BR" 2001
12 2002 10.1666666666667 28.1666666666667 0 0 0 "BR" 2002
12 2003 0 28.8571428571429 0 0 0 "BR" 2003
1 1974 19.0090909090909 26.9545454545455 0 0 0 "BR" 1974
1 1975 2.33333333333333 25.5 0 0 0 "BR" 1975
1 1979 13.525 27.5 0 0 0 "BR" 1979
2 1974 16.46 26.7 0 0 0 "BR" 1974
2 1977 0 28.5 0 0 0 "BR" 1977
2 1978 0 29.5 0 0 0 "BR" 1978
2 1979 5.58 27.5 0 0 0 "BR" 1979
3 1973 5.1 27.5 0 0 0 "BR" 1973
3 1974 12.7222222222222 27 0 0 0 "BR" 1974
3 1977 0 28 0 0 0 "BR" 1977
3 1978 0 28.5 0 0 0 "BR" 1978
3 1979 7.86666666666667 26.3333333333333 0 0 0 "BR" 1979
4 1973 6.6 27 0 0 0 "BR" 1973
4 1974 18.6333333333333 26.5 0 0 0 "BR" 1974
4 1977 16.5 27 0 0 0 "BR" 1977
4 1978 0 27 0 0 0 "BR" 1978
5 1973 19.0666666666667 26.3333333333333 0 0 0 "BR" 1973
5 1974 7.1 28 0 0 0 "BR" 1974
5 1977 0.5 25.75 0 0 0 "BR" 1977
5 1978 0 28.25 0 0 0 "BR" 1978
5 1979 3 27 0 0 0 "BR" 1979
6 1973 0 26.6666666666667 0 0 0 "BR" 1973
6 1974 8.5 26 0 0 0 "BR" 1974
6 1977 1 25.75 0 0 0 "BR" 1977
6 1978 6.1 26.5 0 0 0 "BR" 1978
6 1980 0 26.5 0 0 0 "BR" 1980
7 1973 0 25.6666666666667 0 0 0 "BR" 1973
7 1974 12.3357142857143 25.5 0 0 0 "BR" 1974
7 1977 1 26.6666666666667 0 0 0 "BR" 1977
7 1979 0 27.5 0 0 0 "BR" 1979
8 1974 7.2 26.5333333333333 0 0 0 "BR" 1974
8 1977 8.62 26.8 0 0 0 "BR" 1977
8 1978 0 23.5 0 0 0 "BR" 1978
9 1973 5.1 26.5 0 0 0 "BR" 1973
9 1974 14.44 27.4 0 0 0 "BR" 1974
9 1976 0 28.25 0 0 0 "BR" 1976
9 1978 0 27.5 0 0 0 "BR" 1978
10 1973 9.66666666666667 26.8333333333333 0 0 0 "BR" 1973
10 1974 4.28 27.4 0 0 0 "BR" 1974
10 1976 33 28.5 0 0 0 "BR" 1976
10 1978 17.3666666666667 26.5 0 0 0 "BR" 1978
10 1979 2.82857142857143 27.6428571428571 0 0 0 "BR" 1979
11 1973 4.6 27.1875 0 0 0 "BR" 1973
11 1974 6.3 27.25 0 0 0 "BR" 1974
11 1976 8.8 27.4 0 0 0 "BR" 1976
11 1978 5 28 0 0 0 "BR" 1978
11 1979 1.31428571428571 28.0714285714286 0 0 0 "BR" 1979
12 1973 20.4833333333333 26.4166666666667 0 0 0 "BR" 1973
12 1974 1 27 0 0 0 "BR" 1974
