"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1994 1.80625 0 0 0 "BU" 1994
1 1995 -1.95714285714286 0 0 0 "BU" 1995
1 1997 -2.1625 0 0 0 "BU" 1997
1 1998 5.1 0 0 0 "BU" 1998
1 2000 -6.38 0 0 0 "BU" 2000
1 2001 1.06 0 0 0 "BU" 2001
1 2002 -3.8 0 0 0 "BU" 2002
1 2003 -1.20882352941176 0 0 0 "BU" 2003
1 2004 -2.41666666666667 0 0 0 "BU" 2004
1 2005 2.44193548387097 0 0 0 "BU" 2005
1 2006 -2.94838709677419 0 0 0 "BU" 2006
1 2007 7.25666666666667 0 0 0 "BU" 2007
1 2008 -2.57741935483871 0 0 0 "BU" 2008
1 2009 -1.1 0 0 0 "BU" 2009
1 2010 -2.84333333333333 0 0 0 "BU" 2010
1 2011 -0.258064516129032 0 0 0 "BU" 2011
1 2012 0.219354838709678 0 0 0 "BU" 2012
1 2013 1.01129032258065 0 0 0 "BU" 2013
1 2014 1.29354838709677 0 0 0 "BU" 2014
1 2015 1.91612903225806 0 0 0 "BU" 2015
1 2016 -1.91935483870968 0 0 0 "BU" 2016
1 2017 -5.56935483870968 0 0 0 "BU" 2017
1 2018 1.86612903225806 0 0 0 "BU" 2018
1 2019 -0.385714285714286 0 0 0 "BU" 2019
2 1976 3.5 0 0 0 "BU" 1976
2 1994 3.75 0 0 0 "BU" 1994
2 1995 3.43333333333333 0 0 0 "BU" 1995
2 1997 3.74666666666667 0 0 0 "BU" 1997
2 1998 3.075 0 0 0 "BU" 1998
2 1999 2.66875 0 0 0 "BU" 1999
2 2001 -1.15 0 0 0 "BU" 2001
2 2002 5.3 0 0 0 "BU" 2002
2 2003 -3.09736842105263 0 0 0 "BU" 2003
2 2004 2.26041666666667 0 0 0 "BU" 2004
2 2005 -3.4 0 0 0 "BU" 2005
2 2006 -0.0946428571428571 0 0 0 "BU" 2006
2 2007 5.36785714285714 0 0 0 "BU" 2007
2 2008 4.1551724137931 0 0 0 "BU" 2008
2 2009 2.15178571428571 0 0 0 "BU" 2009
2 2010 0.703571428571429 0 0 0 "BU" 2010
2 2011 0.267857142857143 0 0 0 "BU" 2011
2 2012 -5.51206896551724 0 0 0 "BU" 2012
2 2013 3.425 0 0 0 "BU" 2013
2 2014 2.2125 0 0 0 "BU" 2014
2 2015 0.930357142857143 0 0 0 "BU" 2015
2 2016 7.62413793103448 0 0 0 "BU" 2016
2 2017 2.15 0 0 0 "BU" 2017
2 2018 1.89821428571429 0 0 0 "BU" 2018
