"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1987 0 26.75 0 0 0 "BX" 1987
1 1988 10.5764705882353 27.6176470588235 0 0 0 "BX" 1988
1 1989 0.35 27.45 0 0 0 "BX" 1989
1 1990 16.5125 26.90625 0 0 0 "BX" 1990
1 1991 2.23846153846154 27.4346153846154 0 0 0 "BX" 1991
1 1994 6.66666666666667 27.5222222222222 0 0 0 "BX" 1994
1 1995 9.37619047619048 27.85 0 0 0 "BX" 1995
1 1996 9.17222222222222 26.6388888888889 0 0 0 "BX" 1996
1 1997 6.89285714285714 27.1714285714286 0 0 0 "BX" 1997
1 1998 0.546666666666667 28.29 0 0 0 "BX" 1998
1 2000 13.37 27.215 0 0 0 "BX" 2000
1 2001 21.7368421052632 27.2315789473684 0 0 0 "BX" 2001
1 2002 7.32727272727273 27.35 0 0 0 "BX" 2002
1 2003 2.60833333333333 27.8583333333333 0 0 0 "BX" 2003
1 2004 4.19375 27.8 0 0 0 "BX" 2004
1 2005 5.14705882352941 26.7323529411765 0 0 0 "BX" 2005
1 2006 12.4631578947368 26.85 0 0 0 "BX" 2006
1 2007 18.665 27.2275 0 0 0 "BX" 2007
1 2008 15.2071428571429 27.425 0 0 0 "BX" 2008
1 2009 39.2722222222222 26.8027777777778 0 0 0 "BX" 2009
1 2010 9.26153846153846 27.3615384615385 0 0 0 "BX" 2010
1 2011 12.79375 27.053125 0 0 0 "BX" 2011
1 2012 14.5294117647059 27.8088235294118 0 0 0 "BX" 2012
1 2013 7.41111111111111 27.4611111111111 0 0 0 "BX" 2013
1 2014 24.93 26.38 0 0 0 "BX" 2014
1 2015 16.6153846153846 27 0 0 0 "BX" 2015
1 2016 0 28.1 0 0 0 "BX" 2016
1 2017 11.85 27.7875 0 0 0 "BX" 2017
1 2018 11.6357142857143 27.2714285714286 0 0 0 "BX" 2018
1 2019 11.5444444444444 27.7833333333333 0 0 0 "BX" 2019
2 1987 31 25.2 0 0 0 "BX" 1987
2 1988 11.20625 27.34375 0 0 0 "BX" 1988
2 1989 13.6153846153846 26.2307692307692 0 0 0 "BX" 1989
2 1990 0.0857142857142857 27.8714285714286 0 0 0 "BX" 1990
2 1991 1.03333333333333 27.2208333333333 0 0 0 "BX" 1991
2 1994 3.925 27.646875 0 0 0 "BX" 1994
