"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1994 0.5 26.25 0 0 0 "CB" 1994
2 1994 0 28.05 0 0 0 "CB" 1994
3 1994 10.05 29.675 0 0 0 "CB" 1994
5 1973 3 30.5 0 0 0 "CB" 1973
5 1994 4 29.4 0 0 0 "CB" 1994
6 1973 0.5 30 0 0 0 "CB" 1973
6 1993 5.33333333333333 28.4 0 0 0 "CB" 1993
6 1994 39.9 28.2 0 0 0 "CB" 1994
7 1993 0.7 28.83 0 0 0 "CB" 1993
7 1994 8 27.425 0 0 0 "CB" 1994
8 1993 6.15 28.535 0 0 0 "CB" 1993
8 1994 10.3333333333333 28.7 0 0 0 "CB" 1994
9 1993 7.35 28.225 0 0 0 "CB" 1993
9 1994 0.5 28.55 0 0 0 "CB" 1994
10 1974 0 27.5 0 0 0 "CB" 1974
10 1993 23 27.45 0 0 0 "CB" 1993
11 1993 5.6 27.325 0 0 0 "CB" 1993
12 1993 2.24 25.81 0 0 0 "CB" 1993
