"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1950 24.6 0 0 0 "CD" 1950
1 1951 23.3096774193548 0 0 0 "CD" 1951
1 1952 24.4483870967742 0 0 0 "CD" 1952
1 1953 23.8483870967742 0 0 0 "CD" 1953
1 1954 23.3258064516129 0 0 0 "CD" 1954
1 1955 23.3112903225806 0 0 0 "CD" 1955
1 1956 22.6596774193548 0 0 0 "CD" 1956
1 1957 22.7661290322581 0 0 0 "CD" 1957
1 1958 25.1258064516129 0 0 0 "CD" 1958
1 1959 23.8822580645161 0 0 0 "CD" 1959
1 1961 24.841935483871 0 0 0 "CD" 1961
1 1962 20.9564516129032 0 0 0 "CD" 1962
1 1963 23.9354838709677 0 0 0 "CD" 1963
1 1964 23.8806451612903 0 0 0 "CD" 1964
1 1965 24.6 0 0 0 "CD" 1965
1 1967 22.3354838709677 0 0 0 "CD" 1967
1 1968 22.9935483870968 0 0 0 "CD" 1968
1 1969 22.2790322580645 0 0 0 "CD" 1969
1 1970 24.155 0 0 0 "CD" 1970
1 1971 22.0677419354839 0 0 0 "CD" 1971
1 1972 23.0096774193548 0 0 0 "CD" 1972
1 1973 25.5354838709677 0 0 0 "CD" 1973
1 1974 22.7 0 0 0 "CD" 1974
1 1975 20.7370967741935 0 0 0 "CD" 1975
1 1976 23.3693548387097 0 0 0 "CD" 1976
1 1977 23.7129032258064 0 0 0 "CD" 1977
1 1978 22.4741935483871 0 0 0 "CD" 1978
1 1979 23.8888888888889 0 0 0 "CD" 1979
1 1994 28.35 0 0 0 "CD" 1994
1 1998 24.125 0 0 0 "CD" 1998
1 2000 24.5285714285714 0 0 0 "CD" 2000
1 2003 23.5323529411765 0 0 0 "CD" 2003
1 2004 24.3535714285714 0 0 0 "CD" 2004
1 2005 21.6454545454545 0 0 0 "CD" 2005
2 1950 25.3625 0 0 0 "CD" 1950
2 1951 25.2232142857143 0 0 0 "CD" 1951
2 1952 25.9603448275862 0 0 0 "CD" 1952
2 1953 27.6410714285714 0 0 0 "CD" 1953
2 1954 28.1214285714286 0 0 0 "CD" 1954
2 1955 26.1285714285714 0 0 0 "CD" 1955
2 1956 27.4155172413793 0 0 0 "CD" 1956
2 1957 23.8696428571429 0 0 0 "CD" 1957
2 1958 24.3232142857143 0 0 0 "CD" 1958
2 1959 25.1482142857143 0 0 0 "CD" 1959
2 1961 24.2035714285714 0 0 0 "CD" 1961
2 1962 24.55 0 0 0 "CD" 1962
2 1963 28.5285714285714 0 0 0 "CD" 1963
2 1964 24.3913793103448 0 0 0 "CD" 1964
2 1965 26.325 0 0 0 "CD" 1965
2 1967 26.7035714285714 0 0 0 "CD" 1967
2 1968 25.8879310344828 0 0 0 "CD" 1968
2 1969 27.4107142857143 0 0 0 "CD" 1969
2 1970 25.5928571428571 0 0 0 "CD" 1970
2 1971 26.3017857142857 0 0 0 "CD" 1971
2 1972 26.498275862069 0 0 0 "CD" 1972
2 1973 28.1125 0 0 0 "CD" 1973
2 1974 26.0053571428571 0 0 0 "CD" 1974
2 1975 25.7339285714286 0 0 0 "CD" 1975
2 1976 28.0655172413793 0 0 0 "CD" 1976
2 1977 25.3446428571429 0 0 0 "CD" 1977
2 1978 26.1375 0 0 0 "CD" 1978
2 1979 24.8333333333333 0 0 0 "CD" 1979
2 1994 25.65 0 0 0 "CD" 1994
2 1997 24.5192307692308 0 0 0 "CD" 1997
2 1998 31.325 0 0 0 "CD" 1998
2 2002 30.725 0 0 0 "CD" 2002
2 2003 27.5692307692308 0 0 0 "CD" 2003
2 2004 25.1611111111111 0 0 0 "CD" 2004
2 2005 30.8545454545455 0 0 0 "CD" 2005
3 1950 29.0758064516129 0 0 0 "CD" 1950
3 1951 30.691935483871 0 0 0 "CD" 1951
3 1952 30.0806451612903 0 0 0 "CD" 1952
3 1953 31.6612903225806 0 0 0 "CD" 1953
3 1954 31.0693548387097 0 0 0 "CD" 1954
