"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 2000 16 24.85 0 0 0 "CG" 2000
3 1983 20.1 27.3 0 0 0 "CG" 1983
3 1998 7.9 27.35 0 0 0 "CG" 1998
3 2000 7.9 26.2 0 0 0 "CG" 2000
5 1982 1 25.55 0 0 0 "CG" 1982
7 1982 6.1 22.85 0 0 0 "CG" 1982
7 1994 25.9 24.4 0 0 0 "CG" 1994
8 1998 14 24.45 0 0 0 "CG" 1998
9 1973 0 26.5 0 0 0 "CG" 1973
9 1979 0 27.5 0 0 0 "CG" 1979
10 1979 5.1 25.5 0 0 0 "CG" 1979
11 1988 24.9 24.9 0 0 0 "CG" 1988
11 1999 10.9 25.1 0 0 0 "CG" 1999
12 1980 0 27.5 0 0 0 "CG" 1980
12 1998 67.1 24.5 0 0 0 "CG" 1998
1 1978 0 27 0 0 0 "CG" 1978
1 1983 0 26.925 0 0 0 "CG" 1983
1 1987 7.9 27.45 0 0 0 "CG" 1987
2 1978 1 28 0 0 0 "CG" 1978
2 1983 0.5 28.525 0 0 0 "CG" 1983
2 1987 21.3333333333333 25.7166666666667 0 0 0 "CG" 1987
3 1978 7.9 27.5 0 0 0 "CG" 1978
3 1980 0.15 27 0 0 0 "CG" 1980
3 1981 0 26.5 0 0 0 "CG" 1981
3 1983 7 26.7 0 0 0 "CG" 1983
3 1987 21.65 26.0625 0 0 0 "CG" 1987
3 1990 11.9 26.95 0 0 0 "CG" 1990
3 1995 3 28.1 0 0 0 "CG" 1995
4 1978 0 27 0 0 0 "CG" 1978
4 1979 18.55 27.75 0 0 0 "CG" 1979
4 1980 0 29 0 0 0 "CG" 1980
4 1981 33 26.5 0 0 0 "CG" 1981
4 1982 0 28.8 0 0 0 "CG" 1982
4 1987 4.5 27.5375 0 0 0 "CG" 1987
4 2011 171.5 29.15 0 0 0 "CG" 2011
5 1978 0 26.5 0 0 0 "CG" 1978
5 1981 0.5 26.625 0 0 0 "CG" 1981
5 1982 5.1 26.25 0 0 0 "CG" 1982
5 1987 5.6 27.25 0 0 0 "CG" 1987
6 1978 0 25 0 0 0 "CG" 1978
6 1979 0 27 0 0 0 "CG" 1979
6 1980 5.1 26.5 0 0 0 "CG" 1980
6 1981 0 25.9285714285714 0 0 0 "CG" 1981
6 1983 1 26.1 0 0 0 "CG" 1983
6 1987 0 26.4 0 0 0 "CG" 1987
7 1978 0 24 0 0 0 "CG" 1978
7 1979 0 25.5 0 0 0 "CG" 1979
7 1981 0.666666666666667 24 0 0 0 "CG" 1981
8 1980 3 24 0 0 0 "CG" 1980
8 1981 0 26.5 0 0 0 "CG" 1981
9 1981 0 25.5 0 0 0 "CG" 1981
9 1986 7.5 27.025 0 0 0 "CG" 1986
9 1991 10.9 25.3 0 0 0 "CG" 1991
9 1994 9.9 24.25 0 0 0 "CG" 1994
10 1978 0.25 27.75 0 0 0 "CG" 1978
10 1980 3.6 26.2 0 0 0 "CG" 1980
10 1987 11.8 26.175 0 0 0 "CG" 1987
10 1998 6.5 26.35 0 0 0 "CG" 1998
11 1977 0 25.5 0 0 0 "CG" 1977
11 1978 0 25.25 0 0 0 "CG" 1978
11 1986 4.1 25.45 0 0 0 "CG" 1986
11 1989 11.9 25.1 0 0 0 "CG" 1989
12 1977 2 25 0 0 0 "CG" 1977
12 1978 7.9 26 0 0 0 "CG" 1978
12 1980 2 28 0 0 0 "CG" 1980
12 1981 0.5 26.5 0 0 0 "CG" 1981
12 1998 25.9 22.3 0 0 0 "CG" 1998
1 1978 0 23.5 0 0 0 "CG" 1978
1 1987 37.1 24.7 0 0 0 "CG" 1987
1 1992 0 25.25 0 0 0 "CG" 1992
2 1983 10.9 28.1 0 0 0 "CG" 1983
2 1987 27.95 25.575 0 0 0 "CG" 1987
3 1974 0 26.5 0 0 0 "CG" 1974
3 1978 0.666666666666667 28.5 0 0 0 "CG" 1978
3 1980 0 26.75 0 0 0 "CG" 1980
3 1981 0 26.5 0 0 0 "CG" 1981
3 1984 5.1 25.15 0 0 0 "CG" 1984
4 1978 10.9 26 0 0 0 "CG" 1978
4 1980 0 26.75 0 0 0 "CG" 1980
4 1981 0 27 0 0 0 "CG" 1981
4 1987 19.95 26.45 0 0 0 "CG" 1987
5 1978 0 25.5 0 0 0 "CG" 1978
5 1981 21.95 26 0 0 0 "CG" 1981
5 1982 19.95 26.15 0 0 0 "CG" 1982
5 1983 2.55 26.575 0 0 0 "CG" 1983
6 1973 0 25.5 0 0 0 "CG" 1973
6 1978 0 25.5 0 0 0 "CG" 1978
6 1980 0 26.5 0 0 0 "CG" 1980
6 1981 0.4 26 0 0 0 "CG" 1981
6 1982 5.1 26.4 0 0 0 "CG" 1982
7 1978 0 24.5 0 0 0 "CG" 1978
7 1980 0 24.5 0 0 0 "CG" 1980
7 1981 0 25.25 0 0 0 "CG" 1981
8 1981 0 26 0 0 0 "CG" 1981
9 1973 0 26 0 0 0 "CG" 1973
9 1981 4.45 25 0 0 0 "CG" 1981
9 1982 32 23.8 0 0 0 "CG" 1982
10 1978 3 26.5 0 0 0 "CG" 1978
10 1980 7.1 25.5 0 0 0 "CG" 1980
10 1986 3 24.65 0 0 0 "CG" 1986
10 1987 3.05 25.975 0 0 0 "CG" 1987
11 1978 23.9 25.5 0 0 0 "CG" 1978
11 1983 6.1 27.2 0 0 0 "CG" 1983
11 1985 98 26.9 0 0 0 "CG" 1985
12 1977 10.7 25.8333333333333 0 0 0 "CG" 1977
12 1978 2.05 26 0 0 0 "CG" 1978
11 2012 3 27.55 0 0 0 "CG" 2012
1 1977 14.5 25.75 0 0 0 "CG" 1977
1 1978 0 26.5 0 0 0 "CG" 1978
1 1983 0 24.2 0 0 0 "CG" 1983
1 2013 0 27.85 0 0 0 "CG" 2013
2 1982 3 24.75 0 0 0 "CG" 1982
3 1974 22.1 25.5 0 0 0 "CG" 1974
3 1977 0 27.5 0 0 0 "CG" 1977
3 1980 5.6 28.1666666666667 0 0 0 "CG" 1980
3 1981 0 27.5 0 0 0 "CG" 1981
3 1983 26.9 24.7 0 0 0 "CG" 1983
4 1978 0 27.5 0 0 0 "CG" 1978
4 1980 20.95 26.5 0 0 0 "CG" 1980
4 1981 0 25 0 0 0 "CG" 1981
4 1982 4.95 26.925 0 0 0 "CG" 1982
4 1983 0 27.75 0 0 0 "CG" 1983
4 2011 19.1 24.95 0 0 0 "CG" 2011
5 1977 5.65 25.75 0 0 0 "CG" 1977
5 1981 0 26.1666666666667 0 0 0 "CG" 1981
5 1982 0 25.45 0 0 0 "CG" 1982
5 1983 0.3 23.05 0 0 0 "CG" 1983
5 1986 2 25.85 0 0 0 "CG" 1986
6 1977 0 23.6666666666667 0 0 0 "CG" 1977
6 1980 0 24 0 0 0 "CG" 1980
6 1981 0 24.0625 0 0 0 "CG" 1981
7 1977 0 21 0 0 0 "CG" 1977
7 1978 0 22 0 0 0 "CG" 1978
7 1980 0 22 0 0 0 "CG" 1980
7 1981 0 22.5 0 0 0 "CG" 1981
8 1977 0 22.25 0 0 0 "CG" 1977
8 1980 0 21.5 0 0 0 "CG" 1980
9 1977 0 24 0 0 0 "CG" 1977
9 1981 0 24.5 0 0 0 "CG" 1981
9 1982 0 23.35 0 0 0 "CG" 1982
10 1974 0 23 0 0 0 "CG" 1974
10 1980 2.85 25.625 0 0 0 "CG" 1980
11 1976 1.75 27 0 0 0 "CG" 1976
11 1977 6.1 25.5 0 0 0 "CG" 1977
11 1983 0.3 26.95 0 0 0 "CG" 1983
12 1976 7.9 25.5 0 0 0 "CG" 1976
12 1977 1 27 0 0 0 "CG" 1977
