"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1974 22.16 21.7333333333333 0 0 0 "CI" 1974
1 1975 13.85 22.0416666666667 0 0 0 "CI" 1975
1 1976 83.4375 22.4375 0 0 0 "CI" 1976
1 1977 0.0136363636363636 23.3636363636364 0 0 0 "CI" 1977
1 1978 0 21.9444444444444 0 0 0 "CI" 1978
1 1979 0 22.2291666666667 0 0 0 "CI" 1979
1 1980 0 22.4583333333333 0 0 0 "CI" 1980
1 1981 0.614285714285714 22.3809523809524 0 0 0 "CI" 1981
1 1983 0 26.5884615384615 0 0 0 "CI" 1983
1 1985 0 22.825 0 0 0 "CI" 1985
1 1986 0 22.495 0 0 0 "CI" 1986
1 1987 0 23.8125 0 0 0 "CI" 1987
1 1988 0 22.8289473684211 0 0 0 "CI" 1988
1 1989 0 20.985 0 0 0 "CI" 1989
1 1990 0 21.9555555555556 0 0 0 "CI" 1990
1 1991 0 22.5571428571429 0 0 0 "CI" 1991
1 1992 0 22.9944444444444 0 0 0 "CI" 1992
1 1993 0 23.1 0 0 0 "CI" 1993
1 1994 0.272727272727273 22.2590909090909 0 0 0 "CI" 1994
1 1995 0 23.5785714285714 0 0 0 "CI" 1995
1 1996 0 21.4538461538462 0 0 0 "CI" 1996
1 1997 0.0357142857142857 23.1607142857143 0 0 0 "CI" 1997
1 1998 0 25.8384615384615 0 0 0 "CI" 1998
1 2000 0.16 22.9 0 0 0 "CI" 2000
1 2001 0 22.8 0 0 0 "CI" 2001
1 2002 0 22.1 0 0 0 "CI" 2002
1 2003 0 21.953125 0 0 0 "CI" 2003
1 2004 0 22.685 0 0 0 "CI" 2004
1 2005 0.125 23.459375 0 0 0 "CI" 2005
1 2006 0 22.6625 0 0 0 "CI" 2006
1 2007 0 23.55 0 0 0 "CI" 2007
1 2008 0.0357142857142857 23.1464285714286 0 0 0 "CI" 2008
1 2009 0 22.2466666666667 0 0 0 "CI" 2009
