"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1953 26.7630434782609 0 0 0 "CK" 1953
1 1954 27.0052631578947 0 0 0 "CK" 1954
1 1955 27.2470588235294 0 0 0 "CK" 1955
1 1974 25.7 0 0 0 "CK" 1974
1 1977 27.575 0 0 0 "CK" 1977
1 1980 28.4 0 0 0 "CK" 1980
1 1994 27.2038461538462 0 0 0 "CK" 1994
1 1995 27.7666666666667 0 0 0 "CK" 1995
1 1996 27.8818181818182 0 0 0 "CK" 1996
1 1997 27.9571428571429 0 0 0 "CK" 1997
1 1998 28.109375 0 0 0 "CK" 1998
1 2000 27.7285714285714 0 0 0 "CK" 2000
1 2003 28.4444444444444 0 0 0 "CK" 2003
1 2004 27.5 0 0 0 "CK" 2004
1 2005 29 0 0 0 "CK" 2005
2 1952 27.5214285714286 0 0 0 "CK" 1952
2 1953 27.5366666666667 0 0 0 "CK" 1953
2 1954 28.3583333333333 0 0 0 "CK" 1954
2 1955 26.7763157894737 0 0 0 "CK" 1955
2 1956 27.421875 0 0 0 "CK" 1956
2 1957 27.040625 0 0 0 "CK" 1957
2 1974 27.7 0 0 0 "CK" 1974
2 1977 28.15 0 0 0 "CK" 1977
2 1978 28.25 0 0 0 "CK" 1978
2 1981 27.15 0 0 0 "CK" 1981
2 1994 27.8166666666667 0 0 0 "CK" 1994
2 1995 27.4833333333333 0 0 0 "CK" 1995
2 1996 28.4222222222222 0 0 0 "CK" 1996
2 1997 27.16875 0 0 0 "CK" 1997
2 1998 28.9725 0 0 0 "CK" 1998
2 2003 28 0 0 0 "CK" 2003
2 2004 27.25 0 0 0 "CK" 2004
2 2005 28.5 0 0 0 "CK" 2005
3 1952 27.5818181818182 0 0 0 "CK" 1952
3 1953 27.5075 0 0 0 "CK" 1953
3 1954 27.5480769230769 0 0 0 "CK" 1954
3 1955 27.6653846153846 0 0 0 "CK" 1955
3 1956 27.296 0 0 0 "CK" 1956
3 1957 26.353125 0 0 0 "CK" 1957
3 1974 28.1 0 0 0 "CK" 1974
3 1978 28.45 0 0 0 "CK" 1978
3 1979 27.525 0 0 0 "CK" 1979
3 1994 27.4916666666667 0 0 0 "CK" 1994
3 1995 28.2666666666667 0 0 0 "CK" 1995
3 1996 28.0875 0 0 0 "CK" 1996
3 1997 27.91 0 0 0 "CK" 1997
3 1998 29.253125 0 0 0 "CK" 1998
3 2003 27.5909090909091 0 0 0 "CK" 2003
3 2004 27.5 0 0 0 "CK" 2004
3 2005 27.6666666666667 0 0 0 "CK" 2005
4 1952 27.8025 0 0 0 "CK" 1952
4 1953 27.2925925925926 0 0 0 "CK" 1953
4 1954 27.4842105263158 0 0 0 "CK" 1954
4 1955 27.1611111111111 0 0 0 "CK" 1955
4 1956 27.0147058823529 0 0 0 "CK" 1956
4 1957 27.7071428571429 0 0 0 "CK" 1957
4 1977 27.8333333333333 0 0 0 "CK" 1977
4 1979 27.8 0 0 0 "CK" 1979
4 1981 26.525 0 0 0 "CK" 1981
4 1994 27.7375 0 0 0 "CK" 1994
4 1995 27.3285714285714 0 0 0 "CK" 1995
4 1996 28.1722222222222 0 0 0 "CK" 1996
4 1997 28.2111111111111 0 0 0 "CK" 1997
4 1998 29.6571428571429 0 0 0 "CK" 1998
4 2003 28.5 0 0 0 "CK" 2003
4 2004 28.8333333333333 0 0 0 "CK" 2004
4 2005 26.25 0 0 0 "CK" 2005
5 1952 27.1907407407407 0 0 0 "CK" 1952
5 1953 27.1704545454545 0 0 0 "CK" 1953
5 1954 26.55 0 0 0 "CK" 1954
5 1955 26.9689655172414 0 0 0 "CK" 1955
5 1956 25.7285714285714 0 0 0 "CK" 1956
5 1957 27.0785714285714 0 0 0 "CK" 1957
5 1977 27.05 0 0 0 "CK" 1977
5 1978 25.9 0 0 0 "CK" 1978
5 1994 27.0875 0 0 0 "CK" 1994
5 1995 28.1583333333333 0 0 0 "CK" 1995
5 1996 27.92 0 0 0 "CK" 1996
5 1997 27.5214285714286 0 0 0 "CK" 1997
5 1998 28.725 0 0 0 "CK" 1998
5 2003 28.0625 0 0 0 "CK" 2003
5 2005 27.5 0 0 0 "CK" 2005
6 1952 27.2214285714286 0 0 0 "CK" 1952
6 1953 26.222 0 0 0 "CK" 1953
6 1954 25.9481481481481 0 0 0 "CK" 1954
6 1955 25.6 0 0 0 "CK" 1955
6 1956 25.43125 0 0 0 "CK" 1956
6 1957 26.4230769230769 0 0 0 "CK" 1957
6 1978 26.1583333333333 0 0 0 "CK" 1978
6 1979 26.2 0 0 0 "CK" 1979
6 1980 26.6 0 0 0 "CK" 1980
6 1994 26.25 0 0 0 "CK" 1994
6 1995 27.01 0 0 0 "CK" 1995
6 1996 27.98 0 0 0 "CK" 1996
6 1997 28.08 0 0 0 "CK" 1997
6 1998 27.01 0 0 0 "CK" 1998
6 2003 27.25 0 0 0 "CK" 2003
6 2004 27.5 0 0 0 "CK" 2004
6 2005 26 0 0 0 "CK" 2005
7 1952 26.5342105263158 0 0 0 "CK" 1952
7 1953 25.8227272727273 0 0 0 "CK" 1953
7 1954 25.8 0 0 0 "CK" 1954
7 1955 25.2875 0 0 0 "CK" 1955
7 1956 24.9016666666667 0 0 0 "CK" 1956
7 1957 25.4 0 0 0 "CK" 1957
7 1973 25.85 0 0 0 "CK" 1973
7 1974 24.825 0 0 0 "CK" 1974
7 1977 26.75 0 0 0 "CK" 1977
7 1978 24.625 0 0 0 "CK" 1978
7 1980 25.65 0 0 0 "CK" 1980
7 1993 27.3 0 0 0 "CK" 1993
7 1994 25.5 0 0 0 "CK" 1994
7 1995 26.35 0 0 0 "CK" 1995
7 1996 26.67 0 0 0 "CK" 1996
7 1997 26.5928571428571 0 0 0 "CK" 1997
7 1998 26.5875 0 0 0 "CK" 1998
7 2003 27.5 0 0 0 "CK" 2003
7 2004 26.25 0 0 0 "CK" 2004
7 2005 26 0 0 0 "CK" 2005
8 1952 26.4788461538462 0 0 0 "CK" 1952
8 1953 25.8142857142857 0 0 0 "CK" 1953
8 1954 25.8883333333333 0 0 0 "CK" 1954
8 1955 24.9224137931034 0 0 0 "CK" 1955
8 1956 25.4211538461538 0 0 0 "CK" 1956
8 1957 25.4704545454545 0 0 0 "CK" 1957
8 1973 27.55 0 0 0 "CK" 1973
8 1977 26.425 0 0 0 "CK" 1977
8 1978 25.2 0 0 0 "CK" 1978
8 1979 25.2 0 0 0 "CK" 1979
8 1993 26.1083333333333 0 0 0 "CK" 1993
8 1994 25.7961538461538 0 0 0 "CK" 1994
8 1995 26.7 0 0 0 "CK" 1995
8 1996 26.5125 0 0 0 "CK" 1996
8 1997 25.5111111111111 0 0 0 "CK" 1997
8 1998 26.9333333333333 0 0 0 "CK" 1998
8 2003 26 0 0 0 "CK" 2003
8 2004 25 0 0 0 "CK" 2004
9 1952 25.9946428571429 0 0 0 "CK" 1952
9 1953 26.24 0 0 0 "CK" 1953
9 1954 26.6190476190476 0 0 0 "CK" 1954
9 1955 26.096 0 0 0 "CK" 1955
9 1956 26.6 0 0 0 "CK" 1956
9 1957 26.0611111111111 0 0 0 "CK" 1957
9 1974 26.55 0 0 0 "CK" 1974
9 1977 24.5375 0 0 0 "CK" 1977
