"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1948 26.9806451612903 0 0 0 "CM" 1948
1 1949 27.2548387096774 0 0 0 "CM" 1949
1 1974 26.5 0 0 0 "CM" 1974
1 1975 28 0 0 0 "CM" 1975
1 1977 26.25 0 0 0 "CM" 1977
1 1978 27.625 0 0 0 "CM" 1978
1 1979 27.9 0 0 0 "CM" 1979
1 1980 27.8888888888889 0 0 0 "CM" 1980
1 1981 27.625 0 0 0 "CM" 1981
1 1982 28.08 0 0 0 "CM" 1982
1 1985 27.3888888888889 0 0 0 "CM" 1985
1 1986 29.1 0 0 0 "CM" 1986
1 1987 27.9166666666667 0 0 0 "CM" 1987
1 1988 27.99 0 0 0 "CM" 1988
1 1990 27.63 0 0 0 "CM" 1990
1 1993 27.55 0 0 0 "CM" 1993
1 1994 27.25 0 0 0 "CM" 1994
1 1995 27.6916666666667 0 0 0 "CM" 1995
1 1996 27.225 0 0 0 "CM" 1996
1 1998 28.0625 0 0 0 "CM" 1998
1 2000 28.16 0 0 0 "CM" 2000
1 2001 28.7 0 0 0 "CM" 2001
1 2002 28.9 0 0 0 "CM" 2002
1 2003 28.7428571428571 0 0 0 "CM" 2003
1 2004 28.3666666666667 0 0 0 "CM" 2004
1 2005 28.2409090909091 0 0 0 "CM" 2005
1 2007 29.3 0 0 0 "CM" 2007
1 2008 27.875 0 0 0 "CM" 2008
1 2009 28.1928571428571 0 0 0 "CM" 2009
1 2010 27.9 0 0 0 "CM" 2010
1 2011 28.05 0 0 0 "CM" 2011
1 2012 28.5 0 0 0 "CM" 2012
1 2013 29.45 0 0 0 "CM" 2013
1 2014 28.375 0 0 0 "CM" 2014
1 2015 27.8 0 0 0 "CM" 2015
1 2016 28.85 0 0 0 "CM" 2016
1 2019 29 0 0 0 "CM" 2019
2 1948 27.1931034482759 0 0 0 "CM" 1948
2 1949 27.1907407407407 0 0 0 "CM" 1949
2 1974 28 0 0 0 "CM" 1974
2 1977 28.1785714285714 0 0 0 "CM" 1977
2 1978 28.4615384615385 0 0 0 "CM" 1978
2 1979 28.5 0 0 0 "CM" 1979
2 1980 27.7142857142857 0 0 0 "CM" 1980
2 1981 28.6315789473684 0 0 0 "CM" 1981
2 1982 28.7666666666667 0 0 0 "CM" 1982
2 1983 27.85 0 0 0 "CM" 1983
