"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1970 2.5 27.225 0 0 0 "CO" 1970
1 1973 2.58333333333333 26.5 0 0 0 "CO" 1973
1 1978 1.74193548387097 25.8596774193548 0 0 0 "CO" 1978
1 1979 1.45161290322581 25.2145161290323 0 0 0 "CO" 1979
1 1981 2.32258064516129 24.8661290322581 0 0 0 "CO" 1981
1 1982 4.80645161290323 24.3032258064516 0 0 0 "CO" 1982
1 1983 1.7741935483871 27.0193548387097 0 0 0 "CO" 1983
1 1984 2.74193548387097 26.4645161290323 0 0 0 "CO" 1984
1 1985 2.49411764705882 25.5147058823529 0 0 0 "CO" 1985
1 1986 1.87096774193548 25.3403225806452 0 0 0 "CO" 1986
1 1987 2.06451612903226 26.5 0 0 0 "CO" 1987
1 1988 7.38709677419355 27.208064516129 0 0 0 "CO" 1988
1 1989 2.51612903225806 25.7854838709677 0 0 0 "CO" 1989
1 1990 1.93548387096774 24.5790322580645 0 0 0 "CO" 1990
1 1991 0.774193548387097 23.6564516129032 0 0 0 "CO" 1991
1 1992 0.806451612903226 25.7645161290323 0 0 0 "CO" 1992
1 1993 3.03225806451613 12.6306451612903 0 0 0 "CO" 1993
1 1994 1.35483870967742 26.5193548387097 0 0 0 "CO" 1994
1 1995 1.51612903225806 26.4290322580645 0 0 0 "CO" 1995
1 1996 4.70967741935484 26.9774193548387 0 0 0 "CO" 1996
1 1997 3.96774193548387 26.9016129032258 0 0 0 "CO" 1997
1 1998 0.387096774193548 27.8145161290323 0 0 0 "CO" 1998
1 1999 3.61290322580645 27.0935483870968 0 0 0 "CO" 1999
1 2000 3.89090909090909 26.3318181818182 0 0 0 "CO" 2000
1 2001 2.75 26.4083333333333 0 0 0 "CO" 2001
1 2002 1.94 27.1175 0 0 0 "CO" 2002
1 2003 3.44 27.02 0 0 0 "CO" 2003
1 2004 2.9 27.33 0 0 0 "CO" 2004
1 2005 2.825 26.54375 0 0 0 "CO" 2005
1 2006 5.83636363636364 26.3636363636364 0 0 0 "CO" 2006
1 2007 0 27.45 0 0 0 "CO" 2007
1 2008 1.9 26.775 0 0 0 "CO" 2008
1 2010 17.75 25.475 0 0 0 "CO" 2010
1 2011 4.51 26.46 0 0 0 "CO" 2011
1 2012 6.85 26.48125 0 0 0 "CO" 2012
1 2013 1.51 27.68 0 0 0 "CO" 2013
1 2014 1.49230769230769 27.1884615384615 0 0 0 "CO" 2014
1 2015 1.33076923076923 27.4192307692308 0 0 0 "CO" 2015
1 2016 0.166666666666667 28.8 0 0 0 "CO" 2016
1 2017 4.2 26.8 0 0 0 "CO" 2017
1 2019 0.35 27.2666666666667 0 0 0 "CO" 2019
2 1973 2.09090909090909 26.2727272727273 0 0 0 "CO" 1973
2 1978 0.25 24.6589285714286 0 0 0 "CO" 1978
2 1979 0.928571428571429 26.6964285714286 0 0 0 "CO" 1979
2 1980 1.3448275862069 24.8465517241379 0 0 0 "CO" 1980
2 1981 1 26.7732142857143 0 0 0 "CO" 1981
2 1982 1.67857142857143 26.3071428571429 0 0 0 "CO" 1982
2 1983 0.428571428571429 26.9946428571429 0 0 0 "CO" 1983
2 1984 3.44827586206897 26.8258620689655 0 0 0 "CO" 1984
2 1985 3.39230769230769 25.7730769230769 0 0 0 "CO" 1985
2 1986 1.85714285714286 26.1482142857143 0 0 0 "CO" 1986
2 1987 0.392857142857143 26.7160714285714 0 0 0 "CO" 1987
2 1988 1.20689655172414 26.1034482758621 0 0 0 "CO" 1988
2 1989 2.07142857142857 26.1392857142857 0 0 0 "CO" 1989
2 1990 0.785714285714286 25.7660714285714 0 0 0 "CO" 1990
2 1991 0.892857142857143 22.9589285714286 0 0 0 "CO" 1991
2 1992 0.172413793103448 24.7086206896552 0 0 0 "CO" 1992
2 1993 0.964285714285714 12.4142857142857 0 0 0 "CO" 1993
2 1994 0.357142857142857 26.5142857142857 0 0 0 "CO" 1994
