"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1995 24.5038461538462 0 0 0 "CQ" 1995
1 1996 24.6344827586207 0 0 0 "CQ" 1996
1 1997 25.041935483871 0 0 0 "CQ" 1997
1 1998 25.5661290322581 0 0 0 "CQ" 1998
1 1999 25.6083333333333 0 0 0 "CQ" 1999
1 2000 25.4258620689655 0 0 0 "CQ" 2000
1 2001 25.4551724137931 0 0 0 "CQ" 2001
1 2002 24.7645161290323 0 0 0 "CQ" 2002
1 2003 24.4827586206897 0 0 0 "CQ" 2003
1 2004 24.7838709677419 0 0 0 "CQ" 2004
1 2005 25.2758620689655 0 0 0 "CQ" 2005
1 2006 25.6629032258065 0 0 0 "CQ" 2006
1 2007 24.9790322580645 0 0 0 "CQ" 2007
1 2008 25.7790322580645 0 0 0 "CQ" 2008
1 2009 25.691935483871 0 0 0 "CQ" 2009
1 2011 24.3 0 0 0 "CQ" 2011
1 2015 24.6435483870968 0 0 0 "CQ" 2015
1 2016 24.8225806451613 0 0 0 "CQ" 2016
1 2017 24.841935483871 0 0 0 "CQ" 2017
1 2018 25.4964285714286 0 0 0 "CQ" 2018
2 1995 23.7553571428571 0 0 0 "CQ" 1995
2 1996 24.2074074074074 0 0 0 "CQ" 1996
2 1997 24.9178571428571 0 0 0 "CQ" 1997
2 1998 25.9447368421053 0 0 0 "CQ" 1998
2 1999 25.6730769230769 0 0 0 "CQ" 1999
2 2000 25.3103448275862 0 0 0 "CQ" 2000
2 2001 25.1160714285714 0 0 0 "CQ" 2001
2 2002 24.8535714285714 0 0 0 "CQ" 2002
2 2003 24.3339285714286 0 0 0 "CQ" 2003
2 2004 24.6637931034483 0 0 0 "CQ" 2004
2 2005 25.175 0 0 0 "CQ" 2005
2 2006 25.3839285714286 0 0 0 "CQ" 2006
2 2007 24.7339285714286 0 0 0 "CQ" 2007
2 2008 25.2913793103448 0 0 0 "CQ" 2008
2 2009 25.5571428571429 0 0 0 "CQ" 2009
2 2010 25.175 0 0 0 "CQ" 2010
2 2012 23.5637931034483 0 0 0 "CQ" 2012
2 2015 23.504 0 0 0 "CQ" 2015
2 2016 24.7310344827586 0 0 0 "CQ" 2016
2 2017 25.0053571428571 0 0 0 "CQ" 2017
2 2018 25.7423076923077 0 0 0 "CQ" 2018
3 1995 24.2375 0 0 0 "CQ" 1995
3 1996 24.6964285714286 0 0 0 "CQ" 1996
3 1997 24.6241935483871 0 0 0 "CQ" 1997
3 1998 25.2 0 0 0 "CQ" 1998
3 1999 26.0693548387097 0 0 0 "CQ" 1999
3 2000 25.7370967741935 0 0 0 "CQ" 2000
3 2001 25.341935483871 0 0 0 "CQ" 2001
3 2002 25.5241935483871 0 0 0 "CQ" 2002
3 2003 24.5709677419355 0 0 0 "CQ" 2003
3 2004 25.4774193548387 0 0 0 "CQ" 2004
3 2005 25.9403225806452 0 0 0 "CQ" 2005
3 2006 25.8870967741935 0 0 0 "CQ" 2006
3 2007 24.7612903225806 0 0 0 "CQ" 2007
3 2008 25.8483870967742 0 0 0 "CQ" 2008
3 2009 25.5532258064516 0 0 0 "CQ" 2009
3 2010 24.9741935483871 0 0 0 "CQ" 2010
3 2011 25.062 0 0 0 "CQ" 2011
3 2012 23.8293103448276 0 0 0 "CQ" 2012
3 2015 24.4516666666667 0 0 0 "CQ" 2015
3 2016 25.0854838709677 0 0 0 "CQ" 2016
3 2017 25.5161290322581 0 0 0 "CQ" 2017
3 2018 26.2366666666667 0 0 0 "CQ" 2018
4 1996 24.3714285714286 0 0 0 "CQ" 1996
4 1997 25.7233333333333 0 0 0 "CQ" 1997
4 1998 26.1125 0 0 0 "CQ" 1998
4 1999 26.3479166666667 0 0 0 "CQ" 1999
4 2000 26.1716666666667 0 0 0 "CQ" 2000
4 2001 26.3866666666667 0 0 0 "CQ" 2001
4 2002 25.3433333333333 0 0 0 "CQ" 2002
4 2003 25.5366666666667 0 0 0 "CQ" 2003
4 2004 26.0066666666667 0 0 0 "CQ" 2004
4 2005 26.4116666666667 0 0 0 "CQ" 2005
4 2006 26.34 0 0 0 "CQ" 2006
4 2007 26.0983333333333 0 0 0 "CQ" 2007
4 2008 26.685 0 0 0 "CQ" 2008
4 2009 26.3933333333333 0 0 0 "CQ" 2009
4 2010 25.4683333333333 0 0 0 "CQ" 2010
4 2011 25.0583333333333 0 0 0 "CQ" 2011
4 2012 24.6566666666667 0 0 0 "CQ" 2012
4 2014 26.4 0 0 0 "CQ" 2014
4 2015 24.8366666666667 0 0 0 "CQ" 2015
4 2016 25.83 0 0 0 "CQ" 2016
4 2017 24.6769230769231 0 0 0 "CQ" 2017
4 2018 25.0933333333333 0 0 0 "CQ" 2018
5 1995 25.6444444444444 0 0 0 "CQ" 1995
5 1996 24.902380952381 0 0 0 "CQ" 1996
5 1997 26.4048387096774 0 0 0 "CQ" 1997
5 1998 26.825 0 0 0 "CQ" 1998
5 1999 26.5854838709677 0 0 0 "CQ" 1999
5 2000 26.4693548387097 0 0 0 "CQ" 2000
5 2001 26.8387096774194 0 0 0 "CQ" 2001
5 2002 26.2724137931034 0 0 0 "CQ" 2002
5 2003 26.1017857142857 0 0 0 "CQ" 2003
5 2004 26.5189655172414 0 0 0 "CQ" 2004
5 2005 27.0370967741936 0 0 0 "CQ" 2005
5 2006 26.9225806451613 0 0 0 "CQ" 2006
5 2008 26.9935483870968 0 0 0 "CQ" 2008
5 2009 26.9048387096774 0 0 0 "CQ" 2009
5 2010 26.7887096774194 0 0 0 "CQ" 2010
5 2011 25.6148148148148 0 0 0 "CQ" 2011
5 2014 26.6038461538462 0 0 0 "CQ" 2014
5 2015 26.2806451612903 0 0 0 "CQ" 2015
5 2016 26.3709677419355 0 0 0 "CQ" 2016
5 2017 27.564 0 0 0 "CQ" 2017
5 2018 26.6666666666667 0 0 0 "CQ" 2018
6 1995 25.7714285714286 0 0 0 "CQ" 1995
6 1996 26.6517857142857 0 0 0 "CQ" 1996
6 1997 26.7637931034483 0 0 0 "CQ" 1997
6 1998 27.595 0 0 0 "CQ" 1998
6 1999 25.975 0 0 0 "CQ" 1999
6 2000 26.5483333333333 0 0 0 "CQ" 2000
6 2001 27.3283333333333 0 0 0 "CQ" 2001
6 2002 27.025 0 0 0 "CQ" 2002
6 2004 26.16 0 0 0 "CQ" 2004
6 2005 27.6833333333333 0 0 0 "CQ" 2005
6 2006 27.4333333333333 0 0 0 "CQ" 2006
6 2007 26.7266666666667 0 0 0 "CQ" 2007
6 2008 26.755 0 0 0 "CQ" 2008
6 2009 26.9116666666667 0 0 0 "CQ" 2009
6 2010 26.6233333333333 0 0 0 "CQ" 2010
6 2011 25.8362068965517 0 0 0 "CQ" 2011
6 2014 25.8266666666667 0 0 0 "CQ" 2014
6 2015 26.8666666666667 0 0 0 "CQ" 2015
6 2017 27.0448275862069 0 0 0 "CQ" 2017
6 2018 26.7516666666667 0 0 0 "CQ" 2018
7 1995 26.1612903225806 0 0 0 "CQ" 1995
7 1996 26.144 0 0 0 "CQ" 1996
7 1997 27.0048387096774 0 0 0 "CQ" 1997
7 1998 26.7758064516129 0 0 0 "CQ" 1998
7 1999 26.2435483870968 0 0 0 "CQ" 1999
7 2000 26.3548387096774 0 0 0 "CQ" 2000
7 2001 26.5387096774194 0 0 0 "CQ" 2001
7 2002 26.0161290322581 0 0 0 "CQ" 2002
7 2003 26.4951612903226 0 0 0 "CQ" 2003
7 2004 26.1 0 0 0 "CQ" 2004
7 2005 27.1403225806452 0 0 0 "CQ" 2005
7 2007 27.1048387096774 0 0 0 "CQ" 2007
7 2008 26.3193548387097 0 0 0 "CQ" 2008
7 2009 26.6193548387097 0 0 0 "CQ" 2009
7 2010 26.2677419354839 0 0 0 "CQ" 2010
7 2011 24.8983333333333 0 0 0 "CQ" 2011
7 2014 26.7285714285714 0 0 0 "CQ" 2014
7 2015 27.1666666666667 0 0 0 "CQ" 2015
7 2016 26.9774193548387 0 0 0 "CQ" 2016
7 2017 26.5 0 0 0 "CQ" 2017
7 2018 26.74 0 0 0 "CQ" 2018
8 1995 26.0370967741935 0 0 0 "CQ" 1995
8 1996 27.1327586206897 0 0 0 "CQ" 1996
8 1997 26.887037037037 0 0 0 "CQ" 1997
8 1998 26.9586206896552 0 0 0 "CQ" 1998
8 1999 26.1774193548387 0 0 0 "CQ" 1999
8 2000 26.1725806451613 0 0 0 "CQ" 2000
8 2001 26.0793103448276 0 0 0 "CQ" 2001
8 2002 26.1887096774194 0 0 0 "CQ" 2002
8 2003 26.2193548387097 0 0 0 "CQ" 2003
8 2004 26.3806451612903 0 0 0 "CQ" 2004
8 2005 26.7274193548387 0 0 0 "CQ" 2005
8 2006 26.4209677419355 0 0 0 "CQ" 2006
8 2007 25.9274193548387 0 0 0 "CQ" 2007
8 2008 25.8596774193548 0 0 0 "CQ" 2008
8 2009 26.4483870967742 0 0 0 "CQ" 2009
8 2010 27.1048387096774 0 0 0 "CQ" 2010
8 2011 24.4375 0 0 0 "CQ" 2011
8 2012 24.525 0 0 0 "CQ" 2012
8 2014 26.4016129032258 0 0 0 "CQ" 2014
8 2015 26.77 0 0 0 "CQ" 2015
8 2016 26.9693548387097 0 0 0 "CQ" 2016
8 2017 26.6413793103448 0 0 0 "CQ" 2017
8 2018 25.8951612903226 0 0 0 "CQ" 2018
9 1995 26.1283333333333 0 0 0 "CQ" 1995
9 1996 27.335 0 0 0 "CQ" 1996
9 1997 26.9666666666667 0 0 0 "CQ" 1997
9 1998 26.6895833333333 0 0 0 "CQ" 1998
9 1999 26.175 0 0 0 "CQ" 1999
9 2000 26.0183333333333 0 0 0 "CQ" 2000
9 2001 25.7982142857143 0 0 0 "CQ" 2001
9 2002 26.4 0 0 0 "CQ" 2002
9 2003 25.9783333333333 0 0 0 "CQ" 2003
9 2004 26.82 0 0 0 "CQ" 2004
9 2005 26.7634615384615 0 0 0 "CQ" 2005
9 2007 26.562 0 0 0 "CQ" 2007
9 2008 26.2766666666667 0 0 0 "CQ" 2008
9 2009 26.3461538461538 0 0 0 "CQ" 2009
9 2010 25.304 0 0 0 "CQ" 2010
9 2011 23.8518518518519 0 0 0 "CQ" 2011
9 2012 25.7631578947368 0 0 0 "CQ" 2012
9 2014 25.2979166666667 0 0 0 "CQ" 2014
9 2015 27.16 0 0 0 "CQ" 2015
9 2016 26.69 0 0 0 "CQ" 2016
9 2017 26.128 0 0 0 "CQ" 2017
9 2018 27.5766666666667 0 0 0 "CQ" 2018
10 1995 25.9034482758621 0 0 0 "CQ" 1995
10 1996 26.5879310344828 0 0 0 "CQ" 1996
10 1997 26.7145161290323 0 0 0 "CQ" 1997
10 1998 26.7083333333333 0 0 0 "CQ" 1998
10 1999 26.4177419354839 0 0 0 "CQ" 1999
10 2000 26.241935483871 0 0 0 "CQ" 2000
10 2001 26.4161290322581 0 0 0 "CQ" 2001
10 2002 26.2403225806452 0 0 0 "CQ" 2002
10 2003 26.0258064516129 0 0 0 "CQ" 2003
10 2004 27.1967741935484 0 0 0 "CQ" 2004
10 2005 26.7048387096774 0 0 0 "CQ" 2005
10 2006 26.0516129032258 0 0 0 "CQ" 2006
10 2007 26.0709677419355 0 0 0 "CQ" 2007
10 2008 26.391935483871 0 0 0 "CQ" 2008
10 2009 25.9258064516129 0 0 0 "CQ" 2009
10 2010 25.6903225806452 0 0 0 "CQ" 2010
10 2011 23.8172413793103 0 0 0 "CQ" 2011
10 2014 23.9555555555556 0 0 0 "CQ" 2014
10 2015 26.6161290322581 0 0 0 "CQ" 2015
10 2016 27.0354838709677 0 0 0 "CQ" 2016
10 2017 26.7769230769231 0 0 0 "CQ" 2017
10 2018 26.1362068965517 0 0 0 "CQ" 2018
11 1995 26.2178571428571 0 0 0 "CQ" 1995
11 1996 26.2910714285714 0 0 0 "CQ" 1996
11 1997 26.1983333333333 0 0 0 "CQ" 1997
11 1998 26.435 0 0 0 "CQ" 1998
11 1999 26.4983333333333 0 0 0 "CQ" 1999
11 2000 26.265 0 0 0 "CQ" 2000
11 2001 25.9166666666667 0 0 0 "CQ" 2001
11 2002 26.1267857142857 0 0 0 "CQ" 2002
11 2003 25.7233333333333 0 0 0 "CQ" 2003
11 2004 26.8766666666667 0 0 0 "CQ" 2004
11 2007 26.4183333333333 0 0 0 "CQ" 2007
11 2008 26.57 0 0 0 "CQ" 2008
11 2009 25.9216666666667 0 0 0 "CQ" 2009
11 2010 24.8783333333333 0 0 0 "CQ" 2010
11 2011 24.2321428571429 0 0 0 "CQ" 2011
11 2014 25.7866666666667 0 0 0 "CQ" 2014
11 2016 26.6566666666667 0 0 0 "CQ" 2016
11 2017 26.8053571428571 0 0 0 "CQ" 2017
11 2018 27.4116666666667 0 0 0 "CQ" 2018
12 1995 25.4333333333333 0 0 0 "CQ" 1995
12 1996 25.098275862069 0 0 0 "CQ" 1996
12 1998 25.9870967741935 0 0 0 "CQ" 1998
12 1999 26.0629032258065 0 0 0 "CQ" 1999
12 2000 25.891935483871 0 0 0 "CQ" 2000
12 2001 25.1822580645161 0 0 0 "CQ" 2001
12 2002 25.5267857142857 0 0 0 "CQ" 2002
12 2003 25.3051724137931 0 0 0 "CQ" 2003
12 2004 26.1655172413793 0 0 0 "CQ" 2004
12 2005 26.3983870967742 0 0 0 "CQ" 2005
12 2007 25.9451612903226 0 0 0 "CQ" 2007
12 2008 26.2274193548387 0 0 0 "CQ" 2008
12 2009 25.3225806451613 0 0 0 "CQ" 2009
12 2010 24.9241935483871 0 0 0 "CQ" 2010
12 2011 24.0851851851852 0 0 0 "CQ" 2011
12 2014 25.4838709677419 0 0 0 "CQ" 2014
12 2015 25.7064516129032 0 0 0 "CQ" 2015
12 2016 25.1129032258065 0 0 0 "CQ" 2016
12 2017 26.3482142857143 0 0 0 "CQ" 2017
12 2018 25.5208333333333 0 0 0 "CQ" 2018
9 1964 26.5 0 0 0 "CQ" 1964
1 1994 25.5677419354839 0 0 0 "CQ" 1994
1 1995 25.4258064516129 0 0 0 "CQ" 1995
1 1996 25.8096774193548 0 0 0 "CQ" 1996
1 1997 26.0822580645161 0 0 0 "CQ" 1997
1 1998 26.3548387096774 0 0 0 "CQ" 1998
1 1999 25.6177419354839 0 0 0 "CQ" 1999
1 2000 26.2677419354839 0 0 0 "CQ" 2000
1 2001 26.275 0 0 0 "CQ" 2001
1 2002 25.7759259259259 0 0 0 "CQ" 2002
1 2003 25.8979166666667 0 0 0 "CQ" 2003
1 2005 26.5112903225806 0 0 0 "CQ" 2005
1 2006 26.3741935483871 0 0 0 "CQ" 2006
1 2007 26.1129032258065 0 0 0 "CQ" 2007
1 2008 26.628 0 0 0 "CQ" 2008
1 2009 26.55625 0 0 0 "CQ" 2009
1 2010 26.0903225806452 0 0 0 "CQ" 2010
1 2011 26.2788461538462 0 0 0 "CQ" 2011
1 2015 25.9532258064516 0 0 0 "CQ" 2015
1 2016 26.3709677419355 0 0 0 "CQ" 2016
1 2017 24.1903225806452 0 0 0 "CQ" 2017
1 2018 26.7677419354839 0 0 0 "CQ" 2018
1 2019 25.65 0 0 0 "CQ" 2019
2 1994 25.2821428571429 0 0 0 "CQ" 1994
2 1995 24.6178571428571 0 0 0 "CQ" 1995
2 1996 25.7206896551724 0 0 0 "CQ" 1996
2 1997 26.0589285714286 0 0 0 "CQ" 1997
2 1998 26.1178571428571 0 0 0 "CQ" 1998
2 1999 26.6833333333333 0 0 0 "CQ" 1999
2 2000 26.3631578947368 0 0 0 "CQ" 2000
2 2001 25.8815789473684 0 0 0 "CQ" 2001
2 2002 25.585 0 0 0 "CQ" 2002
2 2003 25.28125 0 0 0 "CQ" 2003
2 2005 26.1375 0 0 0 "CQ" 2005
2 2006 26.1946428571429 0 0 0 "CQ" 2006
2 2007 25.95 0 0 0 "CQ" 2007
2 2009 24.7 0 0 0 "CQ" 2009
2 2010 26.4464285714286 0 0 0 "CQ" 2010
2 2011 25.61 0 0 0 "CQ" 2011
2 2012 25.774 0 0 0 "CQ" 2012
2 2015 25.6821428571429 0 0 0 "CQ" 2015
2 2016 25.8362068965517 0 0 0 "CQ" 2016
2 2017 25.8910714285714 0 0 0 "CQ" 2017
2 2018 26.5392857142857 0 0 0 "CQ" 2018
3 1994 25.8241935483871 0 0 0 "CQ" 1994
3 1995 25.5548387096774 0 0 0 "CQ" 1995
3 1996 26.3354838709677 0 0 0 "CQ" 1996
3 1997 26.0806451612903 0 0 0 "CQ" 1997
3 1998 25.8532258064516 0 0 0 "CQ" 1998
