"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1985 26.1 0 0 0 "CS" 1985
1 1986 27.08 0 0 0 "CS" 1986
1 1987 26.8 0 0 0 "CS" 1987
1 1988 28.69 0 0 0 "CS" 1988
1 1989 27.25 0 0 0 "CS" 1989
1 1990 27.475 0 0 0 "CS" 1990
1 1991 27.0571428571429 0 0 0 "CS" 1991
1 2001 27.4833333333333 0 0 0 "CS" 2001
1 2006 25.775 0 0 0 "CS" 2006
1 2018 26.375 0 0 0 "CS" 2018
2 1985 27.8666666666667 0 0 0 "CS" 1985
2 1986 25.5944444444444 0 0 0 "CS" 1986
2 1987 27.35 0 0 0 "CS" 1987
2 1988 28.5884615384615 0 0 0 "CS" 1988
2 1989 26.9666666666667 0 0 0 "CS" 1989
2 1990 26.625 0 0 0 "CS" 1990
2 1991 29.3 0 0 0 "CS" 1991
2 2008 27.475 0 0 0 "CS" 2008
2 2011 26.675 0 0 0 "CS" 2011
3 1985 27.4 0 0 0 "CS" 1985
3 1986 26.75 0 0 0 "CS" 1986
3 1987 28.775 0 0 0 "CS" 1987
3 1988 27.4722222222222 0 0 0 "CS" 1988
3 1989 27.0666666666667 0 0 0 "CS" 1989
3 1990 30.05 0 0 0 "CS" 1990
3 1991 29.1833333333333 0 0 0 "CS" 1991
3 2003 28.3 0 0 0 "CS" 2003
3 2005 28.7 0 0 0 "CS" 2005
4 1985 28.9 0 0 0 "CS" 1985
4 1986 29.0166666666667 0 0 0 "CS" 1986
4 1987 29.44 0 0 0 "CS" 1987
4 1988 29.325 0 0 0 "CS" 1988
4 1989 29.575 0 0 0 "CS" 1989
4 1990 29 0 0 0 "CS" 1990
4 1991 29.2590909090909 0 0 0 "CS" 1991
4 1995 28 0 0 0 "CS" 1995
4 2005 30.675 0 0 0 "CS" 2005
4 2006 28.55 0 0 0 "CS" 2006
4 2007 28.4 0 0 0 "CS" 2007
4 2008 28.7333333333333 0 0 0 "CS" 2008
4 2010 29.6 0 0 0 "CS" 2010
4 2011 29.4 0 0 0 "CS" 2011
4 2012 28.4142857142857 0 0 0 "CS" 2012
4 2014 29.6 0 0 0 "CS" 2014
4 2016 29.225 0 0 0 "CS" 2016
4 2017 29.525 0 0 0 "CS" 2017
4 2018 28.7 0 0 0 "CS" 2018
5 1985 28.58 0 0 0 "CS" 1985
5 1986 28.9428571428571 0 0 0 "CS" 1986
5 1987 29.3318181818182 0 0 0 "CS" 1987
5 1988 29.6083333333333 0 0 0 "CS" 1988
5 1989 27.8045454545455 0 0 0 "CS" 1989
5 1990 30.1 0 0 0 "CS" 1990
5 1991 28.0642857142857 0 0 0 "CS" 1991
5 1995 27.94 0 0 0 "CS" 1995
5 2001 27.2 0 0 0 "CS" 2001
5 2002 27.03125 0 0 0 "CS" 2002
5 2003 28.0833333333333 0 0 0 "CS" 2003
5 2004 28.15 0 0 0 "CS" 2004
5 2005 27.7714285714286 0 0 0 "CS" 2005
5 2006 27.7566666666667 0 0 0 "CS" 2006
5 2007 27.940625 0 0 0 "CS" 2007
5 2008 27.3791666666667 0 0 0 "CS" 2008
5 2009 28.8083333333333 0 0 0 "CS" 2009
5 2010 27.2666666666667 0 0 0 "CS" 2010
5 2011 27.65 0 0 0 "CS" 2011
5 2012 27.5307692307692 0 0 0 "CS" 2012
5 2013 27.975 0 0 0 "CS" 2013
5 2014 28.7125 0 0 0 "CS" 2014
5 2015 29.7333333333333 0 0 0 "CS" 2015
5 2016 27.4833333333333 0 0 0 "CS" 2016
5 2017 27.7388888888889 0 0 0 "CS" 2017
5 2018 27.3357142857143 0 0 0 "CS" 2018
6 1985 27.675 0 0 0 "CS" 1985
6 1986 27.4071428571429 0 0 0 "CS" 1986
6 1987 28.375 0 0 0 "CS" 1987
6 1988 26.2454545454545 0 0 0 "CS" 1988
6 1989 26.8461538461538 0 0 0 "CS" 1989
6 1990 27.075 0 0 0 "CS" 1990
6 1991 27.7461538461538 0 0 0 "CS" 1991
6 1992 27.78125 0 0 0 "CS" 1992
6 1994 27.375 0 0 0 "CS" 1994
6 1995 27.325 0 0 0 "CS" 1995
6 2001 26.925 0 0 0 "CS" 2001
6 2002 26.9375 0 0 0 "CS" 2002
6 2003 27.2785714285714 0 0 0 "CS" 2003
6 2004 28.25 0 0 0 "CS" 2004
6 2005 27.425 0 0 0 "CS" 2005
6 2006 26.7368421052632 0 0 0 "CS" 2006
6 2007 27.5 0 0 0 "CS" 2007
