"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1950 24.2903225806452 0 0 0 "CT" 1950
1 1951 24.9806451612903 0 0 0 "CT" 1951
1 1952 25.5096774193548 0 0 0 "CT" 1952
1 1953 25.5612903225806 0 0 0 "CT" 1953
1 1954 25.1451612903226 0 0 0 "CT" 1954
1 1955 23.95 0 0 0 "CT" 1955
1 1956 23.6612903225806 0 0 0 "CT" 1956
1 1957 23.7790322580645 0 0 0 "CT" 1957
1 1958 25.2193548387097 0 0 0 "CT" 1958
1 1959 24.4258064516129 0 0 0 "CT" 1959
1 1961 24.508064516129 0 0 0 "CT" 1961
1 1962 23.3451612903226 0 0 0 "CT" 1962
1 1963 24.4870967741935 0 0 0 "CT" 1963
1 1964 24.4677419354839 0 0 0 "CT" 1964
1 1965 24.8290322580645 0 0 0 "CT" 1965
1 1967 23.3725806451613 0 0 0 "CT" 1967
1 1968 23.8290322580645 0 0 0 "CT" 1968
1 1969 23.7548387096774 0 0 0 "CT" 1969
1 1970 24.9854838709677 0 0 0 "CT" 1970
1 1971 23.8064516129032 0 0 0 "CT" 1971
1 1972 24.1193548387097 0 0 0 "CT" 1972
1 1973 25.35 0 0 0 "CT" 1973
1 1974 23.758064516129 0 0 0 "CT" 1974
1 1975 23.6774193548387 0 0 0 "CT" 1975
1 1976 24.0258064516129 0 0 0 "CT" 1976
1 1977 24.4016129032258 0 0 0 "CT" 1977
1 1978 24.1806451612903 0 0 0 "CT" 1978
1 1979 25.441935483871 0 0 0 "CT" 1979
1 1980 25.1612903225806 0 0 0 "CT" 1980
1 1981 25.25 0 0 0 "CT" 1981
1 1982 25.95 0 0 0 "CT" 1982
1 1993 22.7 0 0 0 "CT" 1993
1 1994 23.8 0 0 0 "CT" 1994
1 1998 28.5 0 0 0 "CT" 1998
1 2000 24.5 0 0 0 "CT" 2000
1 2004 25.25 0 0 0 "CT" 2004
1 2006 27.3 0 0 0 "CT" 2006
1 2009 24.1 0 0 0 "CT" 2009
1 2013 24.55 0 0 0 "CT" 2013
1 2015 25.875 0 0 0 "CT" 2015
1 2017 24.875 0 0 0 "CT" 2017
1 2019 26.05 0 0 0 "CT" 2019
2 1950 24.9232142857143 0 0 0 "CT" 1950
2 1951 25.5392857142857 0 0 0 "CT" 1951
2 1952 25.8827586206897 0 0 0 "CT" 1952
2 1953 25.5607142857143 0 0 0 "CT" 1953
2 1954 25.4482142857143 0 0 0 "CT" 1954
2 1955 24.9178571428571 0 0 0 "CT" 1955
2 1956 25.5724137931034 0 0 0 "CT" 1956
2 1957 24.8589285714286 0 0 0 "CT" 1957
2 1958 25.1178571428571 0 0 0 "CT" 1958
2 1959 25.1535714285714 0 0 0 "CT" 1959
2 1961 24.5660714285714 0 0 0 "CT" 1961
2 1962 25.5321428571429 0 0 0 "CT" 1962
