"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1979 0 17.25 0 0 0 "EG" 1979
1 1980 0.333333333333333 13.4444444444444 0 0 0 "EG" 1980
1 1981 0.125 11 0 0 0 "EG" 1981
1 1983 5.77777777777778 11.3277777777778 0 0 0 "EG" 1983
1 1985 0.05 15.6666666666667 0 0 0 "EG" 1985
1 1986 0.25 14.6 0 0 0 "EG" 1986
1 1987 0.8 12.15 0 0 0 "EG" 1987
1 1988 1.68 13.95 0 0 0 "EG" 1988
1 1989 2.47142857142857 12.1571428571429 0 0 0 "EG" 1989
1 1990 1.1 13.7222222222222 0 0 0 "EG" 1990
1 1991 0.723076923076923 13.6019230769231 0 0 0 "EG" 1991
1 1992 1.59565217391304 13.1282608695652 0 0 0 "EG" 1992
1 1993 0.166666666666667 13.9055555555556 0 0 0 "EG" 1993
1 1994 1.2258064516129 14.4854838709677 0 0 0 "EG" 1994
1 1995 3.56666666666667 12.8283333333333 0 0 0 "EG" 1995
1 1996 1.56666666666667 13.4183333333333 0 0 0 "EG" 1996
1 1997 7.8 14.4983333333333 0 0 0 "EG" 1997
1 1998 7.3 14.1016666666667 0 0 0 "EG" 1998
1 2000 3.025 12.025 0 0 0 "EG" 2000
1 2001 3.225 14.325 0 0 0 "EG" 2001
1 2002 1.98 12.2 0 0 0 "EG" 2002
1 2003 0.285714285714286 15.5892857142857 0 0 0 "EG" 2003
1 2004 1.48421052631579 13.7236842105263 0 0 0 "EG" 2004
1 2005 1.11764705882353 14.9117647058824 0 0 0 "EG" 2005
1 2006 0 13.25 0 0 0 "EG" 2006
1 2007 1.58 13.96 0 0 0 "EG" 2007
1 2008 3.98571428571429 13.9214285714286 0 0 0 "EG" 2008
1 2009 0.333333333333333 13.8166666666667 0 0 0 "EG" 2009
1 2010 0 13.275 0 0 0 "EG" 2010
1 2011 3.025 14.45 0 0 0 "EG" 2011
1 2012 1.85 12.8416666666667 0 0 0 "EG" 2012
1 2013 2.3 12.15 0 0 0 "EG" 2013
1 2015 4.3 11.1583333333333 0 0 0 "EG" 2015
1 2016 11 11.0125 0 0 0 "EG" 2016
1 2017 0.94 12.9 0 0 0 "EG" 2017
1 2018 0.25 12.125 0 0 0 "EG" 2018
1 2019 0.125 12.475 0 0 0 "EG" 2019
2 1977 0 14.75 0 0 0 "EG" 1977
2 1979 0.111111111111111 16 0 0 0 "EG" 1979
2 1980 1.12727272727273 13.0454545454545 0 0 0 "EG" 1980
2 1981 0 12.5714285714286 0 0 0 "EG" 1981
2 1982 3.225 13.4375 0 0 0 "EG" 1982
2 1983 2.36666666666667 11.05 0 0 0 "EG" 1983
2 1984 0.25 15.475 0 0 0 "EG" 1984
2 1985 5.14 13.33 0 0 0 "EG" 1985
2 1986 2.6 14.5 0 0 0 "EG" 1986
2 1987 1 12.375 0 0 0 "EG" 1987
2 1988 6.2 11.04 0 0 0 "EG" 1988
2 1989 1.55 11.895 0 0 0 "EG" 1989
2 1990 1.16470588235294 14.0852941176471 0 0 0 "EG" 1990
2 1991 0.24375 13.94375 0 0 0 "EG" 1991
2 1992 1.46111111111111 12.0583333333333 0 0 0 "EG" 1992
2 1993 2.06111111111111 12.3666666666667 0 0 0 "EG" 1993
2 1994 3.60714285714286 14.1071428571429 0 0 0 "EG" 1994
2 1995 1.28571428571429 13.9696428571429 0 0 0 "EG" 1995
2 1996 0.172413793103448 14.4431034482759 0 0 0 "EG" 1996
2 1997 0.464285714285714 13.4446428571429 0 0 0 "EG" 1997
2 1998 1.5 14.2857142857143 0 0 0 "EG" 1998
