"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
2 2013 28.275 0 0 0 "EK" 2013
3 1997 23.5 0 0 0 "EK" 1997
3 2011 26.7916666666667 0 0 0 "EK" 2011
4 1997 23.5 0 0 0 "EK" 1997
4 2011 27.3833333333333 0 0 0 "EK" 2011
4 2012 27.45 0 0 0 "EK" 2012
4 2013 27.5 0 0 0 "EK" 2013
5 1996 26.75 0 0 0 "EK" 1996
5 1997 23.6666666666667 0 0 0 "EK" 1997
5 2011 27.4 0 0 0 "EK" 2011
5 2012 27.3166666666667 0 0 0 "EK" 2012
5 2014 27.4916666666667 0 0 0 "EK" 2014
6 1996 24.6166666666667 0 0 0 "EK" 1996
6 2011 26.8666666666667 0 0 0 "EK" 2011
7 1996 22.25 0 0 0 "EK" 1996
7 2010 25.75 0 0 0 "EK" 2010
7 2011 26.54 0 0 0 "EK" 2011
7 2012 25 0 0 0 "EK" 2012
8 2011 25.79 0 0 0 "EK" 2011
8 2012 24.725 0 0 0 "EK" 2012
9 2011 25.675 0 0 0 "EK" 2011
9 2012 25.45 0 0 0 "EK" 2012
9 2014 25.5 0 0 0 "EK" 2014
10 2012 25.875 0 0 0 "EK" 2012
10 2014 25.2 0 0 0 "EK" 2014
11 2011 26 0 0 0 "EK" 2011
11 2014 25.8 0 0 0 "EK" 2014
12 2012 27.625 0 0 0 "EK" 2012
1 2013 28.5 0 0 0 "EK" 2013
2 2013 27.525 0 0 0 "EK" 2013
3 2011 27 0 0 0 "EK" 2011
3 2013 27.7666666666667 0 0 0 "EK" 2013
4 2011 25.675 0 0 0 "EK" 2011
4 2012 26.075 0 0 0 "EK" 2012
4 2013 27.8 0 0 0 "EK" 2013
5 2011 26.6 0 0 0 "EK" 2011
5 2012 25.55 0 0 0 "EK" 2012
5 2014 27.9 0 0 0 "EK" 2014
8 2012 25.8 0 0 0 "EK" 2012
9 2011 25.95 0 0 0 "EK" 2011
9 2012 25.725 0 0 0 "EK" 2012
10 2011 25.85 0 0 0 "EK" 2011
10 2012 26.5142857142857 0 0 0 "EK" 2012
11 2011 26.0666666666667 0 0 0 "EK" 2011
11 2012 27.4142857142857 0 0 0 "EK" 2012
11 2017 27.25 0 0 0 "EK" 2017
12 2011 27.075 0 0 0 "EK" 2011
12 2012 26.65 0 0 0 "EK" 2012
