"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1970 0.9 -6.3875 0 0 0 "EN" 1970
1 1971 0.416666666666667 -2.45 0 0 0 "EN" 1971
1 1974 2.725 -2 0 0 0 "EN" 1974
1 1975 1.25 3.5 0 0 0 "EN" 1975
1 2002 2.5 0.95 0 0 0 "EN" 2002
1 2003 2.7 -4.53333333333333 0 0 0 "EN" 2003
1 2016 4.54583333333333 -5.92708333333333 0 0 0 "EN" 2016
1 2017 1.16538461538462 -1.25192307692308 0 0 0 "EN" 2017
2 1970 0.6 -11.62 0 0 0 "EN" 1970
2 1973 0.833333333333333 -1.33333333333333 0 0 0 "EN" 1973
2 1974 1.04 -0.7 0 0 0 "EN" 1974
2 1975 0 1.5 0 0 0 "EN" 1975
2 2002 4.0875 0.71875 0 0 0 "EN" 2002
2 2003 0.933333333333333 -7.35 0 0 0 "EN" 2003
2 2016 2.475 0.85 0 0 0 "EN" 2016
2 2017 1.73684210526316 -0.907894736842105 0 0 0 "EN" 2017
3 1970 1 -1.95 0 0 0 "EN" 1970
3 1974 0 1.83333333333333 0 0 0 "EN" 1974
3 1975 0 -1 0 0 0 "EN" 1975
3 1976 0.5 -8.5 0 0 0 "EN" 1976
3 2002 2.6 1.42 0 0 0 "EN" 2002
3 2016 1.11111111111111 1.85 0 0 0 "EN" 2016
3 2017 1.42631578947368 1.72368421052632 0 0 0 "EN" 2017
4 1971 0.6 3.15 0 0 0 "EN" 1971
4 1973 0 4 0 0 0 "EN" 1973
4 1974 0 4.375 0 0 0 "EN" 1974
4 1975 3.03333333333333 4.83333333333333 0 0 0 "EN" 1975
4 2002 1 1.45 0 0 0 "EN" 2002
4 2003 2.47142857142857 1.45 0 0 0 "EN" 2003
4 2016 2.25 5.4125 0 0 0 "EN" 2016
4 2017 2.90526315789474 2.67894736842105 0 0 0 "EN" 2017
5 1970 0 5.55 0 0 0 "EN" 1970
5 1971 0.14 6 0 0 0 "EN" 1971
5 1973 0 5 0 0 0 "EN" 1973
5 1974 0 6.75 0 0 0 "EN" 1974
5 1975 0 8.5 0 0 0 "EN" 1975
5 2002 1.5 12.375 0 0 0 "EN" 2002
5 2003 3.4 6.71666666666667 0 0 0 "EN" 2003
5 2016 2.35 11.6916666666667 0 0 0 "EN" 2016
5 2017 0 5.475 0 0 0 "EN" 2017
6 1970 0 15 0 0 0 "EN" 1970
6 1974 0 15.75 0 0 0 "EN" 1974
6 2002 4.65 15.4375 0 0 0 "EN" 2002
6 2003 3.225 13.2 0 0 0 "EN" 2003
6 2016 3.8 15.5264705882353 0 0 0 "EN" 2016
7 1974 0 15 0 0 0 "EN" 1974
7 2001 9.25 21.05 0 0 0 "EN" 2001
7 2002 2.23333333333333 18.85 0 0 0 "EN" 2002
7 2003 18 21.45 0 0 0 "EN" 2003
7 2016 2.08 17.7 0 0 0 "EN" 2016
8 1974 0 16.5 0 0 0 "EN" 1974
8 2001 4.2 17.35 0 0 0 "EN" 2001
8 2003 4.7 14.975 0 0 0 "EN" 2003
8 2016 2.23571428571429 17.2678571428571 0 0 0 "EN" 2016
9 1970 1.34 9.5 0 0 0 "EN" 1970
9 1973 0.5 7 0 0 0 "EN" 1973
9 1974 1.62857142857143 14.0714285714286 0 0 0 "EN" 1974
9 2001 6.72 14.25 0 0 0 "EN" 2001
9 2002 3.2 10 0 0 0 "EN" 2002
9 2003 0 13.125 0 0 0 "EN" 2003
9 2016 4.2 13.245 0 0 0 "EN" 2016
10 1970 0.1 4.1625 0 0 0 "EN" 1970
10 1973 0.4 7.75 0 0 0 "EN" 1973
10 1974 0 9 0 0 0 "EN" 1974
10 2001 4.8 9.5 0 0 0 "EN" 2001
10 2002 2.4 2.075 0 0 0 "EN" 2002
10 2003 0 8.265 0 0 0 "EN" 2003
10 2015 3.9 9.31666666666667 0 0 0 "EN" 2015
10 2016 1.47857142857143 7.12857142857143 0 0 0 "EN" 2016
11 1970 4.7 2.225 0 0 0 "EN" 1970
11 1973 0.1 -2.5 0 0 0 "EN" 1973
11 1974 4.2 4.33333333333333 0 0 0 "EN" 1974
11 2001 3.66 2.04 0 0 0 "EN" 2001
