"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1965 26.1 0 0 0 "ES" 1965
1 1980 27.925 0 0 0 "ES" 1980
1 1981 28.6166666666667 0 0 0 "ES" 1981
1 1983 27.5 0 0 0 "ES" 1983
1 1984 26.65 0 0 0 "ES" 1984
1 1985 27.1625 0 0 0 "ES" 1985
1 1986 28.08 0 0 0 "ES" 1986
1 1987 26.25 0 0 0 "ES" 1987
1 1994 27.25 0 0 0 "ES" 1994
1 1998 28.75 0 0 0 "ES" 1998
1 2005 27.3 0 0 0 "ES" 2005
1 2011 27.7 0 0 0 "ES" 2011
2 1963 26.3875 0 0 0 "ES" 1963
2 1973 28.9 0 0 0 "ES" 1973
2 1979 26.7 0 0 0 "ES" 1979
2 1980 27.9227272727273 0 0 0 "ES" 1980
2 1982 26.7785714285714 0 0 0 "ES" 1982
2 1983 28.175 0 0 0 "ES" 1983
2 1985 27.35 0 0 0 "ES" 1985
2 1986 27.1357142857143 0 0 0 "ES" 1986
2 1987 27.9375 0 0 0 "ES" 1987
2 1997 28.475 0 0 0 "ES" 1997
2 1998 27.7333333333333 0 0 0 "ES" 1998
3 1964 28.075 0 0 0 "ES" 1964
3 1973 28.9045454545455 0 0 0 "ES" 1973
3 1979 28.3166666666667 0 0 0 "ES" 1979
3 1980 28.275 0 0 0 "ES" 1980
3 1982 27.9777777777778 0 0 0 "ES" 1982
3 1983 28.8 0 0 0 "ES" 1983
3 1985 28.35 0 0 0 "ES" 1985
3 1986 27.7083333333333 0 0 0 "ES" 1986
3 1987 28.45 0 0 0 "ES" 1987
3 1995 29.05 0 0 0 "ES" 1995
3 1997 28.85 0 0 0 "ES" 1997
3 1998 30.225 0 0 0 "ES" 1998
3 2005 29.975 0 0 0 "ES" 2005
4 1962 27.5833333333333 0 0 0 "ES" 1962
4 1963 27.2 0 0 0 "ES" 1963
4 1964 28.1333333333333 0 0 0 "ES" 1964
4 1965 28.09375 0 0 0 "ES" 1965
4 1966 28.4181818181818 0 0 0 "ES" 1966
4 1973 29.1285714285714 0 0 0 "ES" 1973
4 1978 29.45 0 0 0 "ES" 1978
4 1979 28.45 0 0 0 "ES" 1979
4 1980 29.325 0 0 0 "ES" 1980
4 1981 28.7357142857143 0 0 0 "ES" 1981
4 1982 27.025 0 0 0 "ES" 1982
4 1983 29.1071428571429 0 0 0 "ES" 1983
4 1986 29 0 0 0 "ES" 1986
4 1987 29.575 0 0 0 "ES" 1987
4 1990 28.65 0 0 0 "ES" 1990
4 1997 29.4291666666667 0 0 0 "ES" 1997
4 1998 30.1176470588235 0 0 0 "ES" 1998
4 2003 29.75 0 0 0 "ES" 2003
4 2005 29.9 0 0 0 "ES" 2005
4 2017 30.2 0 0 0 "ES" 2017
5 1962 27.7541666666667 0 0 0 "ES" 1962
5 1963 26.9529411764706 0 0 0 "ES" 1963
5 1964 27.603125 0 0 0 "ES" 1964
5 1965 28.49375 0 0 0 "ES" 1965
5 1966 28.1214285714286 0 0 0 "ES" 1966
5 1973 28.125 0 0 0 "ES" 1973
5 1978 26.95 0 0 0 "ES" 1978
5 1979 28.275 0 0 0 "ES" 1979
5 1980 29.04 0 0 0 "ES" 1980
5 1981 27.0166666666667 0 0 0 "ES" 1981
5 1982 27.2884615384615 0 0 0 "ES" 1982
5 1983 30.9 0 0 0 "ES" 1983
5 1985 27.95 0 0 0 "ES" 1985
5 1986 27.275 0 0 0 "ES" 1986
5 1987 29.1 0 0 0 "ES" 1987
5 1997 30.425 0 0 0 "ES" 1997
5 1998 29.9090909090909 0 0 0 "ES" 1998
5 1999 28.1875 0 0 0 "ES" 1999
5 2010 27.4 0 0 0 "ES" 2010
5 2014 29.15 0 0 0 "ES" 2014
5 2017 28.35 0 0 0 "ES" 2017
5 2018 29.675 0 0 0 "ES" 2018
6 1962 26.6434782608696 0 0 0 "ES" 1962
6 1963 27 0 0 0 "ES" 1963
6 1964 26.6452380952381 0 0 0 "ES" 1964
6 1965 27.2727272727273 0 0 0 "ES" 1965
6 1966 27.2090909090909 0 0 0 "ES" 1966
6 1973 27.25 0 0 0 "ES" 1973
6 1978 27.525 0 0 0 "ES" 1978
6 1980 28.9857142857143 0 0 0 "ES" 1980
6 1981 26.35 0 0 0 "ES" 1981
6 1982 26.6307692307692 0 0 0 "ES" 1982
6 1983 27.9857142857143 0 0 0 "ES" 1983
6 1985 27.375 0 0 0 "ES" 1985
6 1986 26.9 0 0 0 "ES" 1986
6 1989 28.9 0 0 0 "ES" 1989
6 1997 27.4375 0 0 0 "ES" 1997
