"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1979 0.74375 27.03125 0 0 0 "EU" 1979
1 1980 8.92666666666667 27.9666666666667 0 0 0 "EU" 1980
1 1981 0 29 0 0 0 "EU" 1981
1 1982 0.25 26.475 0 0 0 "EU" 1982
1 1983 0 27.9833333333333 0 0 0 "EU" 1983
1 1984 1.61428571428571 27.825 0 0 0 "EU" 1984
1 1985 2.38461538461538 27.8115384615385 0 0 0 "EU" 1985
1 1986 2.18 28.25 0 0 0 "EU" 1986
1 1987 0.7625 27.83125 0 0 0 "EU" 1987
1 1988 1.08 28.78 0 0 0 "EU" 1988
1 1989 2.15833333333333 27.1208333333333 0 0 0 "EU" 1989
1 1990 0.8875 27.325 0 0 0 "EU" 1990
1 1991 29 26.35 0 0 0 "EU" 1991
1 1992 5.025 26.9875 0 0 0 "EU" 1992
1 1993 0.05 28.4583333333333 0 0 0 "EU" 1993
1 1994 2.91666666666667 27.6416666666667 0 0 0 "EU" 1994
1 1995 10.59375 27.103125 0 0 0 "EU" 1995
1 1996 2.71578947368421 27.9052631578947 0 0 0 "EU" 1996
1 1997 2.67777777777778 28.9444444444444 0 0 0 "EU" 1997
1 1998 3.87058823529412 28.9823529411765 0 0 0 "EU" 1998
1 2000 2.5 28.7166666666667 0 0 0 "EU" 2000
1 2001 28.1090909090909 27.4863636363636 0 0 0 "EU" 2001
1 2002 0 27 0 0 0 "EU" 2002
1 2003 0 28.975 0 0 0 "EU" 2003
1 2005 2.23333333333333 28.6041666666667 0 0 0 "EU" 2005
1 2006 0 28.6 0 0 0 "EU" 2006
1 2007 1.25 28.8625 0 0 0 "EU" 2007
1 2008 1.08181818181818 28.7045454545455 0 0 0 "EU" 2008
1 2009 5.44285714285714 28.7071428571429 0 0 0 "EU" 2009
1 2010 0 28.9 0 0 0 "EU" 2010
1 2011 0.142857142857143 29.2571428571429 0 0 0 "EU" 2011
1 2013 4.41538461538462 29.5461538461538 0 0 0 "EU" 2013
1 2014 9.78333333333333 27.7333333333333 0 0 0 "EU" 2014
1 2015 6.3875 28.55625 0 0 0 "EU" 2015
1 2016 0.25 27.625 0 0 0 "EU" 2016
2 1979 1.84736842105263 28.8421052631579 0 0 0 "EU" 1979
2 1980 0 28.4090909090909 0 0 0 "EU" 1980
2 1981 0.333333333333333 28.8333333333333 0 0 0 "EU" 1981
2 1982 9.275 27.1125 0 0 0 "EU" 1982
2 1983 5.275 27.9375 0 0 0 "EU" 1983
2 1984 0.645454545454545 27.1454545454545 0 0 0 "EU" 1984
2 1985 0.4 28.34 0 0 0 "EU" 1985
2 1986 3.05714285714286 27.3285714285714 0 0 0 "EU" 1986
2 1987 1.77777777777778 28.1555555555556 0 0 0 "EU" 1987
2 1988 1.81111111111111 28.2222222222222 0 0 0 "EU" 1988
2 1989 10.125 26.8875 0 0 0 "EU" 1989
2 1990 4.66666666666667 27.4666666666667 0 0 0 "EU" 1990
2 1991 3.2 28.34 0 0 0 "EU" 1991
2 1992 0 27.775 0 0 0 "EU" 1992
2 1993 3.225 28.0625 0 0 0 "EU" 1993
2 1994 0 27.775 0 0 0 "EU" 1994
2 1995 0.5 28.26 0 0 0 "EU" 1995
2 1996 0.433333333333333 28.8733333333333 0 0 0 "EU" 1996
2 1997 2.62777777777778 28.2638888888889 0 0 0 "EU" 1997
2 1998 4.41111111111111 28.8083333333333 0 0 0 "EU" 1998
2 2000 59.9 26.15 0 0 0 "EU" 2000
2 2001 4.62 28.49 0 0 0 "EU" 2001
2 2003 0 28.775 0 0 0 "EU" 2003
2 2004 1.39230769230769 28.3615384615385 0 0 0 "EU" 2004
2 2005 0.418181818181818 28.4863636363636 0 0 0 "EU" 2005
2 2008 0.125 28.3 0 0 0 "EU" 2008
2 2009 0 29 0 0 0 "EU" 2009
2 2010 0.585714285714286 29.7285714285714 0 0 0 "EU" 2010
2 2011 0.375 27.75 0 0 0 "EU" 2011
2 2012 0 27.775 0 0 0 "EU" 2012
2 2013 11.7 28.1708333333333 0 0 0 "EU" 2013
2 2014 8.0625 28.625 0 0 0 "EU" 2014
2 2015 10.5846153846154 28.3576923076923 0 0 0 "EU" 2015
2 2016 0.5 28.6666666666667 0 0 0 "EU" 2016
3 1979 5.8625 28.25 0 0 0 "EU" 1979
3 1980 0 28.5833333333333 0 0 0 "EU" 1980
3 1981 3.875 27.75 0 0 0 "EU" 1981
3 1982 4.1 26.65 0 0 0 "EU" 1982
3 1983 0.833333333333333 28.3833333333333 0 0 0 "EU" 1983
3 1984 3.425 26.5 0 0 0 "EU" 1984
3 1985 4.48888888888889 26.2222222222222 0 0 0 "EU" 1985
3 1986 2.56666666666667 27.7277777777778 0 0 0 "EU" 1986
3 1987 0.9 28.15 0 0 0 "EU" 1987
3 1988 0.0416666666666667 28.2625 0 0 0 "EU" 1988
3 1989 5.625 27.0375 0 0 0 "EU" 1989
3 1990 0.142857142857143 26.2285714285714 0 0 0 "EU" 1990
3 1991 0.575 28.34375 0 0 0 "EU" 1991
3 1992 0.166666666666667 28.0333333333333 0 0 0 "EU" 1992
3 1993 0 27.825 0 0 0 "EU" 1993
3 1994 3.35 27.3166666666667 0 0 0 "EU" 1994
3 1995 0.0833333333333333 27.4541666666667 0 0 0 "EU" 1995
3 1996 4.21 28.1 0 0 0 "EU" 1996
3 1997 3.76842105263158 27.2763157894737 0 0 0 "EU" 1997
3 1998 0 28.505 0 0 0 "EU" 1998
3 2000 13 28.5 0 0 0 "EU" 2000
3 2001 0.25 27.1 0 0 0 "EU" 2001
3 2003 0 28.35 0 0 0 "EU" 2003
3 2004 0 28.24 0 0 0 "EU" 2004
3 2005 0.783333333333333 27.7291666666667 0 0 0 "EU" 2005
3 2006 14 28.8 0 0 0 "EU" 2006
3 2008 1.11764705882353 27.0029411764706 0 0 0 "EU" 2008
3 2009 11.78 26.97 0 0 0 "EU" 2009
3 2010 0.125 29.45 0 0 0 "EU" 2010
3 2011 0.153846153846154 29 0 0 0 "EU" 2011
3 2012 0 26.75 0 0 0 "EU" 2012
3 2013 1.02 27.46 0 0 0 "EU" 2013
3 2014 0.5 30.35 0 0 0 "EU" 2014
3 2016 26.05 28.15 0 0 0 "EU" 2016
4 1979 0 26.5 0 0 0 "EU" 1979
4 1980 0.428571428571429 26.1428571428571 0 0 0 "EU" 1980
4 1981 0 26.4375 0 0 0 "EU" 1981
4 1983 5.1625 27.04375 0 0 0 "EU" 1983
4 1984 0.153846153846154 26.0153846153846 0 0 0 "EU" 1984
4 1985 0 25.0785714285714 0 0 0 "EU" 1985
4 1986 0 26.25625 0 0 0 "EU" 1986
4 1987 0.545 26.54 0 0 0 "EU" 1987
4 1988 17.4875 26.575 0 0 0 "EU" 1988
4 1989 0 25.875 0 0 0 "EU" 1989
4 1990 0 27.1166666666667 0 0 0 "EU" 1990
4 1991 0.0428571428571429 26.6785714285714 0 0 0 "EU" 1991
4 1992 0 26.7583333333333 0 0 0 "EU" 1992
4 1993 0 27.125 0 0 0 "EU" 1993
4 1994 0.25 25.2 0 0 0 "EU" 1994
4 1995 0.5 25.6166666666667 0 0 0 "EU" 1995
4 1996 0.75 25.4204545454545 0 0 0 "EU" 1996
4 1997 4.78421052631579 25.3631578947368 0 0 0 "EU" 1997
4 1998 0.771428571428571 27.3857142857143 0 0 0 "EU" 1998
4 2000 0 26.525 0 0 0 "EU" 2000
4 2001 0 27.2666666666667 0 0 0 "EU" 2001
4 2004 0 28.28 0 0 0 "EU" 2004
4 2005 0.25 26.055 0 0 0 "EU" 2005
4 2006 0.25 27.3625 0 0 0 "EU" 2006
4 2007 0 27.98 0 0 0 "EU" 2007
4 2008 2.03571428571429 24.7428571428571 0 0 0 "EU" 2008
4 2009 0.2 25.915 0 0 0 "EU" 2009
4 2010 0 27.1833333333333 0 0 0 "EU" 2010
4 2011 3.58 27.1166666666667 0 0 0 "EU" 2011
4 2012 2.15294117647059 26.1764705882353 0 0 0 "EU" 2012
4 2013 0.45 25.575 0 0 0 "EU" 2013
4 2014 0.833333333333333 26.6333333333333 0 0 0 "EU" 2014
5 1979 11.3333333333333 24.3333333333333 0 0 0 "EU" 1979
5 1980 0 22.5 0 0 0 "EU" 1980
5 1981 0 25.4 0 0 0 "EU" 1981
5 1982 0.1 24.0333333333333 0 0 0 "EU" 1982
5 1984 0.728571428571429 23.9714285714286 0 0 0 "EU" 1984
5 1985 0 23.3285714285714 0 0 0 "EU" 1985
5 1986 1.01666666666667 23.3083333333333 0 0 0 "EU" 1986
5 1987 0 24.3785714285714 0 0 0 "EU" 1987
5 1988 0 25.35 0 0 0 "EU" 1988
5 1989 1.62 24.01 0 0 0 "EU" 1989
5 1990 0 25.95 0 0 0 "EU" 1990
5 1991 0.222222222222222 23.7555555555556 0 0 0 "EU" 1991
5 1992 0 25.3583333333333 0 0 0 "EU" 1992
5 1993 5.275 24.2375 0 0 0 "EU" 1993
5 1994 0.1 24.43 0 0 0 "EU" 1994
5 1995 0.25 24.49 0 0 0 "EU" 1995
5 1996 0.836842105263158 24.6526315789474 0 0 0 "EU" 1996
5 1997 0.85 23.9454545454545 0 0 0 "EU" 1997
5 1998 0.1 25.195 0 0 0 "EU" 1998
5 2000 0.375 24.95 0 0 0 "EU" 2000
5 2001 0.266666666666667 25.0833333333333 0 0 0 "EU" 2001
5 2002 0.142857142857143 24.2214285714286 0 0 0 "EU" 2002
5 2004 0 24.45 0 0 0 "EU" 2004
5 2005 0 24.7833333333333 0 0 0 "EU" 2005
5 2006 0.722222222222222 24.2444444444444 0 0 0 "EU" 2006
5 2007 0 23.8916666666667 0 0 0 "EU" 2007
5 2008 0 24.55 0 0 0 "EU" 2008
5 2009 0 25.05 0 0 0 "EU" 2009
5 2010 0.16 26.14 0 0 0 "EU" 2010
5 2011 0.03125 24.790625 0 0 0 "EU" 2011
5 2012 0.25 24.9875 0 0 0 "EU" 2012
5 2013 3.81666666666667 24.9083333333333 0 0 0 "EU" 2013
5 2014 1.28 24.675 0 0 0 "EU" 2014
5 2015 6.1 25.45 0 0 0 "EU" 2015
5 2016 0.54 25.11 0 0 0 "EU" 2016
6 1979 0.683333333333333 22.0833333333333 0 0 0 "EU" 1979
6 1980 0.25 21.9166666666667 0 0 0 "EU" 1980
6 1981 0.333333333333333 22.4166666666667 0 0 0 "EU" 1981
6 1982 0 22.275 0 0 0 "EU" 1982
6 1983 0 22.9583333333333 0 0 0 "EU" 1983
6 1984 0.363636363636364 21.9409090909091 0 0 0 "EU" 1984
6 1985 0.4 21.07 0 0 0 "EU" 1985
6 1986 0.3125 21.675 0 0 0 "EU" 1986
6 1987 0.25 22.21875 0 0 0 "EU" 1987
6 1988 0.1 22.71 0 0 0 "EU" 1988
6 1989 0.833333333333333 22.5 0 0 0 "EU" 1989
6 1990 0 22.3 0 0 0 "EU" 1990
