"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1973 -3.47708333333333 0 0 0 "EZ" 1973
1 1974 -0.851612903225807 0 0 0 "EZ" 1974
1 1975 -0.0711538461538462 0 0 0 "EZ" 1975
1 1976 -2.05961538461538 0 0 0 "EZ" 1976
1 1977 -3.525 0 0 0 "EZ" 1977
1 1978 -3.41896551724138 0 0 0 "EZ" 1978
1 1979 -5.66304347826087 0 0 0 "EZ" 1979
1 1980 -5.98571428571429 0 0 0 "EZ" 1980
1 1981 -4.17826086956522 0 0 0 "EZ" 1981
1 1982 -1.675 0 0 0 "EZ" 1982
1 1983 0.25 0 0 0 "EZ" 1983
1 1984 -3.33055555555556 0 0 0 "EZ" 1984
1 1985 -9.645 0 0 0 "EZ" 1985
1 1986 -4.37619047619048 0 0 0 "EZ" 1986
1 1987 -9.35909090909091 0 0 0 "EZ" 1987
1 1988 -0.841304347826087 0 0 0 "EZ" 1988
1 1989 -1.24761904761905 0 0 0 "EZ" 1989
1 1990 -1.89117647058824 0 0 0 "EZ" 1990
1 1991 -1.82941176470588 0 0 0 "EZ" 1991
1 1992 -1.6195652173913 0 0 0 "EZ" 1992
1 1993 -1.59285714285714 0 0 0 "EZ" 1993
1 1999 -1.66666666666667 0 0 0 "EZ" 1999
1 2000 -3.77368421052632 0 0 0 "EZ" 2000
1 2001 -4.06666666666667 0 0 0 "EZ" 2001
1 2002 -1.44130434782609 0 0 0 "EZ" 2002
1 2003 -4.54193548387097 0 0 0 "EZ" 2003
1 2004 -5.27258064516129 0 0 0 "EZ" 2004
1 2005 -2.07741935483871 0 0 0 "EZ" 2005
1 2006 -6.21 0 0 0 "EZ" 2006
1 2007 0.955 0 0 0 "EZ" 2007
1 2008 0.318181818181818 0 0 0 "EZ" 2008
1 2009 -3.965 0 0 0 "EZ" 2009
1 2010 -7.18076923076923 0 0 0 "EZ" 2010
1 2011 -3 0 0 0 "EZ" 2011
1 2012 -2.41818181818182 0 0 0 "EZ" 2012
1 2013 -3.75454545454545 0 0 0 "EZ" 2013
1 2014 -1.85714285714286 0 0 0 "EZ" 2014
1 2015 -2.37083333333333 0 0 0 "EZ" 2015
1 2016 -0.93 0 0 0 "EZ" 2016
1 2017 -4.6 0 0 0 "EZ" 2017
1 2018 -0.541666666666667 0 0 0 "EZ" 2018
1 2019 -8.15 0 0 0 "EZ" 2019
2 1973 -2.11458333333333 0 0 0 "EZ" 1973
2 1974 -0.425 0 0 0 "EZ" 1974
2 1975 -1.03269230769231 0 0 0 "EZ" 1975
2 1976 -3.368 0 0 0 "EZ" 1976
2 1977 -0.695 0 0 0 "EZ" 1977
2 1978 -4.69259259259259 0 0 0 "EZ" 1978
2 1979 -3.39464285714286 0 0 0 "EZ" 1979
2 1980 -1.22037037037037 0 0 0 "EZ" 1980
2 1981 -2.77608695652174 0 0 0 "EZ" 1981
2 1982 -3.28636363636364 0 0 0 "EZ" 1982
2 1983 -5.18846153846154 0 0 0 "EZ" 1983
2 1984 -4.45555555555556 0 0 0 "EZ" 1984
2 1985 -7.20454545454546 0 0 0 "EZ" 1985
2 1986 -8.48235294117647 0 0 0 "EZ" 1986
2 1987 -4.34333333333333 0 0 0 "EZ" 1987
2 1988 -2.16136363636364 0 0 0 "EZ" 1988
2 1989 0.123529411764706 0 0 0 "EZ" 1989
2 1990 3.63611111111111 0 0 0 "EZ" 1990
2 1991 -5.65384615384615 0 0 0 "EZ" 1991
2 1992 -0.5 0 0 0 "EZ" 1992
2 1993 -1.77608695652174 0 0 0 "EZ" 1993
2 1999 -3.38035714285714 0 0 0 "EZ" 1999
2 2000 1.43947368421053 0 0 0 "EZ" 2000
2 2001 -0.97 0 0 0 "EZ" 2001
2 2002 1.652 0 0 0 "EZ" 2002
2 2003 -4.44464285714286 0 0 0 "EZ" 2003
2 2004 -1.05862068965517 0 0 0 "EZ" 2004
