"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1970 1.55806451612903 27.6112903225806 0 0 0 "FM" 1970
1 1971 5.6258064516129 28.0016129032258 0 0 0 "FM" 1971
1 1972 9.24516129032258 26.108064516129 0 0 0 "FM" 1972
1 1973 0.72258064516129 27.4677419354839 0 0 0 "FM" 1973
1 1975 10.7741935483871 26.5983870967742 0 0 0 "FM" 1975
1 1976 12.8058823529412 27.5882352941176 0 0 0 "FM" 1976
1 1977 0.548 27.036 0 0 0 "FM" 1977
1 1987 6.57 27.0866666666667 0 0 0 "FM" 1987
1 1988 4.46666666666667 27.0166666666667 0 0 0 "FM" 1988
1 1989 7.97096774193548 26.8806451612903 0 0 0 "FM" 1989
2 1970 1.43928571428571 27.55 0 0 0 "FM" 1970
2 1971 7.05 27.3160714285714 0 0 0 "FM" 1971
2 1972 8.14827586206897 26.1689655172414 0 0 0 "FM" 1972
2 1973 0.642857142857143 27.3035714285714 0 0 0 "FM" 1973
2 1974 4.9 27.4946428571429 0 0 0 "FM" 1974
2 1975 0.919230769230769 27.0173076923077 0 0 0 "FM" 1975
2 1976 4.74137931034483 27.8862068965517 0 0 0 "FM" 1976
2 1977 1.35 28.0227272727273 0 0 0 "FM" 1977
2 1987 3.63333333333333 26.7791666666667 0 0 0 "FM" 1987
2 1988 6.52592592592593 26.8611111111111 0 0 0 "FM" 1988
2 1989 2.225 26.8946428571429 0 0 0 "FM" 1989
3 1970 2.21935483870968 27.4774193548387 0 0 0 "FM" 1970
3 1971 7.33870967741935 27.9854838709677 0 0 0 "FM" 1971
3 1972 15.1161290322581 26.4016129032258 0 0 0 "FM" 1972
3 1973 0.938709677419355 27.6322580645161 0 0 0 "FM" 1973
3 1974 6.01290322580645 27.3758064516129 0 0 0 "FM" 1974
3 1976 5.6741935483871 27.9822580645161 0 0 0 "FM" 1976
3 1987 1.1 27.4661290322581 0 0 0 "FM" 1987
3 1988 2.17741935483871 27.8096774193548 0 0 0 "FM" 1988
3 1989 1.4 27.3683333333333 0 0 0 "FM" 1989
4 1970 2.31379310344828 27.9086206896552 0 0 0 "FM" 1970
4 1971 14.04 28.095 0 0 0 "FM" 1971
4 1972 2.28333333333333 27.385 0 0 0 "FM" 1972
4 1977 1.81333333333333 28.985 0 0 0 "FM" 1977
4 1986 9.12727272727273 27.5795454545455 0 0 0 "FM" 1986
4 1987 3.46333333333333 27.3916666666667 0 0 0 "FM" 1987
4 1988 2.47 27.48 0 0 0 "FM" 1988
4 1989 2.95333333333333 28.6 0 0 0 "FM" 1989
5 1970 2.70645161290323 28.2435483870968 0 0 0 "FM" 1970
5 1971 9.52258064516129 27.858064516129 0 0 0 "FM" 1971
5 1972 10.9064516129032 28.0935483870968 0 0 0 "FM" 1972
5 1973 1.56129032258065 28.7306451612903 0 0 0 "FM" 1973
5 1975 2.39666666666667 27.5116666666667 0 0 0 "FM" 1975
5 1977 4.10689655172414 28.5948275862069 0 0 0 "FM" 1977
5 1986 5.43870967741935 28.1854838709677 0 0 0 "FM" 1986
5 1988 5.04285714285714 27.5178571428571 0 0 0 "FM" 1988
5 1989 5.87666666666667 28.1416666666667 0 0 0 "FM" 1989
6 1970 6.88 27.9666666666667 0 0 0 "FM" 1970
6 1971 16.2466666666667 27.3466666666667 0 0 0 "FM" 1971
6 1972 6.21666666666667 27.3516666666667 0 0 0 "FM" 1972
6 1973 6.2 28.9620689655172 0 0 0 "FM" 1973
6 1975 10.0566666666667 28.125 0 0 0 "FM" 1975
6 1976 7.19375 28.471875 0 0 0 "FM" 1976
6 1986 7.14333333333333 28.7883333333333 0 0 0 "FM" 1986
6 1987 8.50689655172414 28.1568965517241 0 0 0 "FM" 1987
6 1988 8.91 26.8466666666667 0 0 0 "FM" 1988
6 1989 4.39 27.83 0 0 0 "FM" 1989
7 1970 8.32333333333333 28.4966666666667 0 0 0 "FM" 1970
7 1971 15.2290322580645 26.9 0 0 0 "FM" 1971
7 1972 3.99333333333333 27.3566666666667 0 0 0 "FM" 1972
7 1973 9.27 28.7316666666667 0 0 0 "FM" 1973
7 1975 7.69677419354839 28.6951612903226 0 0 0 "FM" 1975
7 1976 5.68571428571429 27.3166666666667 0 0 0 "FM" 1976
7 1977 1.90740740740741 26.85 0 0 0 "FM" 1977
7 1986 13.0678571428571 27.5446428571429 0 0 0 "FM" 1986
7 1987 4.96551724137931 27.7775862068966 0 0 0 "FM" 1987
7 1988 5.79354838709677 26.9693548387097 0 0 0 "FM" 1988
7 1989 8.22068965517241 27.6448275862069 0 0 0 "FM" 1989
8 1970 8.89 28.0833333333333 0 0 0 "FM" 1970
8 1971 6.06 27.7583333333333 0 0 0 "FM" 1971
8 1972 5.51935483870968 27.0532258064516 0 0 0 "FM" 1972
8 1973 6.66774193548387 28.5951612903226 0 0 0 "FM" 1973
8 1974 11.0677419354839 26.2274193548387 0 0 0 "FM" 1974
8 1975 12.2709677419355 28.1354838709677 0 0 0 "FM" 1975
8 1976 9.28 28.42 0 0 0 "FM" 1976
8 1977 2.45714285714286 27.2928571428571 0 0 0 "FM" 1977
8 1986 7.03870967741936 27.8354838709677 0 0 0 "FM" 1986
8 1987 9.78064516129032 27.6064516129032 0 0 0 "FM" 1987
8 1988 7.50967741935484 27.0338709677419 0 0 0 "FM" 1988
9 1970 8.39666666666667 28.1766666666667 0 0 0 "FM" 1970
9 1971 8.98571428571429 27.9071428571429 0 0 0 "FM" 1971
9 1972 14.49 27.2383333333333 0 0 0 "FM" 1972
9 1973 8.15714285714286 28.2738095238095 0 0 0 "FM" 1973
9 1975 14.87 28.5466666666667 0 0 0 "FM" 1975
9 1976 11.6928571428571 27.6928571428571 0 0 0 "FM" 1976
9 1977 3.50769230769231 28.0153846153846 0 0 0 "FM" 1977
9 1986 4.81 27.2066666666667 0 0 0 "FM" 1986
9 1987 9.59 27.5816666666667 0 0 0 "FM" 1987
9 1988 7.43333333333333 27.2483333333333 0 0 0 "FM" 1988
10 1970 13.9709677419355 28.208064516129 0 0 0 "FM" 1970
10 1971 9.97741935483871 27.2016129032258 0 0 0 "FM" 1971
10 1972 2.61 28.0583333333333 0 0 0 "FM" 1972
10 1975 8.84838709677419 28.2435483870968 0 0 0 "FM" 1975
10 1976 5.56923076923077 28.7923076923077 0 0 0 "FM" 1976
10 1977 5.96774193548387 28.3548387096774 0 0 0 "FM" 1977
10 1986 7.28275862068966 27.7931034482759 0 0 0 "FM" 1986
10 1987 11.0814814814815 27.6240740740741 0 0 0 "FM" 1987
10 1988 13.8354838709677 26.6677419354839 0 0 0 "FM" 1988
11 1970 6.15666666666667 28.3616666666667 0 0 0 "FM" 1970
11 1971 7.49 27.5083333333333 0 0 0 "FM" 1971
11 1972 9.15333333333333 27.46 0 0 0 "FM" 1972
11 1975 8.04666666666667 28.2733333333333 0 0 0 "FM" 1975
11 1976 4.65357142857143 28.3982142857143 0 0 0 "FM" 1976
11 1986 7.13333333333333 27.5933333333333 0 0 0 "FM" 1986
11 1987 8.98275862068965 25.8827586206897 0 0 0 "FM" 1987
11 1988 4.16 26.8916666666667 0 0 0 "FM" 1988
12 1970 8.62903225806452 27.5467741935484 0 0 0 "FM" 1970
12 1971 5.95483870967742 26.8790322580645 0 0 0 "FM" 1971
12 1972 4.68518518518519 26.8814814814815 0 0 0 "FM" 1972
12 1974 6.69583333333333 27.3604166666667 0 0 0 "FM" 1974
12 1986 7.9 27.8108695652174 0 0 0 "FM" 1986
12 1987 3.224 27.394 0 0 0 "FM" 1987
12 1988 11.6833333333333 26.7566666666667 0 0 0 "FM" 1988
1 2004 6.8741935483871 28.7129032258064 0 0 0 "FM" 2004
1 2005 11.0451612903226 29.2467741935484 0 0 0 "FM" 2005
1 2017 6.15333333333333 29.4766666666667 0 0 0 "FM" 2017
1 2018 7.42903225806452 30.0661290322581 0 0 0 "FM" 2018
1 2019 8.71153846153846 29.7961538461538 0 0 0 "FM" 2019
2 2004 6.13793103448276 28.7775862068966 0 0 0 "FM" 2004
2 2016 0.681818181818182 29.6863636363636 0 0 0 "FM" 2016
2 2017 2.42592592592593 29.7907407407407 0 0 0 "FM" 2017
2 2018 7.14230769230769 29.9673076923077 0 0 0 "FM" 2018
3 2004 2.16129032258065 29.1193548387097 0 0 0 "FM" 2004
3 2016 0.516666666666667 30.2416666666667 0 0 0 "FM" 2016
3 2018 2.21724137931034 30.3120689655172 0 0 0 "FM" 2018
4 2004 18.6590909090909 28.9818181818182 0 0 0 "FM" 2004
4 2016 3.60333333333333 30.4083333333333 0 0 0 "FM" 2016
4 2017 4.67894736842105 29.9078947368421 0 0 0 "FM" 2017
4 2018 1.8 30.2115384615385 0 0 0 "FM" 2018
5 2004 9.6 29.27 0 0 0 "FM" 2004
5 2005 14.0645161290323 29.7854838709677 0 0 0 "FM" 2005
5 2016 7.24838709677419 29.6903225806452 0 0 0 "FM" 2016
5 2017 6.432 29.816 0 0 0 "FM" 2017
5 2018 10.6133333333333 29.7466666666667 0 0 0 "FM" 2018
6 2004 14.8266666666667 28.2933333333333 0 0 0 "FM" 2004
6 2005 7.37 29.8316666666667 0 0 0 "FM" 2005
6 2017 11.2681818181818 29.6590909090909 0 0 0 "FM" 2017
6 2018 7.92222222222222 29.9074074074074 0 0 0 "FM" 2018
7 2016 8.63225806451613 29.6725806451613 0 0 0 "FM" 2016
7 2017 12.5722222222222 29.6888888888889 0 0 0 "FM" 2017
7 2018 9.23548387096774 29.8032258064516 0 0 0 "FM" 2018
8 2016 12.264 29.766 0 0 0 "FM" 2016
8 2017 13.2071428571429 29.4178571428571 0 0 0 "FM" 2017
