"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1970 3.01290322580645 5.98225806451613 0 0 0 "FR" 1970
1 1971 2.63870967741935 5.48548387096774 0 0 0 "FR" 1971
1 1972 1.98709677419355 4.6241935483871 0 0 0 "FR" 1972
1 1973 1.35806451612903 4.61451612903226 0 0 0 "FR" 1973
1 1974 2.52903225806452 7.61774193548387 0 0 0 "FR" 1974
1 1975 1.79677419354839 7.80161290322581 0 0 0 "FR" 1975
1 1976 1.00967741935484 5.83870967741935 0 0 0 "FR" 1976
1 1977 1.63870967741935 4.83225806451613 0 0 0 "FR" 1977
1 1978 3.31935483870968 4.80645161290323 0 0 0 "FR" 1978
1 1979 2.08709677419355 1.26774193548387 0 0 0 "FR" 1979
1 1980 2.27741935483871 3.12258064516129 0 0 0 "FR" 1980
1 1981 1.24193548387097 5.85161290322581 0 0 0 "FR" 1981
1 1982 2.50645161290323 6.55645161290323 0 0 0 "FR" 1982
1 1983 1.03548387096774 7.2741935483871 0 0 0 "FR" 1983
1 1984 3.2741935483871 6.17903225806452 0 0 0 "FR" 1984
1 1985 1.83870967741935 0.935483870967742 0 0 0 "FR" 1985
1 1986 3.65806451612903 5.92741935483871 0 0 0 "FR" 1986
1 1987 0.629032258064516 -0.245161290322581 0 0 0 "FR" 1987
1 1988 4.74193548387097 7.93225806451613 0 0 0 "FR" 1988
1 1989 0.703225806451613 5.61612903225806 0 0 0 "FR" 1989
1 1990 2.78709677419355 7.42096774193548 0 0 0 "FR" 1990
1 1991 2.07096774193548 5.17741935483871 0 0 0 "FR" 1991
1 1992 0.264516129032258 4.25806451612903 0 0 0 "FR" 1992
1 1993 1.55483870967742 8.55645161290323 0 0 0 "FR" 1993
1 1994 2.63870967741935 7.61935483870968 0 0 0 "FR" 1994
1 1995 5.47096774193548 6.76451612903226 0 0 0 "FR" 1995
1 1996 1.4 6.91451612903226 0 0 0 "FR" 1996
1 1997 0.329032258064516 3.08064516129032 0 0 0 "FR" 1997
1 1998 2.52903225806452 6.14193548387097 0 0 0 "FR" 1998
1 1999 2.85806451612903 7.6758064516129 0 0 0 "FR" 1999
1 2000 0.793548387096774 5.35161290322581 0 0 0 "FR" 2000
1 2001 4.70967741935484 6.54677419354839 0 0 0 "FR" 2001
1 2002 1.07096774193548 7.9241935483871 0 0 0 "FR" 2002
1 2003 2.21935483870968 4.71774193548387 0 0 0 "FR" 2003
1 2004 4.60967741935484 7.24193548387097 0 0 0 "FR" 2004
1 2005 1.09032258064516 7.2241935483871 0 0 0 "FR" 2005
1 2006 0.851612903225806 4.38870967741935 0 0 0 "FR" 2006
1 2007 1.41290322580645 8.31935483870968 0 0 0 "FR" 2007
1 2008 3.12903225806452 7.43870967741935 0 0 0 "FR" 2008
1 2009 3.14838709677419 3.67096774193548 0 0 0 "FR" 2009
1 2010 0.858064516129032 2.82903225806452 0 0 0 "FR" 2010
1 2011 1.33870967741935 5.61935483870968 0 0 0 "FR" 2011
1 2012 1.00967741935484 7.29193548387097 0 0 0 "FR" 2012
1 2013 1.83225806451613 5.53548387096774 0 0 0 "FR" 2013
1 2014 4.70967741935484 7.7758064516129 0 0 0 "FR" 2014
1 2015 2.51290322580645 6.20483870967742 0 0 0 "FR" 2015
1 2016 2.82903225806452 7.16129032258065 0 0 0 "FR" 2016
1 2017 1.42903225806452 3.61935483870968 0 0 0 "FR" 2017
1 2018 0.984615384615385 7.55384615384615 0 0 0 "FR" 2018
1 2019 0.0888888888888889 5.28333333333333 0 0 0 "FR" 2019
2 1970 2.90357142857143 6.17142857142857 0 0 0 "FR" 1970
2 1971 1.55357142857143 5.50892857142857 0 0 0 "FR" 1971
2 1972 4.00689655172414 6.71379310344828 0 0 0 "FR" 1972
2 1973 1.25 4.6375 0 0 0 "FR" 1973
2 1974 3.23214285714286 6.95357142857143 0 0 0 "FR" 1974
2 1975 0.45 7.29464285714286 0 0 0 "FR" 1975
2 1976 1.38275862068966 6.10172413793103 0 0 0 "FR" 1976
2 1977 3.79642857142857 8.11607142857143 0 0 0 "FR" 1977
2 1978 3.18571428571429 5.98928571428571 0 0 0 "FR" 1978
2 1979 3.42142857142857 5.36428571428571 0 0 0 "FR" 1979
2 1980 1.33103448275862 7.64310344827586 0 0 0 "FR" 1980
2 1981 1.82142857142857 3.99821428571429 0 0 0 "FR" 1981
2 1982 1.47142857142857 6.81428571428571 0 0 0 "FR" 1982
2 1983 1.67857142857143 3.86607142857143 0 0 0 "FR" 1983
2 1984 0.886206896551724 5.28448275862069 0 0 0 "FR" 1984
2 1985 1.25714285714286 4.36428571428571 0 0 0 "FR" 1985
2 1986 2.33571428571429 -0.369642857142857 0 0 0 "FR" 1986
2 1987 1.16428571428571 5.27142857142857 0 0 0 "FR" 1987
2 1988 2.94827586206897 5.95689655172414 0 0 0 "FR" 1988
2 1989 2.06785714285714 7.15 0 0 0 "FR" 1989
2 1990 3.425 10.4857142857143 0 0 0 "FR" 1990
2 1991 1.2 2.6875 0 0 0 "FR" 1991
2 1992 0.913793103448276 6.14310344827586 0 0 0 "FR" 1992
2 1993 0.0714285714285714 4.54107142857143 0 0 0 "FR" 1993
