"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1979 5.3125 28.25 0 0 0 "FS" 1979
1 1980 7.16363636363636 28.3181818181818 0 0 0 "FS" 1980
1 1981 0.4 28.3 0 0 0 "FS" 1981
1 1982 0.5 29.65 0 0 0 "FS" 1982
1 1983 1.7 28.3833333333333 0 0 0 "FS" 1983
1 1984 3.49166666666667 27.725 0 0 0 "FS" 1984
1 1985 4.26875 27.88125 0 0 0 "FS" 1985
1 1986 10.43 27.19 0 0 0 "FS" 1986
1 1987 7.89 28.26 0 0 0 "FS" 1987
1 1988 6.0375 29.23125 0 0 0 "FS" 1988
1 1989 17.2230769230769 27.2730769230769 0 0 0 "FS" 1989
1 1990 7.66666666666667 27.7277777777778 0 0 0 "FS" 1990
1 1991 8.04 27.81 0 0 0 "FS" 1991
1 1992 14.42 28.15 0 0 0 "FS" 1992
1 1993 2.96666666666667 28.5166666666667 0 0 0 "FS" 1993
1 1994 2.31666666666667 28.0333333333333 0 0 0 "FS" 1994
1 1995 2.32142857142857 28.5642857142857 0 0 0 "FS" 1995
1 1996 6.985 28.01 0 0 0 "FS" 1996
1 1997 2.01428571428571 28.4785714285714 0 0 0 "FS" 1997
1 1998 6.88571428571429 28.7535714285714 0 0 0 "FS" 1998
1 2000 3 28.5909090909091 0 0 0 "FS" 2000
1 2001 18 26.55 0 0 0 "FS" 2001
1 2002 8.56666666666667 28.0916666666667 0 0 0 "FS" 2002
1 2003 0.333333333333333 28.2833333333333 0 0 0 "FS" 2003
1 2004 1.15714285714286 28.7785714285714 0 0 0 "FS" 2004
1 2005 0 27.8590909090909 0 0 0 "FS" 2005
1 2006 1.9 28.76 0 0 0 "FS" 2006
1 2009 1.8375 28.6375 0 0 0 "FS" 2009
1 2010 5.15 28.13125 0 0 0 "FS" 2010
1 2011 1.27142857142857 28.05 0 0 0 "FS" 2011
1 2012 0 29.525 0 0 0 "FS" 2012
1 2013 11.55625 28.49375 0 0 0 "FS" 2013
1 2014 0.433333333333333 28.95 0 0 0 "FS" 2014
2 1979 4.08461538461538 28.2692307692308 0 0 0 "FS" 1979
2 1980 0 28.3 0 0 0 "FS" 1980
2 1981 47.5 27.875 0 0 0 "FS" 1981
2 1982 2.36666666666667 28.3666666666667 0 0 0 "FS" 1982
2 1983 26.38 28.26 0 0 0 "FS" 1983
2 1984 10.8875 28.24375 0 0 0 "FS" 1984
2 1985 12.1 27.45625 0 0 0 "FS" 1985
2 1986 3.33333333333333 28.7583333333333 0 0 0 "FS" 1986
2 1987 16 28.6375 0 0 0 "FS" 1987
2 1988 14.2222222222222 28.1555555555556 0 0 0 "FS" 1988
2 1989 4.93333333333333 27.8583333333333 0 0 0 "FS" 1989
2 1990 15.4166666666667 27.775 0 0 0 "FS" 1990
2 1991 5.9 28.8875 0 0 0 "FS" 1991
2 1992 14.3 27.9333333333333 0 0 0 "FS" 1992
2 1993 1.98 28.22 0 0 0 "FS" 1993
2 1994 14.5 28.975 0 0 0 "FS" 1994
2 1995 0.388888888888889 27.8166666666667 0 0 0 "FS" 1995
2 1996 11.0071428571429 28.1892857142857 0 0 0 "FS" 1996
2 1997 3.46666666666667 27.9083333333333 0 0 0 "FS" 1997
2 1998 4.95384615384615 29.3653846153846 0 0 0 "FS" 1998
2 2000 5.84 28.02 0 0 0 "FS" 2000
2 2001 1.5 28.65 0 0 0 "FS" 2001
2 2002 3.95 26.825 0 0 0 "FS" 2002
2 2003 0 27.8 0 0 0 "FS" 2003
2 2004 0.392307692307692 28.3923076923077 0 0 0 "FS" 2004
2 2005 3.26666666666667 28.44 0 0 0 "FS" 2005
2 2006 10.57 27.905 0 0 0 "FS" 2006
