"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1973 3.8 -1 0 0 0 "GG" 1973
1 1990 0 -6.2 0 0 0 "GG" 1990
1 1991 7.03333333333333 -3.08333333333333 0 0 0 "GG" 1991
2 1973 0 5 0 0 0 "GG" 1973
2 1979 0.7 -8 0 0 0 "GG" 1979
2 1980 0 -4.5 0 0 0 "GG" 1980
2 1982 0.2 -4.8 0 0 0 "GG" 1982
2 1990 8 -1.25 0 0 0 "GG" 1990
2 1991 8.9 -3.55 0 0 0 "GG" 1991
3 1974 0 3.5 0 0 0 "GG" 1974
3 1975 0 0 0 0 0 "GG" 1975
3 1978 6.35 3.225 0 0 0 "GG" 1978
3 1979 0.433333333333333 1.83333333333333 0 0 0 "GG" 1979
3 1980 0.7 4.5 0 0 0 "GG" 1980
3 1981 3.75 -1.5 0 0 0 "GG" 1981
3 1982 0 2.15 0 0 0 "GG" 1982
3 1990 0.45 1.35 0 0 0 "GG" 1990
3 1991 0 3.2 0 0 0 "GG" 1991
4 1973 0 5 0 0 0 "GG" 1973
4 1976 0 2 0 0 0 "GG" 1976
4 1978 1.65 4.5 0 0 0 "GG" 1978
4 1979 1.01666666666667 7.58333333333333 0 0 0 "GG" 1979
4 1981 7.775 4.125 0 0 0 "GG" 1981
4 1990 1.475 4.28125 0 0 0 "GG" 1990
4 1991 2.56 6.29 0 0 0 "GG" 1991
5 1973 7.04285714285714 8.78571428571429 0 0 0 "GG" 1973
5 1978 6.1 4.75 0 0 0 "GG" 1978
5 1979 0 12.5833333333333 0 0 0 "GG" 1979
5 1980 3.2 12.25 0 0 0 "GG" 1980
5 1981 2.36666666666667 8.83333333333333 0 0 0 "GG" 1981
5 1990 4.00909090909091 9.10454545454545 0 0 0 "GG" 1990
5 1991 0.933333333333333 9.00833333333333 0 0 0 "GG" 1991
6 1978 1.86666666666667 6.66666666666667 0 0 0 "GG" 1978
6 1979 1.67777777777778 12.5 0 0 0 "GG" 1979
6 1980 0 12.1666666666667 0 0 0 "GG" 1980
6 1981 0 10.1666666666667 0 0 0 "GG" 1981
6 1990 2.35555555555556 12.4666666666667 0 0 0 "GG" 1990
6 1991 0.1 15.575 0 0 0 "GG" 1991
7 1978 0 15 0 0 0 "GG" 1978
7 1979 0.366666666666667 13.5 0 0 0 "GG" 1979
7 1980 0 17.875 0 0 0 "GG" 1980
7 1985 8 7.9 0 0 0 "GG" 1985
7 1990 1.91428571428571 16.5928571428571 0 0 0 "GG" 1990
7 1991 2.475 17.425 0 0 0 "GG" 1991
8 1979 0 18.2 0 0 0 "GG" 1979
8 1980 0 20 0 0 0 "GG" 1980
8 1981 6.13333333333333 15.5 0 0 0 "GG" 1981
8 1990 0 15.7875 0 0 0 "GG" 1990
8 1991 1.58 15.68 0 0 0 "GG" 1991
9 1976 0 14.5 0 0 0 "GG" 1976
9 1978 0.766666666666667 12.1666666666667 0 0 0 "GG" 1978
9 1979 0 16 0 0 0 "GG" 1979
9 1980 0 14 0 0 0 "GG" 1980
9 1981 12.7 10.6666666666667 0 0 0 "GG" 1981
9 1982 16.8 12.05 0 0 0 "GG" 1982
9 1990 0 15.575 0 0 0 "GG" 1990
9 1991 1.22 13.15 0 0 0 "GG" 1991
10 1978 25.8 7.66666666666667 0 0 0 "GG" 1978
10 1979 0 9 0 0 0 "GG" 1979
10 1990 3.05 4.1 0 0 0 "GG" 1990
11 1979 0 7.66666666666667 0 0 0 "GG" 1979
11 1981 40.3 -3.5 0 0 0 "GG" 1981
11 1989 8.375 6.3375 0 0 0 "GG" 1989
11 1990 10.22 4.68 0 0 0 "GG" 1990
12 1974 4.9 -3.5 0 0 0 "GG" 1974
12 1978 5.7 -2.5 0 0 0 "GG" 1978
12 1989 5.7 -4.7125 0 0 0 "GG" 1989
12 1990 0.9 -0.825 0 0 0 "GG" 1990
1 1970 0 7.46875 0 0 0 "GG" 1970
1 1973 0 10.25 0 0 0 "GG" 1973
1 1977 14.4 4.5 0 0 0 "GG" 1977
1 1979 1.87272727272727 8.22727272727273 0 0 0 "GG" 1979
1 1980 3.82 3.3 0 0 0 "GG" 1980
1 1981 0 8.14285714285714 0 0 0 "GG" 1981
1 1982 0 7.2125 0 0 0 "GG" 1982
1 1990 0 4.2 0 0 0 "GG" 1990
1 1991 1.25 5.69166666666667 0 0 0 "GG" 1991
2 1970 1.56 9.39 0 0 0 "GG" 1970
2 1973 0.95 12.375 0 0 0 "GG" 1973
2 1978 2.36666666666667 7.66666666666667 0 0 0 "GG" 1978
2 1979 5.05 6.58333333333333 0 0 0 "GG" 1979
2 1980 0 6.66666666666667 0 0 0 "GG" 1980
2 1981 0 11 0 0 0 "GG" 1981
2 1982 12.6 7.8 0 0 0 "GG" 1982
2 1990 3.8 5.325 0 0 0 "GG" 1990
2 1991 0 13.15 0 0 0 "GG" 1991
3 1970 0.9 13.4333333333333 0 0 0 "GG" 1970
3 1973 2.325 6.875 0 0 0 "GG" 1973
3 1978 1.9 10.45 0 0 0 "GG" 1978
3 1979 0.7 9.4 0 0 0 "GG" 1979
3 1980 4.275 7.375 0 0 0 "GG" 1980
