"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
2 2009 28.8 0 0 0 "GH" 2009
3 1994 31.45 0 0 0 "GH" 1994
3 2017 29.8 0 0 0 "GH" 2017
4 1994 31.5166666666667 0 0 0 "GH" 1994
4 2009 30.4 0 0 0 "GH" 2009
4 2010 31.55 0 0 0 "GH" 2010
4 2011 32.25 0 0 0 "GH" 2011
4 2012 29.4166666666667 0 0 0 "GH" 2012
4 2013 31.2 0 0 0 "GH" 2013
4 2015 32.35 0 0 0 "GH" 2015
4 2018 31.725 0 0 0 "GH" 2018
5 1994 31.7833333333333 0 0 0 "GH" 1994
5 2005 29.65 0 0 0 "GH" 2005
5 2006 27.8 0 0 0 "GH" 2006
5 2009 29.85 0 0 0 "GH" 2009
5 2010 28.25 0 0 0 "GH" 2010
5 2011 28.65 0 0 0 "GH" 2011
5 2012 27.8 0 0 0 "GH" 2012
5 2013 27.95 0 0 0 "GH" 2013
5 2014 28.8 0 0 0 "GH" 2014
5 2015 30.3 0 0 0 "GH" 2015
5 2016 28.9 0 0 0 "GH" 2016
5 2017 29.6416666666667 0 0 0 "GH" 2017
5 2018 28.175 0 0 0 "GH" 2018
6 2008 27.65 0 0 0 "GH" 2008
6 2009 28 0 0 0 "GH" 2009
6 2010 28.15 0 0 0 "GH" 2010
6 2011 29.5 0 0 0 "GH" 2011
6 2013 27.55 0 0 0 "GH" 2013
6 2014 28.9 0 0 0 "GH" 2014
6 2015 27.05 0 0 0 "GH" 2015
6 2016 27.9333333333333 0 0 0 "GH" 2016
6 2017 27.8 0 0 0 "GH" 2017
6 2018 28.175 0 0 0 "GH" 2018
7 1996 26.8 0 0 0 "GH" 1996
7 2005 27.9 0 0 0 "GH" 2005
7 2006 27.05 0 0 0 "GH" 2006
7 2008 26.26 0 0 0 "GH" 2008
7 2009 25.95 0 0 0 "GH" 2009
7 2010 26.275 0 0 0 "GH" 2010
7 2011 28.7833333333333 0 0 0 "GH" 2011
7 2012 25.4 0 0 0 "GH" 2012
7 2014 26.95 0 0 0 "GH" 2014
7 2015 28.25 0 0 0 "GH" 2015
7 2016 28.19 0 0 0 "GH" 2016
7 2017 26.95 0 0 0 "GH" 2017
7 2018 27.5125 0 0 0 "GH" 2018
8 1994 27 0 0 0 "GH" 1994
8 1996 24.2 0 0 0 "GH" 1996
8 2008 26.5875 0 0 0 "GH" 2008
8 2009 26.9875 0 0 0 "GH" 2009
8 2010 26.5583333333333 0 0 0 "GH" 2010
8 2012 26.9 0 0 0 "GH" 2012
8 2014 27.2916666666667 0 0 0 "GH" 2014
8 2015 26.3666666666667 0 0 0 "GH" 2015
8 2016 27.1357142857143 0 0 0 "GH" 2016
8 2017 27.0071428571429 0 0 0 "GH" 2017
8 2018 26.1045454545455 0 0 0 "GH" 2018
9 1994 27.95 0 0 0 "GH" 1994
9 2008 26.9 0 0 0 "GH" 2008
9 2009 26.47 0 0 0 "GH" 2009
9 2010 26.86875 0 0 0 "GH" 2010
9 2011 27.7 0 0 0 "GH" 2011
9 2012 26.1227272727273 0 0 0 "GH" 2012
9 2014 27.625 0 0 0 "GH" 2014
9 2015 27.75 0 0 0 "GH" 2015
9 2016 27.5785714285714 0 0 0 "GH" 2016
9 2017 27.1428571428571 0 0 0 "GH" 2017
9 2018 26.94 0 0 0 "GH" 2018
10 2005 27.8375 0 0 0 "GH" 2005
10 2009 27.8071428571429 0 0 0 "GH" 2009
10 2010 26.8166666666667 0 0 0 "GH" 2010
10 2012 25.9 0 0 0 "GH" 2012
10 2013 27.8 0 0 0 "GH" 2013
10 2016 28.8166666666667 0 0 0 "GH" 2016
10 2017 27.1166666666667 0 0 0 "GH" 2017
10 2018 27.4333333333333 0 0 0 "GH" 2018
11 1994 28 0 0 0 "GH" 1994
11 2004 29.1 0 0 0 "GH" 2004
11 2009 29.55 0 0 0 "GH" 2009
1 1977 29 0 0 0 "GH" 1977
1 1978 28.5 0 0 0 "GH" 1978
1 1979 30 0 0 0 "GH" 1979
1 1992 24.9 0 0 0 "GH" 1992
1 1997 28.98 0 0 0 "GH" 1997
1 2003 28.5444444444444 0 0 0 "GH" 2003
1 2004 28.08 0 0 0 "GH" 2004
1 2005 27.43 0 0 0 "GH" 2005
1 2019 31.75 0 0 0 "GH" 2019
2 1979 29.3333333333333 0 0 0 "GH" 1979
2 1980 31 0 0 0 "GH" 1980
2 1990 28.6 0 0 0 "GH" 1990
2 1994 30.8 0 0 0 "GH" 1994
2 1995 30.5 0 0 0 "GH" 1995
2 1997 27.2125 0 0 0 "GH" 1997
2 2003 31.4 0 0 0 "GH" 2003
2 2004 29.78 0 0 0 "GH" 2004
2 2005 31.87 0 0 0 "GH" 2005
2 2009 27.5 0 0 0 "GH" 2009
2 2018 31.75 0 0 0 "GH" 2018
3 1977 32.5 0 0 0 "GH" 1977
3 1980 31.25 0 0 0 "GH" 1980
3 1990 30.6666666666667 0 0 0 "GH" 1990
3 1992 31.5 0 0 0 "GH" 1992
3 1993 27.6 0 0 0 "GH" 1993
3 1994 31.325 0 0 0 "GH" 1994
3 1995 31.9166666666667 0 0 0 "GH" 1995
3 1997 30.0714285714286 0 0 0 "GH" 1997
3 2003 30.625 0 0 0 "GH" 2003
3 2004 30.6576923076923 0 0 0 "GH" 2004
3 2005 32.9666666666667 0 0 0 "GH" 2005
3 2009 30.15 0 0 0 "GH" 2009
3 2011 29.85 0 0 0 "GH" 2011
3 2012 30.05 0 0 0 "GH" 2012
3 2013 31.725 0 0 0 "GH" 2013
3 2016 32.5 0 0 0 "GH" 2016
3 2017 31.8833333333333 0 0 0 "GH" 2017
3 2018 30.14 0 0 0 "GH" 2018
4 1977 32.1666666666667 0 0 0 "GH" 1977
4 1990 30.5666666666667 0 0 0 "GH" 1990
4 1991 27.85 0 0 0 "GH" 1991
4 1992 28.65 0 0 0 "GH" 1992
4 1993 28.1 0 0 0 "GH" 1993
4 1994 29.25 0 0 0 "GH" 1994
4 1995 32.5 0 0 0 "GH" 1995
4 1997 28.76875 0 0 0 "GH" 1997
4 2003 32.75 0 0 0 "GH" 2003
4 2004 29.7944444444444 0 0 0 "GH" 2004
4 2005 31.64375 0 0 0 "GH" 2005
4 2006 30.7 0 0 0 "GH" 2006
4 2009 28.025 0 0 0 "GH" 2009
4 2010 30.6 0 0 0 "GH" 2010
4 2012 29.275 0 0 0 "GH" 2012
4 2014 26 0 0 0 "GH" 2014
4 2016 31.75 0 0 0 "GH" 2016
4 2017 27.7 0 0 0 "GH" 2017
4 2018 29.5625 0 0 0 "GH" 2018
5 1977 29.5 0 0 0 "GH" 1977
5 1978 29.75 0 0 0 "GH" 1978
5 1990 27.75 0 0 0 "GH" 1990
5 1991 26.475 0 0 0 "GH" 1991
5 1994 29.3 0 0 0 "GH" 1994
5 1997 29.0363636363636 0 0 0 "GH" 1997
5 2002 28.1166666666667 0 0 0 "GH" 2002
5 2003 30.27 0 0 0 "GH" 2003
5 2004 29.9416666666667 0 0 0 "GH" 2004
5 2005 29.5285714285714 0 0 0 "GH" 2005
5 2006 28.85 0 0 0 "GH" 2006
5 2007 27.675 0 0 0 "GH" 2007
5 2009 29.55625 0 0 0 "GH" 2009
5 2010 28.9666666666667 0 0 0 "GH" 2010
5 2011 28.75 0 0 0 "GH" 2011
5 2012 27.75 0 0 0 "GH" 2012
5 2014 27.075 0 0 0 "GH" 2014
5 2015 31.125 0 0 0 "GH" 2015
5 2016 29.325 0 0 0 "GH" 2016
5 2017 28.5333333333333 0 0 0 "GH" 2017
5 2018 28.1125 0 0 0 "GH" 2018
6 1977 25.9 0 0 0 "GH" 1977
6 1990 27.9 0 0 0 "GH" 1990
6 1991 28.825 0 0 0 "GH" 1991
