"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1973 2.22222222222222 12.9166666666667 0 0 0 "GI" 1973
1 1974 1.625 13.825 0 0 0 "GI" 1974
1 1975 1.73 13.675 0 0 0 "GI" 1975
1 1976 2.125 12.6875 0 0 0 "GI" 1976
1 1977 3.91111111111111 13.4444444444444 0 0 0 "GI" 1977
1 1978 2.53913043478261 13.4782608695652 0 0 0 "GI" 1978
1 1979 2.41904761904762 14.5952380952381 0 0 0 "GI" 1979
1 1980 3.18095238095238 12.6428571428571 0 0 0 "GI" 1980
1 1981 0 13.0869565217391 0 0 0 "GI" 1981
1 1983 0 14.0692307692308 0 0 0 "GI" 1983
1 1984 0.1625 13.33125 0 0 0 "GI" 1984
1 1985 6.475 11.575 0 0 0 "GI" 1985
1 1986 0.966666666666667 13.4708333333333 0 0 0 "GI" 1986
1 1987 4.2875 12.58125 0 0 0 "GI" 1987
1 1988 2.56153846153846 13.6653846153846 0 0 0 "GI" 1988
1 1989 0.81 13.575 0 0 0 "GI" 1989
1 1990 1.19 14.205 0 0 0 "GI" 1990
1 1991 0 13.6111111111111 0 0 0 "GI" 1991
1 1992 0 14.4 0 0 0 "GI" 1992
1 1993 4.5 13.15 0 0 0 "GI" 1993
1 1994 0 14.8083333333333 0 0 0 "GI" 1994
1 1995 0.507142857142857 14.1607142857143 0 0 0 "GI" 1995
1 1996 30.65 13.95625 0 0 0 "GI" 1996
1 1997 9.05555555555556 13.6944444444444 0 0 0 "GI" 1997
1 1998 2.5 14.775 0 0 0 "GI" 1998
1 1999 1.05454545454545 13.3181818181818 0 0 0 "GI" 1999
1 2000 25.9 13.2 0 0 0 "GI" 2000
1 2001 2.5 15.2 0 0 0 "GI" 2001
1 2002 1.8 15.7 0 0 0 "GI" 2002
1 2003 1.73636363636364 14.0272727272727 0 0 0 "GI" 2003
1 2004 0.0615384615384615 14.35 0 0 0 "GI" 2004
1 2005 0 12.99375 0 0 0 "GI" 2005
1 2006 3.44545454545455 12.3681818181818 0 0 0 "GI" 2006
1 2007 9.84444444444444 12.35 0 0 0 "GI" 2007
1 2008 3.38571428571429 14.475 0 0 0 "GI" 2008
1 2009 1.2 11.85 0 0 0 "GI" 2009
1 2010 13.7857142857143 12.6285714285714 0 0 0 "GI" 2010
1 2011 9.38333333333333 13.7208333333333 0 0 0 "GI" 2011
1 2012 0 13.6416666666667 0 0 0 "GI" 2012
1 2013 0.3 13.875 0 0 0 "GI" 2013
1 2014 7.65 13.6625 0 0 0 "GI" 2014
1 2015 0.909090909090909 12.9772727272727 0 0 0 "GI" 2015
1 2016 0.46 15.62 0 0 0 "GI" 2016
1 2017 2.47777777777778 12.4555555555556 0 0 0 "GI" 2017
1 2018 0 15.175 0 0 0 "GI" 2018
1 2019 4.05 14.95 0 0 0 "GI" 2019
2 1973 0.75 13.4444444444444 0 0 0 "GI" 1973
2 1974 4.26315789473684 13.2368421052632 0 0 0 "GI" 1974
2 1975 3.48666666666667 14.4333333333333 0 0 0 "GI" 1975
2 1976 3.28461538461538 14 0 0 0 "GI" 1976
2 1977 2.18181818181818 14 0 0 0 "GI" 1977
2 1978 4.85 15.125 0 0 0 "GI" 1978
2 1979 4.58095238095238 14.3333333333333 0 0 0 "GI" 1979
2 1980 4.77142857142857 14.6190476190476 0 0 0 "GI" 1980
2 1981 0.268181818181818 13.4090909090909 0 0 0 "GI" 1981
