"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1970 0.253333333333333 -6.43833333333333 0 0 0 "GL" 1970
1 1971 0.790322580645161 -7.19516129032258 0 0 0 "GL" 1971
1 1972 2.58064516129032 -12.9774193548387 0 0 0 "GL" 1972
1 1973 1.54193548387097 -6.68064516129032 0 0 0 "GL" 1973
1 1974 0.52258064516129 -8.38548387096774 0 0 0 "GL" 1974
1 1975 1.7258064516129 -10.5661290322581 0 0 0 "GL" 1975
1 1976 1.7741935483871 -8.05322580645161 0 0 0 "GL" 1976
1 1977 1.51290322580645 -3.02903225806452 0 0 0 "GL" 1977
1 1978 1.72333333333333 -8.70166666666667 0 0 0 "GL" 1978
1 1979 2.65806451612903 -4.39677419354839 0 0 0 "GL" 1979
1 1980 1.61935483870968 -2.43548387096774 0 0 0 "GL" 1980
1 1981 3.05483870967742 -6.21290322580645 0 0 0 "GL" 1981
1 1983 1.43214285714286 -18.3321428571429 0 0 0 "GL" 1983
1 1984 0.708333333333333 -18.51875 0 0 0 "GL" 1984
1 1985 1.19333333333333 -1.94833333333333 0 0 0 "GL" 1985
1 1986 3.61 -4.925 0 0 0 "GL" 1986
1 1987 2.12 -6.87333333333333 0 0 0 "GL" 1987
1 1988 2.19310344827586 -7.87241379310345 0 0 0 "GL" 1988
1 1989 1.15 -10.4666666666667 0 0 0 "GL" 1989
1 1990 0.948387096774194 -9.11612903225806 0 0 0 "GL" 1990
1 1991 1.43225806451613 -10.641935483871 0 0 0 "GL" 1991
1 1992 3.46538461538462 -6.675 0 0 0 "GL" 1992
1 1993 2.51428571428571 -15.6446428571429 0 0 0 "GL" 1993
1 1994 3.13666666666667 -7.98 0 0 0 "GL" 1994
1 1995 1.45483870967742 -10.6564516129032 0 0 0 "GL" 1995
1 1996 3.00333333333333 -7.07666666666667 0 0 0 "GL" 1996
1 1997 4.48064516129032 -4.47903225806452 0 0 0 "GL" 1997
1 1998 4.46129032258064 -5.24193548387097 0 0 0 "GL" 1998
