"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1945 21.6387096774194 0 0 0 "GV" 1945
1 1946 20.9633333333333 0 0 0 "GV" 1946
1 1947 21.9854838709677 0 0 0 "GV" 1947
1 1948 21.55 0 0 0 "GV" 1948
1 1949 22.0822580645161 0 0 0 "GV" 1949
1 1950 21.9387096774194 0 0 0 "GV" 1950
1 1951 22.4790322580645 0 0 0 "GV" 1951
1 1952 22.0983870967742 0 0 0 "GV" 1952
1 1953 21.2403225806452 0 0 0 "GV" 1953
1 1954 19.2806451612903 0 0 0 "GV" 1954
1 1955 19.6112903225806 0 0 0 "GV" 1955
1 1956 18.7822580645161 0 0 0 "GV" 1956
1 1957 18.6774193548387 0 0 0 "GV" 1957
1 1958 21.0741935483871 0 0 0 "GV" 1958
1 1977 20 0 0 0 "GV" 1977
1 1990 19.8458333333333 0 0 0 "GV" 1990
1 1991 22.5 0 0 0 "GV" 1991
1 1992 19.65 0 0 0 "GV" 1992
1 1993 19.9333333333333 0 0 0 "GV" 1993
1 1994 20.0833333333333 0 0 0 "GV" 1994
1 1995 19.3 0 0 0 "GV" 1995
1 2004 22.25 0 0 0 "GV" 2004
2 1945 22.724 0 0 0 "GV" 1945
2 1947 24.2285714285714 0 0 0 "GV" 1947
2 1948 23.4948275862069 0 0 0 "GV" 1948
2 1949 23.1910714285714 0 0 0 "GV" 1949
2 1950 23.3740740740741 0 0 0 "GV" 1950
2 1951 23.3232142857143 0 0 0 "GV" 1951
2 1952 21.5706896551724 0 0 0 "GV" 1952
2 1953 22.6857142857143 0 0 0 "GV" 1953
2 1954 21.5875 0 0 0 "GV" 1954
2 1955 21.6267857142857 0 0 0 "GV" 1955
2 1956 21.4303571428571 0 0 0 "GV" 1956
2 1957 20.6375 0 0 0 "GV" 1957
2 1958 22.125 0 0 0 "GV" 1958
2 1990 21.8 0 0 0 "GV" 1990
2 1991 22.7 0 0 0 "GV" 1991
2 1992 23.2875 0 0 0 "GV" 1992
2 1993 21.57 0 0 0 "GV" 1993
2 1994 22.5083333333333 0 0 0 "GV" 1994
2 1995 21.85 0 0 0 "GV" 1995
2 2004 24.85 0 0 0 "GV" 2004
2 2005 24.85 0 0 0 "GV" 2005
3 1945 23.6693548387097 0 0 0 "GV" 1945
3 1947 24.8887096774194 0 0 0 "GV" 1947
3 1948 24.8854838709677 0 0 0 "GV" 1948
3 1949 25.5870967741935 0 0 0 "GV" 1949
3 1950 24.9967741935484 0 0 0 "GV" 1950
3 1951 24.958064516129 0 0 0 "GV" 1951
3 1952 23.6645161290323 0 0 0 "GV" 1952
3 1953 23.6258064516129 0 0 0 "GV" 1953
3 1954 23.7532258064516 0 0 0 "GV" 1954
3 1955 23.6564516129032 0 0 0 "GV" 1955
3 1956 22.6290322580645 0 0 0 "GV" 1956
3 1957 22.1225806451613 0 0 0 "GV" 1957
3 1958 23.8483870967742 0 0 0 "GV" 1958
3 1990 23.75 0 0 0 "GV" 1990
3 1991 23.72 0 0 0 "GV" 1991
3 1992 23.97 0 0 0 "GV" 1992
3 1993 23.3375 0 0 0 "GV" 1993
3 1994 23.915 0 0 0 "GV" 1994
3 1995 25.375 0 0 0 "GV" 1995
3 2003 25.2 0 0 0 "GV" 2003
3 2004 24.65 0 0 0 "GV" 2004
4 1945 24.4392857142857 0 0 0 "GV" 1945
4 1947 25.3683333333333 0 0 0 "GV" 1947
4 1948 25.2716666666667 0 0 0 "GV" 1948
4 1949 25.9766666666667 0 0 0 "GV" 1949
4 1950 25.915 0 0 0 "GV" 1950
4 1951 25.0716666666667 0 0 0 "GV" 1951
4 1952 25.0333333333333 0 0 0 "GV" 1952
4 1953 25.0566666666667 0 0 0 "GV" 1953
4 1954 24.635 0 0 0 "GV" 1954
4 1955 23.5316666666667 0 0 0 "GV" 1955
4 1956 24.5316666666667 0 0 0 "GV" 1956
4 1957 24.35 0 0 0 "GV" 1957
4 1958 25.5266666666667 0 0 0 "GV" 1958
4 1977 26 0 0 0 "GV" 1977
4 1990 25.3333333333333 0 0 0 "GV" 1990
4 1991 26.35 0 0 0 "GV" 1991
4 1992 25.3083333333333 0 0 0 "GV" 1992
4 1993 25.2375 0 0 0 "GV" 1993
4 1994 25.2 0 0 0 "GV" 1994
4 1995 25.05 0 0 0 "GV" 1995
5 1945 23.9387096774194 0 0 0 "GV" 1945
5 1947 25.6225806451613 0 0 0 "GV" 1947
5 1948 24.6564516129032 0 0 0 "GV" 1948
5 1949 25.5790322580645 0 0 0 "GV" 1949
5 1950 25.591935483871 0 0 0 "GV" 1950
5 1951 24.0096774193548 0 0 0 "GV" 1951
5 1952 24.6887096774194 0 0 0 "GV" 1952
5 1953 24.6612903225806 0 0 0 "GV" 1953
5 1954 23.9241935483871 0 0 0 "GV" 1954
5 1955 23.0564516129032 0 0 0 "GV" 1955
5 1956 23.8322580645161 0 0 0 "GV" 1956
5 1957 24.7564516129032 0 0 0 "GV" 1957
5 1958 23.8225806451613 0 0 0 "GV" 1958
5 1977 24 0 0 0 "GV" 1977
5 1980 23.5 0 0 0 "GV" 1980
5 1990 25.3866666666667 0 0 0 "GV" 1990
5 1992 23.7166666666667 0 0 0 "GV" 1992
5 1993 25.6 0 0 0 "GV" 1993
5 1994 25.28 0 0 0 "GV" 1994
5 1995 25.3 0 0 0 "GV" 1995
5 2003 24.95 0 0 0 "GV" 2003
6 1945 22.5616666666667 0 0 0 "GV" 1945
6 1947 23.585 0 0 0 "GV" 1947
6 1948 22.5116666666667 0 0 0 "GV" 1948
6 1949 23.2183333333333 0 0 0 "GV" 1949
6 1950 23.17 0 0 0 "GV" 1950
6 1951 23.05 0 0 0 "GV" 1951
6 1952 22.6516666666667 0 0 0 "GV" 1952
6 1953 22.0816666666667 0 0 0 "GV" 1953
6 1954 22.0416666666667 0 0 0 "GV" 1954
6 1955 22.0683333333333 0 0 0 "GV" 1955
6 1956 22.35 0 0 0 "GV" 1956
6 1957 22.78 0 0 0 "GV" 1957
6 1958 22.36 0 0 0 "GV" 1958
6 1980 22.625 0 0 0 "GV" 1980
6 1981 23.5 0 0 0 "GV" 1981
6 1990 23.0071428571429 0 0 0 "GV" 1990
6 1992 22.7625 0 0 0 "GV" 1992
6 1993 23.4875 0 0 0 "GV" 1993
6 1994 23.4875 0 0 0 "GV" 1994
7 1945 21.0545454545455 0 0 0 "GV" 1945
7 1947 22.0193548387097 0 0 0 "GV" 1947
7 1948 22.0290322580645 0 0 0 "GV" 1948
7 1949 22.4693548387097 0 0 0 "GV" 1949
7 1950 21.9322580645161 0 0 0 "GV" 1950
7 1951 21.9129032258065 0 0 0 "GV" 1951
7 1952 21.4645161290323 0 0 0 "GV" 1952
7 1953 21.5467741935484 0 0 0 "GV" 1953
7 1954 21.2435483870968 0 0 0 "GV" 1954
7 1955 21.1483870967742 0 0 0 "GV" 1955
7 1956 21.2322580645161 0 0 0 "GV" 1956
7 1957 21.7306451612903 0 0 0 "GV" 1957
7 1958 21.7241935483871 0 0 0 "GV" 1958
7 1977 24.5 0 0 0 "GV" 1977
7 1980 19.8 0 0 0 "GV" 1980
7 1981 22 0 0 0 "GV" 1981
7 1990 21.9166666666667 0 0 0 "GV" 1990
7 1991 21.6125 0 0 0 "GV" 1991
7 1992 22.2 0 0 0 "GV" 1992
7 1993 21.90625 0 0 0 "GV" 1993
7 1994 21.7666666666667 0 0 0 "GV" 1994
7 2016 21.5 0 0 0 "GV" 2016
8 1945 20.5612903225806 0 0 0 "GV" 1945
8 1947 21.5612903225806 0 0 0 "GV" 1947
8 1948 21.7967741935484 0 0 0 "GV" 1948
8 1949 21.3354838709677 0 0 0 "GV" 1949
8 1950 20.9306451612903 0 0 0 "GV" 1950
8 1951 22.2225806451613 0 0 0 "GV" 1951
8 1952 21.3129032258065 0 0 0 "GV" 1952
8 1953 21.8016129032258 0 0 0 "GV" 1953
8 1954 20.8838709677419 0 0 0 "GV" 1954
8 1955 21.4467741935484 0 0 0 "GV" 1955
8 1956 21.0903225806452 0 0 0 "GV" 1956
8 1957 21.15 0 0 0 "GV" 1957
8 1958 20.8483870967742 0 0 0 "GV" 1958
8 1980 22.5 0 0 0 "GV" 1980
8 1990 22 0 0 0 "GV" 1990
8 1991 21.35 0 0 0 "GV" 1991
8 1992 22.0214285714286 0 0 0 "GV" 1992
8 1993 22.1863636363636 0 0 0 "GV" 1993
8 1994 22.0142857142857 0 0 0 "GV" 1994
8 2002 24.9 0 0 0 "GV" 2002
8 2004 22.45 0 0 0 "GV" 2004
8 2016 21.9 0 0 0 "GV" 2016
9 1945 21.05 0 0 0 "GV" 1945
9 1947 21.6233333333333 0 0 0 "GV" 1947
9 1948 21.7616666666667 0 0 0 "GV" 1948
9 1949 22.1916666666667 0 0 0 "GV" 1949
9 1950 21.3383333333333 0 0 0 "GV" 1950
9 1951 21.85 0 0 0 "GV" 1951
9 1952 21.6283333333333 0 0 0 "GV" 1952
9 1953 21.365 0 0 0 "GV" 1953
9 1954 21.5916666666667 0 0 0 "GV" 1954
9 1955 21.37 0 0 0 "GV" 1955
9 1956 21.17 0 0 0 "GV" 1956
9 1957 21.5883333333333 0 0 0 "GV" 1957
9 1958 21.5933333333333 0 0 0 "GV" 1958
9 1980 22 0 0 0 "GV" 1980
9 1982 21.35 0 0 0 "GV" 1982
9 1984 22.75 0 0 0 "GV" 1984
9 1990 22.3375 0 0 0 "GV" 1990
9 1992 22.0944444444444 0 0 0 "GV" 1992
9 1993 22.0714285714286 0 0 0 "GV" 1993
9 1994 22.1875 0 0 0 "GV" 1994
9 2004 22.05 0 0 0 "GV" 2004
10 1945 21.524 0 0 0 "GV" 1945
10 1947 22.3677419354839 0 0 0 "GV" 1947
10 1948 22.4048387096774 0 0 0 "GV" 1948
10 1949 22.941935483871 0 0 0 "GV" 1949
10 1950 21.4258064516129 0 0 0 "GV" 1950
10 1951 22.1483870967742 0 0 0 "GV" 1951
10 1952 21.5290322580645 0 0 0 "GV" 1952
10 1953 21.891935483871 0 0 0 "GV" 1953
10 1954 21.1 0 0 0 "GV" 1954
10 1955 21.6645161290323 0 0 0 "GV" 1955
10 1956 21.1338709677419 0 0 0 "GV" 1956
10 1957 21.7177419354839 0 0 0 "GV" 1957
10 1989 21.35 0 0 0 "GV" 1989
10 1991 20.975 0 0 0 "GV" 1991
10 1992 22.05 0 0 0 "GV" 1992
10 1993 22.65 0 0 0 "GV" 1993
10 1994 21.5875 0 0 0 "GV" 1994
10 2004 22.75 0 0 0 "GV" 2004
11 1945 22.1566666666667 0 0 0 "GV" 1945
11 1947 21.61 0 0 0 "GV" 1947
11 1948 21.5483333333333 0 0 0 "GV" 1948
11 1949 22.4416666666667 0 0 0 "GV" 1949
11 1950 21.8983333333333 0 0 0 "GV" 1950
11 1951 22.0616666666667 0 0 0 "GV" 1951
11 1952 21.0166666666667 0 0 0 "GV" 1952
11 1953 21.2366666666667 0 0 0 "GV" 1953
11 1954 21.2083333333333 0 0 0 "GV" 1954
11 1955 20.6116666666667 0 0 0 "GV" 1955
11 1956 20.63 0 0 0 "GV" 1956
11 1957 21.01 0 0 0 "GV" 1957
11 1989 21.2277777777778 0 0 0 "GV" 1989
11 1991 19.4 0 0 0 "GV" 1991
11 1992 20.55 0 0 0 "GV" 1992
11 1993 21.8214285714286 0 0 0 "GV" 1993
11 1994 20.4545454545455 0 0 0 "GV" 1994
11 2004 22.45 0 0 0 "GV" 2004
12 1945 20.9612903225806 0 0 0 "GV" 1945
12 1947 21.9 0 0 0 "GV" 1947
12 1948 21.6241935483871 0 0 0 "GV" 1948
12 1949 21.8758064516129 0 0 0 "GV" 1949
12 1950 21.6935483870968 0 0 0 "GV" 1950
12 1951 21.7983870967742 0 0 0 "GV" 1951
12 1952 19.808064516129 0 0 0 "GV" 1952
12 1953 20.0387096774194 0 0 0 "GV" 1953
12 1954 19.6016129032258 0 0 0 "GV" 1954
12 1955 18.75 0 0 0 "GV" 1955
12 1956 19.808064516129 0 0 0 "GV" 1956
12 1957 20.1096774193548 0 0 0 "GV" 1957
12 1989 19.0125 0 0 0 "GV" 1989
12 1991 19.0833333333333 0 0 0 "GV" 1991
12 1992 19.6916666666667 0 0 0 "GV" 1992
12 1993 20.075 0 0 0 "GV" 1993
12 1994 19.25 0 0 0 "GV" 1994
1 1945 24.5709677419355 0 0 0 "GV" 1945
1 1946 24.4854838709677 0 0 0 "GV" 1946
1 1947 23.9193548387097 0 0 0 "GV" 1947
1 1948 22.6983870967742 0 0 0 "GV" 1948
1 1949 23.5274193548387 0 0 0 "GV" 1949
1 1950 23.3048387096774 0 0 0 "GV" 1950
1 1951 24.258064516129 0 0 0 "GV" 1951
1 1952 24.1596774193548 0 0 0 "GV" 1952
1 1953 26.7451612903226 0 0 0 "GV" 1953
1 1954 24.9596774193548 0 0 0 "GV" 1954
1 1955 25.6451612903226 0 0 0 "GV" 1955
1 1956 25.3129032258065 0 0 0 "GV" 1956
1 1957 24.508064516129 0 0 0 "GV" 1957
1 1958 26.9564516129032 0 0 0 "GV" 1958
2 1945 27.0678571428571 0 0 0 "GV" 1945
2 1946 25.2910714285714 0 0 0 "GV" 1946
2 1947 26.6946428571429 0 0 0 "GV" 1947
2 1948 26.6931034482759 0 0 0 "GV" 1948
2 1949 24.9035714285714 0 0 0 "GV" 1949
2 1950 26.1464285714286 0 0 0 "GV" 1950
2 1951 26.6535714285714 0 0 0 "GV" 1951
2 1952 27.2568965517241 0 0 0 "GV" 1952
2 1953 28.0857142857143 0 0 0 "GV" 1953
2 1954 27.2464285714286 0 0 0 "GV" 1954
2 1955 27.6928571428571 0 0 0 "GV" 1955
2 1956 28.8086206896552 0 0 0 "GV" 1956
2 1957 27.3982142857143 0 0 0 "GV" 1957
2 1958 28.1238095238095 0 0 0 "GV" 1958
3 1945 28.65 0 0 0 "GV" 1945
3 1946 30.591935483871 0 0 0 "GV" 1946
3 1947 28.6290322580645 0 0 0 "GV" 1947
3 1948 28.608064516129 0 0 0 "GV" 1948
3 1949 30.0806451612903 0 0 0 "GV" 1949
3 1950 28.5935483870968 0 0 0 "GV" 1950
3 1951 29.8112903225806 0 0 0 "GV" 1951
3 1952 29.8177419354839 0 0 0 "GV" 1952
3 1953 29.2596774193548 0 0 0 "GV" 1953
3 1954 29.9370967741935 0 0 0 "GV" 1954
3 1955 29.7290322580645 0 0 0 "GV" 1955
3 1956 29.8435483870968 0 0 0 "GV" 1956
3 1957 29.3887096774194 0 0 0 "GV" 1957
3 1958 30.2783333333333 0 0 0 "GV" 1958
4 1945 30.7883333333333 0 0 0 "GV" 1945
4 1946 30.785 0 0 0 "GV" 1946
4 1947 30.72 0 0 0 "GV" 1947
4 1948 31.5183333333333 0 0 0 "GV" 1948
4 1949 31.04 0 0 0 "GV" 1949
4 1950 31.0366666666667 0 0 0 "GV" 1950
4 1951 30.2566666666667 0 0 0 "GV" 1951
4 1952 31.1383333333333 0 0 0 "GV" 1952
4 1953 31.6116666666667 0 0 0 "GV" 1953
4 1954 29.2716666666667 0 0 0 "GV" 1954
4 1955 29.9766666666667 0 0 0 "GV" 1955
4 1956 30.8433333333333 0 0 0 "GV" 1956
4 1957 31.0233333333333 0 0 0 "GV" 1957
4 1958 31.5783333333333 0 0 0 "GV" 1958
5 1945 29.5709677419355 0 0 0 "GV" 1945
5 1946 29.4129032258065 0 0 0 "GV" 1946
5 1947 31.25 0 0 0 "GV" 1947
5 1948 30.0806451612903 0 0 0 "GV" 1948
5 1949 30.0725806451613 0 0 0 "GV" 1949
5 1950 30.3725806451613 0 0 0 "GV" 1950
5 1951 28.9903225806452 0 0 0 "GV" 1951
5 1952 28.8806451612903 0 0 0 "GV" 1952
5 1953 29.6661290322581 0 0 0 "GV" 1953
5 1954 28.7209677419355 0 0 0 "GV" 1954
5 1955 29.6354838709677 0 0 0 "GV" 1955
5 1956 29.7806451612903 0 0 0 "GV" 1956
5 1957 29.6838709677419 0 0 0 "GV" 1957
5 1958 29.3403225806452 0 0 0 "GV" 1958
5 1993 31.4 0 0 0 "GV" 1993
6 1945 27.9 0 0 0 "GV" 1945
6 1946 26.9133333333333 0 0 0 "GV" 1946
6 1947 28.3383333333333 0 0 0 "GV" 1947
6 1948 26.6283333333333 0 0 0 "GV" 1948
6 1949 27.89 0 0 0 "GV" 1949
6 1950 26.73 0 0 0 "GV" 1950
6 1951 26.5083333333333 0 0 0 "GV" 1951
6 1952 27.6983333333333 0 0 0 "GV" 1952
6 1953 26.675 0 0 0 "GV" 1953
6 1954 26.0866666666667 0 0 0 "GV" 1954
6 1955 26.5216666666667 0 0 0 "GV" 1955
6 1956 27.235 0 0 0 "GV" 1956
6 1957 27.1916666666667 0 0 0 "GV" 1957
6 1958 26.7533333333333 0 0 0 "GV" 1958
7 1945 25.9290322580645 0 0 0 "GV" 1945
7 1946 25.8048387096774 0 0 0 "GV" 1946
7 1947 26.1193548387097 0 0 0 "GV" 1947
7 1948 25.7354838709677 0 0 0 "GV" 1948
7 1949 25.6870967741935 0 0 0 "GV" 1949
7 1950 25.3629032258065 0 0 0 "GV" 1950
7 1951 25.258064516129 0 0 0 "GV" 1951
7 1952 25.6403225806452 0 0 0 "GV" 1952
7 1953 25.4774193548387 0 0 0 "GV" 1953
7 1954 25.1338709677419 0 0 0 "GV" 1954
7 1955 24.9838709677419 0 0 0 "GV" 1955
7 1956 25.5822580645161 0 0 0 "GV" 1956
7 1957 25.5854838709677 0 0 0 "GV" 1957
7 1958 25.6887096774194 0 0 0 "GV" 1958
8 1945 25.3806451612903 0 0 0 "GV" 1945
8 1946 25.3822580645161 0 0 0 "GV" 1946
8 1947 25.7129032258064 0 0 0 "GV" 1947
8 1948 25.6935483870968 0 0 0 "GV" 1948
8 1949 25.1822580645161 0 0 0 "GV" 1949
8 1950 24.6096774193548 0 0 0 "GV" 1950
8 1951 25.3370967741935 0 0 0 "GV" 1951
8 1952 25.5951612903226 0 0 0 "GV" 1952
8 1953 25.4870967741935 0 0 0 "GV" 1953
8 1954 24.5870967741935 0 0 0 "GV" 1954
8 1955 25.1741935483871 0 0 0 "GV" 1955
8 1956 24.9290322580645 0 0 0 "GV" 1956
8 1957 25.1967741935484 0 0 0 "GV" 1957
8 1958 24.9483870967742 0 0 0 "GV" 1958
8 1977 25 0 0 0 "GV" 1977
8 2002 22.75 0 0 0 "GV" 2002
8 2004 21.75 0 0 0 "GV" 2004
9 1945 26.1216666666667 0 0 0 "GV" 1945
9 1946 26.0116666666667 0 0 0 "GV" 1946
9 1947 25.8566666666667 0 0 0 "GV" 1947
9 1948 26.3433333333333 0 0 0 "GV" 1948
9 1949 25.9383333333333 0 0 0 "GV" 1949
9 1950 25.5083333333333 0 0 0 "GV" 1950
9 1951 26.145 0 0 0 "GV" 1951
9 1952 25.43 0 0 0 "GV" 1952
9 1953 26.1866666666667 0 0 0 "GV" 1953
9 1954 25.5466666666667 0 0 0 "GV" 1954
9 1955 25.38 0 0 0 "GV" 1955
9 1956 25.35 0 0 0 "GV" 1956
9 1957 25.7733333333333 0 0 0 "GV" 1957
10 1945 27.25 0 0 0 "GV" 1945
10 1946 26.5629032258065 0 0 0 "GV" 1946
10 1947 27.0822580645161 0 0 0 "GV" 1947
10 1948 27.3 0 0 0 "GV" 1948
10 1949 27.3209677419355 0 0 0 "GV" 1949
10 1950 26.4129032258065 0 0 0 "GV" 1950
10 1951 25.9483870967742 0 0 0 "GV" 1951
10 1952 26.4354838709677 0 0 0 "GV" 1952
10 1953 27.0274193548387 0 0 0 "GV" 1953
10 1954 26.0725806451613 0 0 0 "GV" 1954
10 1955 26.7129032258065 0 0 0 "GV" 1955
10 1956 26.4951612903226 0 0 0 "GV" 1956
10 1957 26.4661290322581 0 0 0 "GV" 1957
10 2004 26.75 0 0 0 "GV" 2004
11 1945 26.815 0 0 0 "GV" 1945
11 1946 26.6633333333333 0 0 0 "GV" 1946
11 1947 25.7033333333333 0 0 0 "GV" 1947
11 1948 25.0433333333333 0 0 0 "GV" 1948
11 1949 26.1083333333333 0 0 0 "GV" 1949
11 1950 25.4133333333333 0 0 0 "GV" 1950
11 1951 25.445 0 0 0 "GV" 1951
11 1952 26.9033333333333 0 0 0 "GV" 1952
11 1953 26.7983333333333 0 0 0 "GV" 1953
11 1954 26.215 0 0 0 "GV" 1954
11 1955 26.0133333333333 0 0 0 "GV" 1955
11 1956 26.1666666666667 0 0 0 "GV" 1956
11 1957 27 0 0 0 "GV" 1957
11 2004 28 0 0 0 "GV" 2004
12 1945 23.8225806451613 0 0 0 "GV" 1945
12 1946 23.5403225806452 0 0 0 "GV" 1946
12 1947 24.4564516129032 0 0 0 "GV" 1947
12 1948 23.5435483870968 0 0 0 "GV" 1948
12 1949 23.6838709677419 0 0 0 "GV" 1949
12 1950 23.3016129032258 0 0 0 "GV" 1950
12 1951 24.1951612903226 0 0 0 "GV" 1951
12 1952 24.7629032258065 0 0 0 "GV" 1952
12 1953 24.8596774193548 0 0 0 "GV" 1953
