"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1970 1.96129032258065 0.304838709677419 0 0 0 "HR" 1970
1 1971 1.36774193548387 0.604838709677419 0 0 0 "HR" 1971
1 1972 1.87096774193548 -0.559677419354839 0 0 0 "HR" 1972
1 1973 1.34193548387097 0.179032258064516 0 0 0 "HR" 1973
1 1974 1.33548387096774 2.17741935483871 0 0 0 "HR" 1974
1 1975 0.590322580645161 5.54032258064516 0 0 0 "HR" 1975
1 1976 1.06774193548387 2.45 0 0 0 "HR" 1976
1 1977 3.14193548387097 3.13709677419355 0 0 0 "HR" 1977
1 1978 1.47096774193548 1.35 0 0 0 "HR" 1978
1 1979 3.53548387096774 -0.417741935483871 0 0 0 "HR" 1979
1 1980 1.35806451612903 -0.695161290322581 0 0 0 "HR" 1980
1 1981 1.05161290322581 -0.666129032258065 0 0 0 "HR" 1981
1 1982 0.593548387096774 -0.756451612903226 0 0 0 "HR" 1982
1 1983 0.951612903225806 4.37903225806452 0 0 0 "HR" 1983
1 1984 5.59677419354839 1.5741935483871 0 0 0 "HR" 1984
1 1985 1.27741935483871 -3.55322580645161 0 0 0 "HR" 1985
1 1986 1.63870967741935 2.19838709677419 0 0 0 "HR" 1986
1 1987 2.60645161290323 -1.67258064516129 0 0 0 "HR" 1987
1 1988 1.72258064516129 5.08387096774194 0 0 0 "HR" 1988
1 1989 0.154838709677419 0.435483870967742 0 0 0 "HR" 1989
1 1990 0.793548387096774 1.09838709677419 0 0 0 "HR" 1990
1 1991 1.30645161290323 2.94032258064516 0 0 0 "HR" 1991
1 1992 0.525806451612903 2.78709677419355 0 0 0 "HR" 1992
1 1993 0.248387096774194 3.01935483870968 0 0 0 "HR" 1993
1 1994 1.01612903225806 5.23225806451613 0 0 0 "HR" 1994
1 1995 1.98709677419355 2.10645161290323 0 0 0 "HR" 1995
1 1996 1.87741935483871 0.4 0 0 0 "HR" 1996
1 1997 1.92903225806452 -0.230645161290323 0 0 0 "HR" 1997
1 1998 0.545161290322581 5.10967741935484 0 0 0 "HR" 1998
1 1999 1.44193548387097 1.99838709677419 0 0 0 "HR" 1999
1 2000 0.606451612903226 -0.0919354838709678 0 0 0 "HR" 2000
1 2001 2.68064516129032 4.81290322580645 0 0 0 "HR" 2001
1 2002 0.803225806451613 2.31451612903226 0 0 0 "HR" 2002
1 2003 1.93548387096774 0.983870967741935 0 0 0 "HR" 2003
1 2004 1.82903225806452 1.17741935483871 0 0 0 "HR" 2004
1 2005 0.709677419354839 2.18709677419355 0 0 0 "HR" 2005
1 2006 1.22903225806452 0.0983870967741936 0 0 0 "HR" 2006
1 2007 2.0258064516129 7.56774193548387 0 0 0 "HR" 2007
1 2008 0.241935483870968 3.96612903225806 0 0 0 "HR" 2008
1 2009 2.8258064516129 0.282258064516129 0 0 0 "HR" 2009
1 2010 2.11935483870968 0.582258064516129 0 0 0 "HR" 2010
1 2011 0.438709677419355 3.15967741935484 0 0 0 "HR" 2011
1 2012 0.558064516129032 3.81129032258064 0 0 0 "HR" 2012
1 2013 4.76451612903226 2.64516129032258 0 0 0 "HR" 2013
1 2014 1.68709677419355 6.36451612903226 0 0 0 "HR" 2014
1 2015 1.15789473684211 3.76052631578947 0 0 0 "HR" 2015
1 2016 2.8 2.48125 0 0 0 "HR" 2016
1 2017 25 -3.25 0 0 0 "HR" 2017
1 2018 0 6.17 0 0 0 "HR" 2018
1 2019 5.56666666666667 -2.08333333333333 0 0 0 "HR" 2019
2 1970 2.525 2.2 0 0 0 "HR" 1970
2 1971 0.553571428571429 4.82142857142857 0 0 0 "HR" 1971
2 1972 1.83448275862069 5.11206896551724 0 0 0 "HR" 1972
2 1973 1.66785714285714 3.35357142857143 0 0 0 "HR" 1973
2 1974 1.20714285714286 7.20178571428571 0 0 0 "HR" 1974
2 1975 0.442857142857143 2.97857142857143 0 0 0 "HR" 1975
2 1976 0.841379310344828 1.52241379310345 0 0 0 "HR" 1976
2 1977 1.75 6.62321428571429 0 0 0 "HR" 1977
2 1978 1.81785714285714 2.03571428571429 0 0 0 "HR" 1978
2 1979 2.54285714285714 3.14464285714286 0 0 0 "HR" 1979
2 1980 0.906896551724138 4.47931034482759 0 0 0 "HR" 1980
2 1981 2.18571428571429 2.01428571428571 0 0 0 "HR" 1981
2 1982 0.175 0.8 0 0 0 "HR" 1982
2 1983 3.52857142857143 0.596428571428571 0 0 0 "HR" 1983
2 1984 1.87586206896552 1.35689655172414 0 0 0 "HR" 1984
2 1985 1.52142857142857 -1.33214285714286 0 0 0 "HR" 1985
2 1986 3.275 -1.86964285714286 0 0 0 "HR" 1986
2 1987 2.81428571428571 3.08035714285714 0 0 0 "HR" 1987
2 1988 2.91034482758621 5.19655172413793 0 0 0 "HR" 1988
2 1989 1.22857142857143 5.68392857142857 0 0 0 "HR" 1989
2 1990 0.989285714285714 8.58214285714286 0 0 0 "HR" 1990
