"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1979 27.1111111111111 0 0 0 "ID" 1979
1 1981 27.625 0 0 0 "ID" 1981
1 1993 26.68 0 0 0 "ID" 1993
1 1994 26.6827586206897 0 0 0 "ID" 1994
1 1995 26.9 0 0 0 "ID" 1995
1 1996 26.7184210526316 0 0 0 "ID" 1996
1 1997 26.925 0 0 0 "ID" 1997
1 1998 26.9416666666667 0 0 0 "ID" 1998
1 2000 27.5 0 0 0 "ID" 2000
1 2003 26.9326086956522 0 0 0 "ID" 2003
1 2004 27.12 0 0 0 "ID" 2004
1 2005 26.8482142857143 0 0 0 "ID" 2005
1 2015 26.325 0 0 0 "ID" 2015
1 2017 25.425 0 0 0 "ID" 2017
1 2019 27.75 0 0 0 "ID" 2019
2 1979 27.3571428571429 0 0 0 "ID" 1979
2 1981 27.3181818181818 0 0 0 "ID" 1981
2 1993 26.7566666666667 0 0 0 "ID" 1993
2 1994 26.9625 0 0 0 "ID" 1994
2 1995 26.6285714285714 0 0 0 "ID" 1995
2 1996 26.8970588235294 0 0 0 "ID" 1996
2 1997 27.0423076923077 0 0 0 "ID" 1997
2 1998 27.67 0 0 0 "ID" 1998
2 2003 27.1875 0 0 0 "ID" 2003
2 2004 26.9136363636364 0 0 0 "ID" 2004
2 2005 27.0717391304348 0 0 0 "ID" 2005
2 2012 27.2 0 0 0 "ID" 2012
2 2013 24.5 0 0 0 "ID" 2013
2 2016 26.3 0 0 0 "ID" 2016
2 2017 25.325 0 0 0 "ID" 2017
3 1979 27.125 0 0 0 "ID" 1979
3 1981 27.75 0 0 0 "ID" 1981
3 1992 27.4875 0 0 0 "ID" 1992
3 1993 26.9 0 0 0 "ID" 1993
3 1994 26.9947368421053 0 0 0 "ID" 1994
3 1995 26.9125 0 0 0 "ID" 1995
3 1996 27.0519230769231 0 0 0 "ID" 1996
3 1997 27.485 0 0 0 "ID" 1997
3 1998 28.0555555555556 0 0 0 "ID" 1998
3 2003 26.7694444444444 0 0 0 "ID" 2003
3 2004 26.9104166666667 0 0 0 "ID" 2004
3 2005 27.4571428571429 0 0 0 "ID" 2005
3 2013 26.8 0 0 0 "ID" 2013
3 2015 26.175 0 0 0 "ID" 2015
3 2017 27.5 0 0 0 "ID" 2017
3 2018 27.2 0 0 0 "ID" 2018
4 1979 27.6666666666667 0 0 0 "ID" 1979
4 1981 27.5789473684211 0 0 0 "ID" 1981
4 1993 27.084375 0 0 0 "ID" 1993
4 1994 27.0684210526316 0 0 0 "ID" 1994
4 1995 27.0233333333333 0 0 0 "ID" 1995
4 1996 26.89 0 0 0 "ID" 1996
4 1997 27.2105263157895 0 0 0 "ID" 1997
4 1998 28.485 0 0 0 "ID" 1998
4 2003 26.8125 0 0 0 "ID" 2003
4 2004 26.7678571428571 0 0 0 "ID" 2004
4 2005 27 0 0 0 "ID" 2005
4 2012 27.55 0 0 0 "ID" 2012
4 2015 27.1 0 0 0 "ID" 2015
4 2017 26 0 0 0 "ID" 2017
5 1981 27.7058823529412 0 0 0 "ID" 1981
5 1993 27.1533333333333 0 0 0 "ID" 1993
5 1994 27.3 0 0 0 "ID" 1994
5 1995 27.2541666666667 0 0 0 "ID" 1995
5 1996 27.2782608695652 0 0 0 "ID" 1996
5 1997 27.1472222222222 0 0 0 "ID" 1997
5 1998 28.3789473684211 0 0 0 "ID" 1998
5 2003 26.9291666666667 0 0 0 "ID" 2003
5 2004 26.8111111111111 0 0 0 "ID" 2004
5 2007 26.15 0 0 0 "ID" 2007
5 2012 25.8 0 0 0 "ID" 2012
5 2014 26.95 0 0 0 "ID" 2014
5 2015 25.6 0 0 0 "ID" 2015
5 2017 27.25 0 0 0 "ID" 2017
6 1981 27.2916666666667 0 0 0 "ID" 1981
6 1988 25.65 0 0 0 "ID" 1988
6 1989 27.2 0 0 0 "ID" 1989
6 1992 26.3 0 0 0 "ID" 1992
6 1993 27.0666666666667 0 0 0 "ID" 1993
6 1994 26.5 0 0 0 "ID" 1994
6 1995 27.0961538461538 0 0 0 "ID" 1995
6 1996 26.8777777777778 0 0 0 "ID" 1996
6 1997 27.2342105263158 0 0 0 "ID" 1997
6 1998 27.35 0 0 0 "ID" 1998
6 2003 26.92 0 0 0 "ID" 2003
6 2004 26.7617647058824 0 0 0 "ID" 2004
6 2005 27.1703703703704 0 0 0 "ID" 2005
6 2010 25.8 0 0 0 "ID" 2010
6 2016 26.9 0 0 0 "ID" 2016
7 1980 26.8461538461538 0 0 0 "ID" 1980
7 1981 26.5555555555556 0 0 0 "ID" 1981
7 1988 26.3 0 0 0 "ID" 1988
7 1992 26.9 0 0 0 "ID" 1992
7 1993 26.2857142857143 0 0 0 "ID" 1993
7 1994 26.324 0 0 0 "ID" 1994
7 1995 26.825 0 0 0 "ID" 1995
7 1996 26.3732142857143 0 0 0 "ID" 1996
7 1997 26.5619047619048 0 0 0 "ID" 1997
7 1998 26.95 0 0 0 "ID" 1998
7 2003 26.5557692307692 0 0 0 "ID" 2003
7 2004 26.0366666666667 0 0 0 "ID" 2004
7 2005 26.4923076923077 0 0 0 "ID" 2005
7 2014 25.35 0 0 0 "ID" 2014
7 2018 25.05 0 0 0 "ID" 2018
8 1980 26.5 0 0 0 "ID" 1980
8 1981 26.5416666666667 0 0 0 "ID" 1981
8 1992 26.875 0 0 0 "ID" 1992
8 1993 26.3785714285714 0 0 0 "ID" 1993
8 1994 26.2735294117647 0 0 0 "ID" 1994
8 1995 26.5227272727273 0 0 0 "ID" 1995
8 1996 26.4478260869565 0 0 0 "ID" 1996
8 1997 26.79375 0 0 0 "ID" 1997
8 1998 26.2833333333333 0 0 0 "ID" 1998
8 2002 26.95 0 0 0 "ID" 2002
8 2003 26.3789473684211 0 0 0 "ID" 2003
8 2004 26.0361111111111 0 0 0 "ID" 2004
8 2006 25.4 0 0 0 "ID" 2006
8 2008 25.25 0 0 0 "ID" 2008
8 2014 27 0 0 0 "ID" 2014
8 2016 25.55 0 0 0 "ID" 2016
8 2017 24.25 0 0 0 "ID" 2017
8 2018 27.25 0 0 0 "ID" 2018
9 1980 26.9 0 0 0 "ID" 1980
9 1981 25.5555555555556 0 0 0 "ID" 1981
9 1988 27.6 0 0 0 "ID" 1988
9 1992 26.6 0 0 0 "ID" 1992
9 1993 26.4333333333333 0 0 0 "ID" 1993
9 1994 26.4611111111111 0 0 0 "ID" 1994
9 1995 26.8613636363636 0 0 0 "ID" 1995
9 1996 26.421875 0 0 0 "ID" 1996
9 1997 26.43 0 0 0 "ID" 1997
9 1998 26.1642857142857 0 0 0 "ID" 1998
9 2002 26.5045454545455 0 0 0 "ID" 2002
9 2003 26.254347826087 0 0 0 "ID" 2003
9 2004 26.0470588235294 0 0 0 "ID" 2004
9 2014 26.525 0 0 0 "ID" 2014
9 2015 26.5 0 0 0 "ID" 2015
9 2017 25.9 0 0 0 "ID" 2017
10 1979 28.5 0 0 0 "ID" 1979
10 1980 26.8214285714286 0 0 0 "ID" 1980
10 1981 25.9615384615385 0 0 0 "ID" 1981
10 1992 26.4289473684211 0 0 0 "ID" 1992
10 1993 26.775 0 0 0 "ID" 1993
10 1994 26.0479166666667 0 0 0 "ID" 1994
10 1995 26.66 0 0 0 "ID" 1995
10 1996 26.3026315789474 0 0 0 "ID" 1996
10 1997 26.6260869565217 0 0 0 "ID" 1997
10 1998 26.8533333333333 0 0 0 "ID" 1998
10 1999 26.75 0 0 0 "ID" 1999
