"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1990 -3.70294117647059 0 0 0 "IR" 1990
1 1991 -1.0047619047619 0 0 0 "IR" 1991
1 1992 -2.325 0 0 0 "IR" 1992
1 1993 -3.040625 0 0 0 "IR" 1993
1 1994 -0.86 0 0 0 "IR" 1994
1 1995 1.79347826086957 0 0 0 "IR" 1995
1 1996 -0.661111111111111 0 0 0 "IR" 1996
1 1997 0.826315789473684 0 0 0 "IR" 1997
1 1998 -2.05588235294118 0 0 0 "IR" 1998
1 2000 -0.135714285714286 0 0 0 "IR" 2000
1 2001 0.361363636363636 0 0 0 "IR" 2001
1 2002 -1.04 0 0 0 "IR" 2002
1 2003 0.81 0 0 0 "IR" 2003
1 2004 2.55862068965517 0 0 0 "IR" 2004
1 2005 -2.19 0 0 0 "IR" 2005
1 2006 -2.51923076923077 0 0 0 "IR" 2006
1 2007 -4 0 0 0 "IR" 2007
1 2008 -5.93103448275862 0 0 0 "IR" 2008
1 2009 -0.783333333333333 0 0 0 "IR" 2009
1 2010 4.44827586206897 0 0 0 "IR" 2010
1 2011 -1.18333333333333 0 0 0 "IR" 2011
1 2012 -0.92 0 0 0 "IR" 2012
1 2013 0.35 0 0 0 "IR" 2013
1 2014 -1.78181818181818 0 0 0 "IR" 2014
1 2015 2.12222222222222 0 0 0 "IR" 2015
1 2016 -0.155 0 0 0 "IR" 2016
1 2017 -4.015625 0 0 0 "IR" 2017
1 2018 2.23181818181818 0 0 0 "IR" 2018
1 2019 2.05 0 0 0 "IR" 2019
2 1990 -0.107142857142857 0 0 0 "IR" 1990
2 1991 -0.836842105263158 0 0 0 "IR" 1991
2 1992 -0.0521739130434783 0 0 0 "IR" 1992
2 1993 -0.958333333333333 0 0 0 "IR" 1993
2 1994 1.74615384615385 0 0 0 "IR" 1994
2 1995 3.41842105263158 0 0 0 "IR" 1995
2 1996 2.445 0 0 0 "IR" 1996
2 1997 -0.726086956521739 0 0 0 "IR" 1997
2 1998 -2.47941176470588 0 0 0 "IR" 1998
