"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 2014 2.365 11.335 0 0 0 "IZ" 2014
1 2015 0.1375 13.0375 0 0 0 "IZ" 2015
1 2016 0.226923076923077 11.9903846153846 0 0 0 "IZ" 2016
1 2017 0 11.3928571428571 0 0 0 "IZ" 2017
1 2018 0.117647058823529 13.6205882352941 0 0 0 "IZ" 2018
1 2019 0.0785714285714286 11.7285714285714 0 0 0 "IZ" 2019
2 2010 0.5 19.3 0 0 0 "IZ" 2010
2 2014 0 14.3538461538462 0 0 0 "IZ" 2014
2 2015 1.15789473684211 15.1210526315789 0 0 0 "IZ" 2015
2 2016 0.86 16.402 0 0 0 "IZ" 2016
2 2017 0.0882352941176471 12.4941176470588 0 0 0 "IZ" 2017
2 2018 0.564285714285714 16.0714285714286 0 0 0 "IZ" 2018
3 2014 0.322222222222222 20.5333333333333 0 0 0 "IZ" 2014
3 2015 0.226923076923077 19.7230769230769 0 0 0 "IZ" 2015
3 2016 1.05384615384615 19.6807692307692 0 0 0 "IZ" 2016
3 2017 1.46 18.83 0 0 0 "IZ" 2017
3 2018 0 22.5833333333333 0 0 0 "IZ" 2018
4 2010 45.1 26.425 0 0 0 "IZ" 2010
4 2014 0 26.1041666666667 0 0 0 "IZ" 2014
4 2015 0 24.93125 0 0 0 "IZ" 2015
4 2016 0 25.7025 0 0 0 "IZ" 2016
4 2017 0.0555555555555556 26.1222222222222 0 0 0 "IZ" 2017
4 2018 0.2875 24.7625 0 0 0 "IZ" 2018
5 2014 0 32.0236842105263 0 0 0 "IZ" 2014
5 2015 0.153333333333333 32.6 0 0 0 "IZ" 2015
5 2016 0.12 31.774 0 0 0 "IZ" 2016
5 2017 0.244 32.242 0 0 0 "IZ" 2017
5 2018 0 33.0727272727273 0 0 0 "IZ" 2018
6 2014 0 36.1282608695652 0 0 0 "IZ" 2014
6 2015 0 36.7160714285714 0 0 0 "IZ" 2015
6 2016 0 35.5022727272727 0 0 0 "IZ" 2016
6 2017 0 35.94 0 0 0 "IZ" 2017
6 2018 0 36.3227272727273 0 0 0 "IZ" 2018
7 1989 0 37.35 0 0 0 "IZ" 1989
7 1990 0 40.1 0 0 0 "IZ" 1990
7 2014 0 37.45625 0 0 0 "IZ" 2014
7 2015 0.262962962962963 38.9037037037037 0 0 0 "IZ" 2015
7 2016 0 38.4925 1 0 0 "IZ" 2016
7 2017 0 40.14 2 0 0 "IZ" 2017
7 2018 0 38.715625 0 0 0 "IZ" 2018
8 2014 0 37.7642857142857 0 0 0 "IZ" 2014
8 2015 0 38.9833333333333 0 0 0 "IZ" 2015
8 2016 0 39.1423076923077 0 0 0 "IZ" 2016
8 2017 0 39.8916666666667 2 0 0 "IZ" 2017
8 2018 0 37.36 0 0 0 "IZ" 2018
9 2010 0 35.35 0 0 0 "IZ" 2010
9 2014 0 34.0333333333333 0 0 0 "IZ" 2014
9 2015 0 35.45 0 0 0 "IZ" 2015
9 2016 0 33.8944444444444 0 0 0 "IZ" 2016
9 2017 0 35.7347826086957 0 0 0 "IZ" 2017
9 2018 0 35.6458333333333 0 0 0 "IZ" 2018
10 2014 0.85625 26.29375 0 0 0 "IZ" 2014
10 2015 0 28.635 0 0 0 "IZ" 2015
10 2016 0 28.46875 0 0 0 "IZ" 2016
10 2017 0 27.7717391304348 0 0 0 "IZ" 2017
10 2018 0.927272727272727 26.1681818181818 0 0 0 "IZ" 2018
11 2014 0.48 17.77 0 0 0 "IZ" 2014
11 2015 1.77777777777778 18.4981481481481 0 0 0 "IZ" 2015
11 2016 0 19.6958333333333 0 0 0 "IZ" 2016
11 2017 0 21.471875 0 0 0 "IZ" 2017
11 2018 1.025 18.6916666666667 0 0 0 "IZ" 2018
12 2009 59.9 16.8 0 0 0 "IZ" 2009
12 2013 0 11.1625 0 0 0 "IZ" 2013
12 2014 0.142857142857143 15.3690476190476 0 0 0 "IZ" 2014
12 2015 1.51904761904762 12.3547619047619 0 0 0 "IZ" 2015
12 2016 0.4125 11.8375 0 0 0 "IZ" 2016
12 2017 0 15.9638888888889 0 0 0 "IZ" 2017
12 2018 0.285714285714286 13.1 0 0 0 "IZ" 2018
