"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1979 1.41666666666667 28.125 0 0 0 "JU" 1979
1 1980 0.82 29 0 0 0 "JU" 1980
1 1981 0.5 29.3333333333333 0 0 0 "JU" 1981
1 1983 38.95 25.75 0 0 0 "JU" 1983
1 1984 26.36875 27.39375 0 0 0 "JU" 1984
1 1985 5.21333333333333 28.5566666666667 0 0 0 "JU" 1985
1 1986 9.26363636363636 27.7772727272727 0 0 0 "JU" 1986
1 1987 0.666666666666667 28.6333333333333 0 0 0 "JU" 1987
1 1988 2.2 28.7083333333333 0 0 0 "JU" 1988
1 1989 15.3769230769231 27.3307692307692 0 0 0 "JU" 1989
1 1990 0.125 28.94375 0 0 0 "JU" 1990
1 1991 0.95 29.15 0 0 0 "JU" 1991
1 1992 14.4333333333333 28.4333333333333 0 0 0 "JU" 1992
1 1993 14.3333333333333 28.2388888888889 0 0 0 "JU" 1993
1 1994 3.35 28.4333333333333 0 0 0 "JU" 1994
1 1995 18.8272727272727 27.9022727272727 0 0 0 "JU" 1995
1 1996 7.46470588235294 28.2735294117647 0 0 0 "JU" 1996
1 1997 16.9923076923077 28.5884615384615 0 0 0 "JU" 1997
1 1998 5.95 29.53125 0 0 0 "JU" 1998
1 2000 3.04444444444444 28.3722222222222 0 0 0 "JU" 2000
1 2001 21.4466666666667 28.17 0 0 0 "JU" 2001
1 2002 2.83333333333333 28.4 0 0 0 "JU" 2002
1 2004 11.4947368421053 29.1473684210526 0 0 0 "JU" 2004
1 2006 10.7 28.59375 0 0 0 "JU" 2006
1 2007 3.16363636363636 28.4136363636364 0 0 0 "JU" 2007
1 2008 5.95384615384615 28.5769230769231 0 0 0 "JU" 2008
1 2009 14.3 28.75 0 0 0 "JU" 2009
1 2010 9.6125 28.75625 0 0 0 "JU" 2010
1 2011 13.2 28.01 0 0 0 "JU" 2011
1 2012 33.3 27.8583333333333 0 0 0 "JU" 2012
1 2013 5.62105263157895 28.9842105263158 0 0 0 "JU" 2013
1 2015 14.7947368421053 28.4368421052632 0 0 0 "JU" 2015
1 2017 8.64285714285714 28.4214285714286 0 0 0 "JU" 2017
1 2018 4.96428571428571 28.1428571428571 0 0 0 "JU" 2018
1 2019 11.6615384615385 28.7961538461538 0 0 0 "JU" 2019
2 1979 7.68636363636364 27.9318181818182 0 0 0 "JU" 1979
2 1980 2.6 29.2 0 0 0 "JU" 1980
2 1981 2.5 28.5833333333333 0 0 0 "JU" 1981
2 1982 3.13333333333333 28.5166666666667 0 0 0 "JU" 1982
2 1983 15.5 27.75 0 0 0 "JU" 1983
2 1984 7.71818181818182 27.4681818181818 0 0 0 "JU" 1984
2 1985 10.25 28.05 0 0 0 "JU" 1985
2 1986 9.225 27.20625 0 0 0 "JU" 1986
2 1987 3.3 28.5642857142857 0 0 0 "JU" 1987
2 1988 13.3833333333333 27.4583333333333 0 0 0 "JU" 1988
2 1989 8.55833333333333 27.65 0 0 0 "JU" 1989
2 1990 11.8777777777778 28.5444444444444 0 0 0 "JU" 1990
2 1991 111.5 27.3857142857143 0 0 0 "JU" 1991
2 1992 13.6 27.625 0 0 0 "JU" 1992
2 1993 6.5 28.0625 0 0 0 "JU" 1993
2 1994 8.96666666666667 27.4833333333333 0 0 0 "JU" 1994
2 1995 8.29166666666667 28.6375 0 0 0 "JU" 1995
2 1996 3 28.2638888888889 0 0 0 "JU" 1996
2 1997 24.1692307692308 27.4230769230769 0 0 0 "JU" 1997
2 1998 13.3357142857143 28.8642857142857 0 0 0 "JU" 1998
2 2000 7.53333333333333 27.05 0 0 0 "JU" 2000
2 2001 8.11 28.395 0 0 0 "JU" 2001
2 2002 3.83333333333333 28.9222222222222 0 0 0 "JU" 2002
2 2003 0 29.95 0 0 0 "JU" 2003
2 2004 59.38 26.91 0 0 0 "JU" 2004
2 2006 14.3 28.2833333333333 0 0 0 "JU" 2006
2 2007 2.18 29.14 0 0 0 "JU" 2007
2 2008 5.33333333333333 28.6416666666667 0 0 0 "JU" 2008
2 2009 9.225 28.7125 0 0 0 "JU" 2009
2 2010 0 29.225 0 0 0 "JU" 2010
2 2011 3.66666666666667 28.7333333333333 0 0 0 "JU" 2011
2 2012 2.77333333333333 28.7933333333333 0 0 0 "JU" 2012
2 2013 19.7923076923077 28.2076923076923 0 0 0 "JU" 2013
2 2015 12.0333333333333 28.0083333333333 0 0 0 "JU" 2015
