"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1978 15 24.3 0 0 0 "KT" 1978
1 1998 0.82 25.54 0 0 0 "KT" 1998
1 2000 20.55 24.9 0 0 0 "KT" 2000
1 2003 0 26.0875 0 0 0 "KT" 2003
1 2004 0 25.2611111111111 0 0 0 "KT" 2004
2 1998 0.25 26.85 0 0 0 "KT" 1998
2 2003 0 26.5 0 0 0 "KT" 2003
3 1978 0 25.7 0 0 0 "KT" 1978
3 1997 0 25.9227272727273 0 0 0 "KT" 1997
3 1998 1.36666666666667 26.6166666666667 0 0 0 "KT" 1998
3 2003 2.02 25.48 0 0 0 "KT" 2003
4 1979 0 26.55 0 0 0 "KT" 1979
4 1997 0.2 26.39 0 0 0 "KT" 1997
4 1998 0.0833333333333333 26.675 0 0 0 "KT" 1998
4 2003 2.55 26.5625 0 0 0 "KT" 2003
5 1997 0.444444444444444 25.8333333333333 0 0 0 "KT" 1997
5 1998 3.1 26.7857142857143 0 0 0 "KT" 1998
5 2003 0.25 25.63125 0 0 0 "KT" 2003
6 1997 0 25.903125 0 0 0 "KT" 1997
6 1998 1.15 26.1875 0 0 0 "KT" 1998
6 2003 0.0769230769230769 25.6230769230769 0 0 0 "KT" 2003
7 1997 0.9 24.06 0 0 0 "KT" 1997
7 1998 0 26 0 0 0 "KT" 1998
7 2003 0.871428571428571 24.8357142857143 0 0 0 "KT" 2003
8 1997 0.507142857142857 23.3392857142857 0 0 0 "KT" 1997
8 1998 0 26.1833333333333 0 0 0 "KT" 1998
8 2002 0 24.425 0 0 0 "KT" 2002
8 2003 0.333333333333333 23.55 0 0 0 "KT" 2003
9 1997 0.117647058823529 23.7117647058824 0 0 0 "KT" 1997
9 1999 1 24.9 0 0 0 "KT" 1999
9 2002 0.546153846153846 23.9807692307692 0 0 0 "KT" 2002
9 2003 0.0833333333333333 23.6916666666667 0 0 0 "KT" 2003
10 1977 0 24.05 0 0 0 "KT" 1977
10 1997 0 24.8785714285714 0 0 0 "KT" 1997
10 1999 0.50625 25.075 0 0 0 "KT" 1999
10 2002 0 24.6277777777778 0 0 0 "KT" 2002
10 2003 0 24.33125 0 0 0 "KT" 2003
11 1976 0 24.9 0 0 0 "KT" 1976
11 1978 0 25.3 0 0 0 "KT" 1978
11 1997 0 25.3340909090909 0 0 0 "KT" 1997
11 1999 2.08 24.445 0 0 0 "KT" 1999
11 2002 0.192307692307692 25.2076923076923 0 0 0 "KT" 2002
11 2003 0 24.6083333333333 0 0 0 "KT" 2003
12 1997 0.35 25.82 0 0 0 "KT" 1997
12 1999 1.02 24.81 0 0 0 "KT" 1999
12 2002 0.0555555555555556 25.7444444444444 0 0 0 "KT" 2002
12 2003 0 24.7714285714286 0 0 0 "KT" 2003
