"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1981 0.5 16.025 0 0 0 "KU" 1981
1 1983 0 9.99285714285714 0 0 0 "KU" 1983
1 1984 0 12.642 0 0 0 "KU" 1984
1 1985 0 14.4148148148148 0 0 0 "KU" 1985
1 1986 0 12.9362068965517 0 0 0 "KU" 1986
1 1987 0 12.8116666666667 0 0 0 "KU" 1987
1 1988 0 11.3851851851852 0 0 0 "KU" 1988
1 1989 0 9.89333333333333 0 0 0 "KU" 1989
1 1990 0.457692307692308 11.1211538461538 0 0 0 "KU" 1990
1 1992 0.425925925925926 10.3814814814815 0 0 0 "KU" 1992
1 1993 0.692 11.714 0 0 0 "KU" 1993
1 1994 0 15.0086206896552 0 0 0 "KU" 1994
1 1995 0 14.3907407407407 0 0 0 "KU" 1995
1 1996 0 13.8229166666667 0 0 0 "KU" 1996
1 1997 0 13.975 0 0 0 "KU" 1997
1 1998 0 11.978 0 0 0 "KU" 1998
1 2000 13.2428571428571 12.7357142857143 0 0 0 "KU" 2000
1 2002 1.5 19.5 0 0 0 "KU" 2002
1 2008 0 13.275 0 0 0 "KU" 2008
2 1974 2.55 16.925 0 0 0 "KU" 1974
2 1980 1.5 18.375 0 0 0 "KU" 1980
2 1982 0 11.675 0 0 0 "KU" 1982
2 1983 0 13.5055555555556 0 0 0 "KU" 1983
2 1984 0 15.746 0 0 0 "KU" 1984
2 1985 0 13.5055555555556 0 0 0 "KU" 1985
2 1986 0 15.28125 0 0 0 "KU" 1986
2 1987 0 16.9537037037037 0 0 0 "KU" 1987
2 1988 0 15.21875 0 0 0 "KU" 1988
2 1989 0 11.68 0 0 0 "KU" 1989
2 1990 0.4125 13.3333333333333 0 0 0 "KU" 1990
2 1992 0.146153846153846 14.0557692307692 0 0 0 "KU" 1992
2 1993 0.104545454545455 14.5727272727273 0 0 0 "KU" 1993
2 1994 0 14.9592592592593 0 0 0 "KU" 1994
2 1995 0 15.734375 0 0 0 "KU" 1995
2 1996 0 16.7217391304348 0 0 0 "KU" 1996
2 1997 0 12.8615384615385 0 0 0 "KU" 1997
2 1998 0 14.7555555555556 0 0 0 "KU" 1998
2 2004 0 14.2166666666667 0 0 0 "KU" 2004
2 2008 9.9 13.2 0 0 0 "KU" 2008
2 2011 0 13 0 0 0 "KU" 2011
2 2012 0 17.75 0 0 0 "KU" 2012
3 1982 0 17.206 0 0 0 "KU" 1982
3 1983 0 16.2636363636364 0 0 0 "KU" 1983
3 1984 0 20.042 0 0 0 "KU" 1984
3 1985 0 18.0948275862069 0 0 0 "KU" 1985
3 1986 0 19.2758620689655 0 0 0 "KU" 1986
3 1987 0 18.85 0 0 0 "KU" 1987
3 1988 0 19.4388888888889 0 0 0 "KU" 1988
3 1989 0 19.0090909090909 0 0 0 "KU" 1989
3 1990 0.196153846153846 18.5903846153846 0 0 0 "KU" 1990
3 1992 0.15 16.715 0 0 0 "KU" 1992
3 1993 0.495 19.6975 0 0 0 "KU" 1993
3 1994 0 19.5314814814815 0 0 0 "KU" 1994
3 1995 0.825 19.4 0 0 0 "KU" 1995
3 1996 0 19.59 0 0 0 "KU" 1996
3 1997 0 16.8979166666667 0 0 0 "KU" 1997
3 1998 0 17.9979166666667 0 0 0 "KU" 1998
3 2011 16 14.1 0 0 0 "KU" 2011
3 2013 18 19.65 0 0 0 "KU" 2013
4 1982 0 26.268 0 0 0 "KU" 1982
4 1983 0 23.7238095238095 0 0 0 "KU" 1983
4 1984 0.0344827586206897 26.201724137931 0 0 0 "KU" 1984
4 1985 0 25.1803571428571 0 0 0 "KU" 1985
4 1986 0 25.3145833333333 0 0 0 "KU" 1986
4 1987 0 25.2425925925926 0 0 0 "KU" 1987
4 1988 0 25.2365384615385 0 0 0 "KU" 1988
4 1989 0 25.5482142857143 0 0 0 "KU" 1989
4 1990 0 25.712962962963 0 0 0 "KU" 1990
4 1992 0 24.6452380952381 0 0 0 "KU" 1992
4 1993 0.252 25.152 0 0 0 "KU" 1993
4 1994 0 27.172 0 0 0 "KU" 1994
4 1995 0 24.4022727272727 0 0 0 "KU" 1995
