"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1970 0.2 -4.56 0 0 0 "MD" 1970
1 1971 0 -8.05 0 0 0 "MD" 1971
1 1973 0.166666666666667 -4.33333333333333 0 0 0 "MD" 1973
1 1974 0.107142857142857 -5 0 0 0 "MD" 1974
1 1975 0.942857142857143 -0.428571428571429 0 0 0 "MD" 1975
1 1976 0.255555555555556 -3.77777777777778 0 0 0 "MD" 1976
1 1977 2.45 -4.75 0 0 0 "MD" 1977
1 1978 0 -4.75 0 0 0 "MD" 1978
1 1979 0.566666666666667 -4.625 0 0 0 "MD" 1979
1 1980 0.166666666666667 -10.25 0 0 0 "MD" 1980
1 1981 1.47692307692308 -4.46153846153846 0 0 0 "MD" 1981
1 1988 0.0666666666666667 -0.8 0 0 0 "MD" 1988
1 1989 0 0.5 0 0 0 "MD" 1989
1 1990 0 3.2 0 0 0 "MD" 1990
1 1991 0.133333333333333 -0.888888888888889 0 0 0 "MD" 1991
1 1992 0.1375 -1.55625 0 0 0 "MD" 1992
1 1993 0.4 1.775 0 0 0 "MD" 1993
1 1994 2.5 2.75 0 0 0 "MD" 1994
1 1995 0 -2.05 0 0 0 "MD" 1995
1 2017 4.7 -11.95 0 0 0 "MD" 2017
1 2018 0.15 -6.225 0 0 0 "MD" 2018
1 2019 2.5 -3.39166666666667 0 0 0 "MD" 2019
2 1970 0.3 -3.41666666666667 0 0 0 "MD" 1970
2 1971 0.9 -3.9 0 0 0 "MD" 1971
2 1973 2.65555555555556 0.555555555555556 0 0 0 "MD" 1973
2 1974 0.809090909090909 2.40909090909091 0 0 0 "MD" 1974
2 1975 0.1 -1.9 0 0 0 "MD" 1975
2 1976 0 -10.875 0 0 0 "MD" 1976
2 1977 0.625 5.875 0 0 0 "MD" 1977
2 1978 0.8 -0.5 0 0 0 "MD" 1978
2 1979 0.0428571428571429 -2.57142857142857 0 0 0 "MD" 1979
2 1980 0 -5.5 0 0 0 "MD" 1980
2 1981 0 -1.08333333333333 0 0 0 "MD" 1981
2 1984 0 -7.35 0 0 0 "MD" 1984
2 1988 0 1 0 0 0 "MD" 1988
2 1989 5.6 5.9 0 0 0 "MD" 1989
2 1990 0 3.9625 0 0 0 "MD" 1990
2 1991 0.694444444444444 -3.38333333333333 0 0 0 "MD" 1991
2 1992 0.133333333333333 -0.761111111111111 0 0 0 "MD" 1992
2 1993 1.5 -5 0 0 0 "MD" 1993
2 1995 3 3.4 0 0 0 "MD" 1995
2 2017 0.8 -1.15 0 0 0 "MD" 2017
2 2018 2.9 -2.05 0 0 0 "MD" 2018
3 1973 1.38571428571429 -0.785714285714286 0 0 0 "MD" 1973
3 1974 0.166666666666667 0.25 0 0 0 "MD" 1974
3 1975 0.0833333333333333 7.91666666666667 0 0 0 "MD" 1975
3 1976 0.209090909090909 -0.181818181818182 0 0 0 "MD" 1976
3 1977 0.457142857142857 4.85714285714286 0 0 0 "MD" 1977
3 1978 0.208333333333333 4.53333333333333 0 0 0 "MD" 1978
3 1979 1.9875 4 0 0 0 "MD" 1979
3 1980 1.8 0.5 0 0 0 "MD" 1980
3 1981 0.48 8 0 0 0 "MD" 1981
3 1989 0 5.7 0 0 0 "MD" 1989
3 1990 0.133333333333333 6.53333333333333 0 0 0 "MD" 1990
3 1991 0.828571428571429 0.275 0 0 0 "MD" 1991
3 1992 0.7 3.855 0 0 0 "MD" 1992
3 1993 4.5 4.53333333333333 0 0 0 "MD" 1993
3 1994 0.25 1.825 0 0 0 "MD" 1994
3 1995 2.96666666666667 1.56666666666667 0 0 0 "MD" 1995
3 2017 2.46666666666667 7.68333333333333 0 0 0 "MD" 2017
3 2018 2.475 2.65 0 0 0 "MD" 2018
4 1973 0 11.0555555555556 0 0 0 "MD" 1973
4 1974 0.342857142857143 9.5 0 0 0 "MD" 1974
4 1975 5.06 12.6 0 0 0 "MD" 1975
4 1976 0.5 11.6 0 0 0 "MD" 1976
4 1977 2.21428571428571 11.2142857142857 0 0 0 "MD" 1977
4 1978 1.875 9.5 0 0 0 "MD" 1978
4 1979 1.5 9.06666666666667 0 0 0 "MD" 1979
4 1980 0.16 11.1 0 0 0 "MD" 1980
4 1981 0.1 8.125 0 0 0 "MD" 1981
4 1988 0 8.9 0 0 0 "MD" 1988
4 1989 2.2 10.7166666666667 0 0 0 "MD" 1989
4 1990 0 11.3 0 0 0 "MD" 1990
4 1991 2.2 8.65 0 0 0 "MD" 1991
4 1992 1.68461538461538 8.05769230769231 0 0 0 "MD" 1992
4 1993 0.3 8.85 0 0 0 "MD" 1993
4 1994 7.1 9.35 0 0 0 "MD" 1994
4 1995 1 5.91666666666667 0 0 0 "MD" 1995
4 2017 7.825 7.3625 0 0 0 "MD" 2017
5 1971 1.65 12.925 0 0 0 "MD" 1971
5 1973 3.92 15.3 0 0 0 "MD" 1973
5 1974 1.78333333333333 14 0 0 0 "MD" 1974
5 1975 3.42 16.8 0 0 0 "MD" 1975
5 1976 0.89 14.1 0 0 0 "MD" 1976
5 1977 0.4 11.375 0 0 0 "MD" 1977
5 1978 1.47692307692308 12.1153846153846 0 0 0 "MD" 1978
5 1979 1.56666666666667 18.1666666666667 0 0 0 "MD" 1979
5 1980 0 14.5833333333333 0 0 0 "MD" 1980
5 1981 0.783333333333333 15.1666666666667 0 0 0 "MD" 1981
5 1988 1 14.5 0 0 0 "MD" 1988
5 1989 0.8 11.15 0 0 0 "MD" 1989
5 1990 1.15 13.0833333333333 0 0 0 "MD" 1990
5 1991 2.71428571428571 12.975 0 0 0 "MD" 1991
5 1992 2.45454545454545 14.1 0 0 0 "MD" 1992
5 1994 2 10.8 0 0 0 "MD" 1994
5 2016 16.4 16.075 0 0 0 "MD" 2016
5 2017 8.25 14.375 0 0 0 "MD" 2017
6 1973 1.2 18.4375 0 0 0 "MD" 1973
6 1974 0.683333333333333 17.25 0 0 0 "MD" 1974
6 1975 8.7 17.875 0 0 0 "MD" 1975
6 1976 0.718181818181818 17.1363636363636 0 0 0 "MD" 1976
6 1977 2.51428571428571 16.7857142857143 0 0 0 "MD" 1977
6 1978 1.49230769230769 16.7307692307692 0 0 0 "MD" 1978
6 1979 1.12857142857143 19.5714285714286 0 0 0 "MD" 1979
