"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1970 0 -33.115 0 0 0 "MG" 1970
1 1971 0.0645161290322581 -29.7741935483871 0 0 0 "MG" 1971
1 1972 0 -31.0370967741936 0 0 0 "MG" 1972
1 1973 0 -31.0370967741936 0 0 0 "MG" 1973
1 1974 0 -32.3306451612903 0 0 0 "MG" 1974
1 1975 0.032258064516129 -31.2435483870968 0 0 0 "MG" 1975
1 1976 0.032258064516129 -32.0596774193548 0 0 0 "MG" 1976
1 1977 0 -38.1935483870968 0 0 0 "MG" 1977
1 1979 0.0645161290322581 -30.2161290322581 0 0 0 "MG" 1979
1 1980 0 -32.0612903225806 0 0 0 "MG" 1980
1 1981 0 -34.6290322580645 0 0 0 "MG" 1981
1 1982 0.032258064516129 -30.958064516129 0 0 0 "MG" 1982
1 1983 0.032258064516129 -32.0403225806452 0 0 0 "MG" 1983
1 1984 0.0967741935483871 -33.4548387096774 0 0 0 "MG" 1984
1 1985 0 -30.9241935483871 0 0 0 "MG" 1985
1 1986 0 -31.0677419354839 0 0 0 "MG" 1986
1 1987 0 -30.491935483871 0 0 0 "MG" 1987
1 1988 0 -30.8483870967742 0 0 0 "MG" 1988
1 1989 0.129032258064516 -29.7112903225806 0 0 0 "MG" 1989
1 1990 0.0967741935483871 -31.7467741935484 0 0 0 "MG" 1990
1 1991 0 -31.0322580645161 0 0 0 "MG" 1991
1 1992 0.032258064516129 -29.0983870967742 0 0 0 "MG" 1992
1 1993 0 -32.3645161290323 0 0 0 "MG" 1993
1 1994 0.129032258064516 -26.2370967741935 0 0 0 "MG" 1994
1 1995 0.032258064516129 -28.8548387096774 0 0 0 "MG" 1995
1 1996 0 -30.9258064516129 0 0 0 "MG" 1996
1 1997 0.032258064516129 -29.6516129032258 0 0 0 "MG" 1997
1 1998 0 -28.5596774193548 0 0 0 "MG" 1998
1 2000 0 -30.46 0 0 0 "MG" 2000
1 2003 0 -31.8863636363636 0 0 0 "MG" 2003
1 2004 0.115 -30.62 0 0 0 "MG" 2004
1 2005 0 -35.925 0 0 0 "MG" 2005
1 2016 2 -32.8 0 0 0 "MG" 2016
1 2019 0 -23.4 0 0 0 "MG" 2019
2 1970 0 -26.6 0 0 0 "MG" 1970
2 1971 0.0357142857142857 -29.6464285714286 0 0 0 "MG" 1971
2 1972 0 -30.6620689655172 0 0 0 "MG" 1972
2 1973 0.107142857142857 -27.4321428571429 0 0 0 "MG" 1973
2 1974 0.0714285714285714 -30.1678571428571 0 0 0 "MG" 1974
2 1975 0 -31.0196428571429 0 0 0 "MG" 1975
2 1976 0.0689655172413793 -25.7620689655172 0 0 0 "MG" 1976
2 1977 0 -29.9571428571429 0 0 0 "MG" 1977
2 1978 0.107142857142857 -31.5785714285714 0 0 0 "MG" 1978
2 1979 0.0357142857142857 -25.8089285714286 0 0 0 "MG" 1979
2 1980 0 -31.0862068965517 0 0 0 "MG" 1980
2 1981 0.0357142857142857 -29.7589285714286 0 0 0 "MG" 1981
2 1982 0 -31.7642857142857 0 0 0 "MG" 1982
2 1983 0 -27.8964285714286 0 0 0 "MG" 1983
2 1984 0 -34.6948275862069 0 0 0 "MG" 1984
2 1985 0.0714285714285714 -29.5589285714286 0 0 0 "MG" 1985
2 1986 0 -29.0857142857143 0 0 0 "MG" 1986
2 1987 0.142857142857143 -26.175 0 0 0 "MG" 1987
2 1988 0.0689655172413793 -29.9827586206897 0 0 0 "MG" 1988
2 1989 0 -30.5053571428571 0 0 0 "MG" 1989
2 1990 0 -26.7357142857143 0 0 0 "MG" 1990
2 1991 0 -27.0875 0 0 0 "MG" 1991
2 1992 0.0344827586206897 -28.3431034482759 0 0 0 "MG" 1992
2 1993 0.107142857142857 -22.8571428571429 0 0 0 "MG" 1993
2 1994 0 -25.0807692307692 0 0 0 "MG" 1994
2 1995 0 -25.6142857142857 0 0 0 "MG" 1995
2 1996 0.0344827586206897 -29.4379310344828 0 0 0 "MG" 1996
2 1997 0.0357142857142857 -26.5357142857143 0 0 0 "MG" 1997
2 1998 0.0714285714285714 -20.4142857142857 0 0 0 "MG" 1998
2 2003 0 -28.85 0 0 0 "MG" 2003
2 2004 0 -22.475 0 0 0 "MG" 2004
2 2005 0 -36.4815789473684 0 0 0 "MG" 2005
2 2009 1.26666666666667 -28.5833333333333 0 0 0 "MG" 2009
2 2012 0 -27.3 0 0 0 "MG" 2012
2 2014 0 -29.9 0 0 0 "MG" 2014
2 2015 0 -22.5 0 0 0 "MG" 2015
2 2016 1.15 -27.925 0 0 0 "MG" 2016
2 2018 0 -23.4 0 0 0 "MG" 2018
3 1970 0 -23.5129032258065 0 0 0 "MG" 1970
3 1971 0.032258064516129 -20.3935483870968 0 0 0 "MG" 1971
3 1972 0 -16.7854838709677 0 0 0 "MG" 1972
3 1973 0 -18.2548387096774 0 0 0 "MG" 1973
3 1974 0.193548387096774 -19.2758064516129 0 0 0 "MG" 1974
3 1975 0.161290322580645 -17.0564516129032 0 0 0 "MG" 1975
3 1976 0.32258064516129 -18.2532258064516 0 0 0 "MG" 1976
3 1977 0 -16.8612903225806 0 0 0 "MG" 1977
3 1978 0.129032258064516 -18.4161290322581 0 0 0 "MG" 1978
3 1979 0 -17.3048387096774 0 0 0 "MG" 1979
3 1980 0.0645161290322581 -22.3177419354839 0 0 0 "MG" 1980
3 1981 0 -17.0193548387097 0 0 0 "MG" 1981
3 1982 0.193548387096774 -19.9306451612903 0 0 0 "MG" 1982
3 1983 0 -20.6467741935484 0 0 0 "MG" 1983
3 1984 0 -18.5629032258065 0 0 0 "MG" 1984
3 1985 0 -23.4629032258065 0 0 0 "MG" 1985
3 1986 0 -17.5564516129032 0 0 0 "MG" 1986
3 1987 0.032258064516129 -20.841935483871 0 0 0 "MG" 1987
3 1988 0 -19.3322580645161 0 0 0 "MG" 1988
3 1989 0.032258064516129 -14.1096774193548 0 0 0 "MG" 1989
3 1990 0.161290322580645 -14.6741935483871 0 0 0 "MG" 1990
3 1991 0 -16.9483870967742 0 0 0 "MG" 1991
3 1992 0.0645161290322581 -17.1645161290323 0 0 0 "MG" 1992
3 1993 0.161290322580645 -15.1596774193548 0 0 0 "MG" 1993
3 1994 0.0645161290322581 -18.958064516129 0 0 0 "MG" 1994
3 1995 0.193548387096774 -15.2967741935484 0 0 0 "MG" 1995
3 1996 0.0645161290322581 -16.8354838709677 0 0 0 "MG" 1996
3 1997 0.032258064516129 -13.9306451612903 0 0 0 "MG" 1997
3 1998 0 -11.0048387096774 0 0 0 "MG" 1998
3 2002 1 -16.6 0 0 0 "MG" 2002
3 2003 0 -17.6928571428571 0 0 0 "MG" 2003
3 2004 0 -17.375 0 0 0 "MG" 2004
3 2005 0 -20.7818181818182 0 0 0 "MG" 2005
3 2008 0.3 -10.05 0 0 0 "MG" 2008
3 2009 1 -13.2 0 0 0 "MG" 2009
3 2010 1.5 -22.25 0 0 0 "MG" 2010
3 2013 0.3 -1.8 0 0 0 "MG" 2013
3 2016 0.833333333333333 -9.45 0 0 0 "MG" 2016
3 2017 2.15 -11.5 0 0 0 "MG" 2017
3 2018 1 -7.55 0 0 0 "MG" 2018
4 1970 0.1 0.353333333333333 0 0 0 "MG" 1970
4 1971 0.1 3.415 0 0 0 "MG" 1971
4 1972 0.1 3.285 0 0 0 "MG" 1972
4 1973 0 2.14 0 0 0 "MG" 1973
4 1974 0.266666666666667 1.275 0 0 0 "MG" 1974
4 1975 0.2 -1.45166666666667 0 0 0 "MG" 1975
4 1976 0.266666666666667 2.64666666666667 0 0 0 "MG" 1976
4 1977 0.0333333333333333 1.305 0 0 0 "MG" 1977
4 1978 0 -0.216666666666667 0 0 0 "MG" 1978
4 1979 0.0333333333333333 -0.431666666666666 0 0 0 "MG" 1979
4 1980 0.133333333333333 -4.21833333333333 0 0 0 "MG" 1980
4 1981 0.4 2.835 0 0 0 "MG" 1981
4 1982 0 2.78166666666667 0 0 0 "MG" 1982
4 1983 0.266666666666667 -4.765 0 0 0 "MG" 1983
4 1984 0.133333333333333 -1.97166666666667 0 0 0 "MG" 1984
4 1985 0 1.72833333333333 0 0 0 "MG" 1985
4 1986 0 1.87666666666667 0 0 0 "MG" 1986
4 1987 0.266666666666667 0.981666666666667 0 0 0 "MG" 1987
4 1988 0.0333333333333333 0.755 0 0 0 "MG" 1988
4 1989 0 2.005 0 0 0 "MG" 1989
4 1990 0.0333333333333333 0.628333333333333 0 0 0 "MG" 1990
4 1991 0 0.568333333333333 0 0 0 "MG" 1991
4 1992 0 1.39833333333333 0 0 0 "MG" 1992
4 1993 0 -4.11666666666667 0 0 0 "MG" 1993
4 1994 0.166666666666667 3.13166666666667 0 0 0 "MG" 1994
4 1995 0.0333333333333333 2.51 0 0 0 "MG" 1995
4 1996 0 1.14 0 0 0 "MG" 1996
4 1997 0.0333333333333333 5.23166666666667 0 0 0 "MG" 1997
4 1998 0.0666666666666667 3.56166666666667 0 0 0 "MG" 1998
4 2003 0.0647058823529412 0.120588235294118 0 0 0 "MG" 2003
4 2004 0 3.68421052631579 0 0 0 "MG" 2004
4 2005 0 2.72105263157895 0 0 0 "MG" 2005
4 2007 5.1 6.65 0 0 0 "MG" 2007
4 2014 0 -5.95 0 0 0 "MG" 2014
4 2015 5.1 -2.5 0 0 0 "MG" 2015
4 2016 0 12.15 0 0 0 "MG" 2016
5 1970 0.193548387096774 9.05 0 0 0 "MG" 1970
5 1971 0.032258064516129 11.1258064516129 0 0 0 "MG" 1971
5 1972 0.0967741935483871 11.0467741935484 0 0 0 "MG" 1972
5 1973 0.0645161290322581 8.67903225806452 0 0 0 "MG" 1973
5 1974 0 11.8161290322581 0 0 0 "MG" 1974
5 1975 0.0967741935483871 9.10322580645161 0 0 0 "MG" 1975
5 1976 0.354838709677419 9.90645161290323 0 0 0 "MG" 1976
5 1977 0.32258064516129 10.4903225806452 0 0 0 "MG" 1977
5 1978 0.225806451612903 10.2193548387097 0 0 0 "MG" 1978
5 1979 0 12.0854838709677 0 0 0 "MG" 1979
5 1980 0.32258064516129 12.3096774193548 0 0 0 "MG" 1980
5 1981 0 11.9161290322581 0 0 0 "MG" 1981
5 1982 0.161290322580645 12.1838709677419 0 0 0 "MG" 1982
5 1983 0.032258064516129 10.8064516129032 0 0 0 "MG" 1983
5 1984 0.129032258064516 10.8935483870968 0 0 0 "MG" 1984
5 1985 0.709677419354839 9.58064516129032 0 0 0 "MG" 1985
5 1986 0 13.6612903225806 0 0 0 "MG" 1986
5 1987 0.225806451612903 11.3870967741935 0 0 0 "MG" 1987
5 1988 0.0645161290322581 10.3758064516129 0 0 0 "MG" 1988
5 1989 0 12.0870967741935 0 0 0 "MG" 1989
5 1990 0.0645161290322581 12.3564516129032 0 0 0 "MG" 1990
5 1991 0 10.3645161290323 0 0 0 "MG" 1991
5 1992 0 13.0370967741935 0 0 0 "MG" 1992
5 1993 0.193548387096774 9.58225806451613 0 0 0 "MG" 1993
5 1994 0.161290322580645 11.9435483870968 0 0 0 "MG" 1994
5 1995 0.032258064516129 9.14032258064516 0 0 0 "MG" 1995
5 1996 0.225806451612903 11.508064516129 0 0 0 "MG" 1996
5 1997 0.161290322580645 13.4290322580645 0 0 0 "MG" 1997
5 1998 0.032258064516129 11.2274193548387 0 0 0 "MG" 1998
5 2002 5.8 4.45 0 0 0 "MG" 2002
5 2003 0 12.0142857142857 0 0 0 "MG" 2003
5 2004 0 13.371875 0 0 0 "MG" 2004
5 2005 0 11.7233333333333 0 0 0 "MG" 2005
5 2007 0 10.6 0 0 0 "MG" 2007
5 2014 1.75 14.65 0 0 0 "MG" 2014
5 2016 0.3 5.25 0 0 0 "MG" 2016
6 1970 0.0333333333333333 16.4033333333333 0 0 0 "MG" 1970
6 1971 0 16.06 0 0 0 "MG" 1971
6 1972 0.266666666666667 19.01 0 0 0 "MG" 1972
6 1973 0.3 18.0166666666667 0 0 0 "MG" 1973
6 1974 0.133333333333333 16.9116666666667 0 0 0 "MG" 1974
6 1975 0.0666666666666667 16.9683333333333 0 0 0 "MG" 1975
6 1976 0.7 18.1016666666667 0 0 0 "MG" 1976
6 1977 0.466666666666667 17.8716666666667 0 0 0 "MG" 1977
6 1978 0.233333333333333 19.6816666666667 0 0 0 "MG" 1978
6 1979 0.166666666666667 20.1083333333333 0 0 0 "MG" 1979
6 1980 0.3 17.3016666666667 0 0 0 "MG" 1980
6 1981 0 19.295 0 0 0 "MG" 1981
6 1982 1.73333333333333 18.0116666666667 0 0 0 "MG" 1982
6 1983 1.8 14.6133333333333 0 0 0 "MG" 1983
6 1984 0.566666666666667 17.4966666666667 0 0 0 "MG" 1984
6 1985 1.06666666666667 15.0333333333333 0 0 0 "MG" 1985
6 1986 2.6 16.495 0 0 0 "MG" 1986
