"MONTH","YEAR","ave_precip_mo","ave_mo_t","opium_t","mj_t","coca_t","fips"
1,1996,NA,19.575,2,2,2,"AG"
1,2002,3.63333333333333,13.35,25,25,0,"AG"
1,2003,5.025,13.85,3,3,0,"AG"
1,2004,0.595652173913043,14.6866666666667,15,15,0,"AG"
2,1996,4.1,13.9,1,1,0,"AG"
2,1997,NA,14,1,1,0,"AG"
2,2002,0.471428571428571,14.345652173913,23,23,1,"AG"
2,2003,3.57,13.0676470588235,17,17,1,"AG"
2,2004,0.554545454545455,14.1555555555556,18,18,1,"AG"
3,1996,0,14.95,1,1,0,"AG"
3,1997,NA,13.9,1,1,0,"AG"
3,2002,13.9666666666667,15.4962962962963,27,27,2,"AG"
3,2003,0.736363636363636,15.0895833333333,24,24,4,"AG"
3,2004,0,16,1,1,0,"AG"
4,1996,1.5,17.9,1,1,0,"AG"
4,2002,3.95714285714286,16.1473684210526,19,19,3,"AG"
4,2003,4.82,16.7,26,27,8,"AG"
5,1996,3.3,17.925,2,2,1,"AG"
5,2001,NA,21.6125,4,4,4,"AG"
5,2002,7,19.7970588235294,15,17,14,"AG"
5,2003,3.3,18.9352941176471,17,17,13,"AG"
6,1996,91.95,NA,0,0,0,"AG"
6,1997,NA,25.9,0,1,0,"AG"
6,2001,NA,23.4727272727273,14,19,17,"AG"
6,2002,0.766666666666667,22.3,15,20,20,"AG"
6,2003,NA,24.821875,4,14,10,"AG"
7,2001,NA,25.16875,2,22,13,"AG"
7,2002,0.6,23.7272727272727,6,11,9,"AG"
7,2003,0,26.76,0,11,3,"AG"
8,1997,3,NA,0,0,0,"AG"
8,2001,NA,26.8444444444444,0,13,2,"AG"
8,2002,NA,24.9527777777778,0,18,10,"AG"
8,2003,0,27.865,0,9,1,"AG"
9,2001,4,24.1057692307692,8,26,23,"AG"
9,2002,NA,23.7325,8,20,17,"AG"
9,2003,NA,24.7647058823529,3,16,9,"AG"
10,1995,0,21.975,2,2,2,"AG"
10,1996,NA,19.35,1,1,1,"AG"
10,2001,2.05,23.125,15,21,19,"AG"
10,2002,0,21.172,23,25,25,"AG"
10,2003,3.90833333333333,21.7078947368421,15,19,19,"AG"
11,1995,NA,23.5,1,1,1,"AG"
11,2001,5.75555555555556,15.621875,16,16,3,"AG"
11,2002,1.0625,18.035,20,20,11,"AG"
11,2003,1.93333333333333,17.1269230769231,13,13,2,"AG"
12,2001,6.45,13.11875,24,24,0,"AG"
12,2002,2.5,16.7305555555556,18,18,4,"AG"
12,2003,1.20833333333333,14.5047619047619,21,21,0,"AG"
1,1974,0.727307692307692,NA,0,0,0,"AR"
1,1975,3.476875,NA,0,0,0,"AR"
1,1976,NA,25,0,0.5,0.5,"AR"
1,1977,2.94786324786325,NA,0,0,0,"AR"
1,1978,3.55333333333333,24.25,0,1,1,"AR"
1,1979,2.52298850574713,25.2307692307692,1,5.5,4,"AR"
1,1980,3.48747368421053,24.7638888888889,1.5,7,5.5,"AR"
1,1981,2.64529780564263,23.1515151515152,4,8.5,8,"AR"
1,1982,4.425,26.9,0,1,0,"AR"
1,1983,5.84789473684211,23.6991477272727,3.5,8.5,4.5,"AR"
1,1984,10.8258823529412,23.55,6,10.5,7.5,"AR"
1,1985,0,NA,0,0,0,"AR"
1,1986,0,NA,0,0,0,"AR"
1,1987,0.960526315789474,NA,0,0,0,"AR"
1,1988,1.14347826086957,23.93,1.5,6,3,"AR"
1,1989,3.34736842105263,24.81875,2,3,3,"AR"
1,1990,1.405,28.075,0.5,2,0.5,"AR"
1,1991,4.17,23.9909090909091,2,5,2.5,"AR"
1,1992,1.79166666666667,25.671875,1,5.5,2.5,"AR"
1,1993,7.07368421052632,24.775,1,3,2.5,"AR"
1,1994,4.97777777777778,24.85,0.5,1.5,0.5,"AR"
1,1995,3.1625,23.6833333333333,1.5,4.5,3,"AR"
1,1996,3.0125,25.9928571428571,1,5,2,"AR"
1,1997,4.58421052631579,24.9384615384615,2,10,5,"AR"
1,1998,7.44117647058824,25.2727272727273,2,9,4,"AR"
1,1999,NA,24.8055555555556,2,7,4,"AR"
1,2000,2.98333333333333,24.2777777777778,3,9,7,"AR"
1,2001,18.3,25.0625,5,9,7,"AR"
1,2002,10.4105263157895,24.6142857142857,4,12,7,"AR"
1,2003,2.84583333333333,26.3954545454545,1,7,4,"AR"
1,2004,4.57916666666667,26.8,2,7,3,"AR"
1,2005,6.04,24.3227272727273,3,8,3,"AR"
1,2006,15.6,26.7625,4,6,4,"AR"
1,2007,14.0736842105263,25.5964285714286,3,12,5,"AR"
1,2008,31.7857142857143,25.4277777777778,6,11,8,"AR"
1,2009,7.75625,22.75,4,5,4,"AR"
1,2010,6.44444444444444,27.1954545454545,2,5,2,"AR"
1,2011,8.1375,26.034375,3,9,8,"AR"
1,2012,5.35333333333333,28.234375,0,5,2,"AR"
1,2013,7.53888888888889,26.25625,1,9,5,"AR"
1,2014,10.5125,27.85,2,6,4,"AR"
1,2015,7.97222222222222,25.3318181818182,2,9,4,"AR"
1,2016,7.90555555555556,24.45,5,11,10,"AR"
1,2017,8.22,26.6857142857143,2,7,4,"AR"
1,2018,4.48947368421053,25.8,2,10,6,"AR"
1,2019,2.03333333333333,23.1357142857143,2,7,4,"AR"
2,1974,3.08300395256917,NA,0,0,0,"AR"
2,1977,4.29855072463768,NA,0,0,0,"AR"
2,1978,1.89222222222222,NA,0,0,0,"AR"
2,1979,3.69480676328502,21.9,3,4.5,3,"AR"
2,1980,2.34280303030303,23.5416666666667,4.5,8.5,7,"AR"
2,1981,1.468,24.0625,1.5,3,2.5,"AR"
2,1982,6.33333333333333,22.175,2,3,2.5,"AR"
2,1983,2.07857142857143,21.7267857142857,5,8,4.5,"AR"
2,1984,25.9078431372549,22.3409722222222,5,7.5,5.5,"AR"
2,1985,0,NA,0,0,0,"AR"
2,1986,0,NA,0,0,0,"AR"
2,1987,8,NA,0,0,0,"AR"
2,1988,2.755,25.1807692307692,2.5,4,3,"AR"
2,1989,5.54615384615385,26.65,0,2.5,0.5,"AR"
2,1990,5.01666666666667,24.4291666666667,2,5.5,3.5,"AR"
2,1991,12.8615384615385,24.2875,1.5,4,2.5,"AR"
2,1992,1.2,24.98,0.5,1.5,1,"AR"
2,1993,6.53333333333333,23.6214285714286,1.5,2.5,2,"AR"
2,1994,4.08260869565217,24.3722222222222,1.5,4,3,"AR"
2,1995,18.0588235294118,24.0666666666667,1.5,2.5,2,"AR"
2,1996,2.05454545454545,23.7625,3,8,5,"AR"
2,1997,5.075,22.5,3,6,4,"AR"
2,1998,4.43888888888889,20.3714285714286,6,7,5,"AR"
2,1999,NA,25.07,3,7,4,"AR"
2,2000,5.4,23.6222222222222,3,9,6,"AR"
2,2001,4.85714285714286,27.0227272727273,1,6,2,"AR"
2,2002,13.1555555555556,23.9333333333333,3,9,3,"AR"
2,2003,3.95882352941176,24.86,1,3,1,"AR"
2,2004,2.59166666666667,22.3772727272727,8,11,8,"AR"
2,2005,1.60454545454545,25.7916666666667,0,9,5,"AR"
2,2006,6.86315789473684,24.65,5,9,7,"AR"
2,2007,8.125,23.8615384615385,7,12,9,"AR"
2,2008,10.5631578947368,24.375,4,12,7,"AR"
2,2009,7.59,NA,0,0,0,"AR"
2,2010,6.54705882352941,24.1333333333333,5,6,6,"AR"
2,2011,11.1230769230769,23.46,5,10,8,"AR"
2,2012,6.07058823529412,25.6666666666667,3,11,5,"AR"
2,2013,10.2583333333333,25.17,3,11,5,"AR"
2,2014,13.9055555555556,23.5208333333333,6,10,7,"AR"
2,2015,21.8333333333333,23.365,4,9,6,"AR"
2,2016,4.53571428571429,25.5321428571429,3,11,7,"AR"
2,2017,9.18461538461538,25.7208333333333,2,8,5,"AR"
2,2018,5.59,25.79,3,6,3,"AR"
3,1974,3.30991379310345,24.5,0,0.5,0.5,"AR"
3,1976,NA,18.5,0.5,0.5,0.5,"AR"
3,1977,1.74473684210526,24,0,0.5,0.5,"AR"
3,1978,3.90075757575758,NA,0,0,0,"AR"
3,1979,2.47592592592593,18.7467532467532,9,9,7,"AR"
3,1980,1.99211538461538,24.7,2.5,3.5,3,"AR"
3,1981,1.38269230769231,20.8875,11,13.5,10.5,"AR"
3,1982,5.99358974358974,22.4125,4,6,4,"AR"
3,1983,1.78777777777778,20.3653409090909,7,7.5,5.5,"AR"
3,1984,4.94642857142857,18.7892857142857,9,9.5,5.5,"AR"
3,1986,0,NA,0,0,0,"AR"
3,1987,8.6125,NA,0,0,0,"AR"
3,1988,1.77777777777778,23.7272727272727,2.5,5,4,"AR"
3,1989,15.9315789473684,17.9083333333333,5,5,4.5,"AR"
3,1990,4.5625,20.3785714285714,3.5,3.5,3,"AR"
3,1991,5.00833333333333,23.265,3.5,5,4.5,"AR"
3,1992,3.51,23.305,2,4,2.5,"AR"
3,1993,3.64285714285714,22.2214285714286,2,3.5,3,"AR"
3,1994,5.98571428571429,22.5666666666667,2,4.5,2,"AR"
3,1995,6.86,22,4,7,6.5,"AR"
3,1996,2.28235294117647,22.85625,5,8,7,"AR"
3,1997,1.68,22.8944444444444,6,9,8,"AR"
3,1998,1.60666666666667,20.3307692307692,12,13,10,"AR"
3,1999,NA,20.5423076923077,11,13,10,"AR"
3,2000,NA,20.5566666666667,14,15,13,"AR"
3,2001,6.60588235294118,22.5892857142857,8,12,9,"AR"
3,2002,3.99,22.3458333333333,7,12,8,"AR"
3,2003,1.44210526315789,22.28125,5,7,6,"AR"
3,2004,4.47142857142857,23.675,8,14,11,"AR"
3,2005,2.16190476190476,19.8916666666667,5,6,3,"AR"
3,2006,4.22,22.1863636363636,5,11,9,"AR"
3,2007,14.6736842105263,22.3821428571429,10,14,12,"AR"
3,2008,20.7857142857143,21.9541666666667,10,12,12,"AR"
3,2009,6,NA,0,0,0,"AR"
3,2010,8.57142857142857,23.7736842105263,7,18,15,"AR"
3,2011,4.45454545454546,22.0607142857143,8,14,11,"AR"
3,2012,0.416666666666667,23.7583333333333,5,9,5,"AR"
3,2013,6.93571428571429,21.221875,13,14,11,"AR"
3,2014,4.46875,20.4933333333333,15,15,14,"AR"
3,2015,5.63636363636364,22.95,9,15,9,"AR"
3,2016,18.4875,21.609375,15,16,15,"AR"
3,2017,7.18125,22.6071428571429,15,20,18,"AR"
3,2018,5.45,22.6875,7,12,9,"AR"
4,1974,0.1,NA,0,0,0,"AR"
4,1977,1.41930199430199,NA,0,0,0,"AR"
4,1978,0.338086956521739,NA,0,0,0,"AR"
4,1979,2.27857142857143,15.3705357142857,7.5,7.5,1.5,"AR"
4,1980,2.75,15.4642857142857,6,6,1.5,"AR"
4,1981,1.62699579831933,16.4479166666667,11.5,11.5,5,"AR"
4,1982,7.45,16.1333333333333,3,3,1,"AR"
4,1983,4.39539473684211,17.9625,5.5,5.5,3.5,"AR"
4,1984,0.995652173913044,15.2681818181818,5.5,5.5,0.5,"AR"
4,1985,0,NA,0,0,0,"AR"
4,1986,0,NA,0,0,0,"AR"
4,1987,0,NA,0,0,0,"AR"
4,1988,0.03125,18.7944444444444,4.5,4.5,3,"AR"
4,1989,1.77777777777778,18.9611111111111,5,5,4,"AR"
4,1990,1.375,17.8916666666667,6,6,2.5,"AR"
4,1991,14.75,18.9785714285714,3.5,3.5,2.5,"AR"
4,1992,5.045,17.6428571428571,7,7,4,"AR"
