"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1880 -1.30666666666667 0 0 0 "BE" 1880
1 1881 -2.91129032258065 0 0 0 "BE" 1881
1 1882 2.20483870967742 0 0 0 "BE" 1882
1 1883 2.84193548387097 0 0 0 "BE" 1883
1 1884 5.05483870967742 0 0 0 "BE" 1884
1 1885 -0.562903225806452 0 0 0 "BE" 1885
1 1886 0.508064516129032 0 0 0 "BE" 1886
1 1887 -0.211290322580645 0 0 0 "BE" 1887
1 1888 -0.159677419354839 0 0 0 "BE" 1888
1 1889 0.375806451612903 0 0 0 "BE" 1889
1 1890 4.88387096774194 0 0 0 "BE" 1890
1 1891 -1.39193548387097 0 0 0 "BE" 1891
1 1892 0.703225806451613 0 0 0 "BE" 1892
1 1893 -2.15967741935484 0 0 0 "BE" 1893
1 1894 2.34677419354839 0 0 0 "BE" 1894
1 1895 -0.866129032258065 0 0 0 "BE" 1895
1 1896 1.91129032258065 0 0 0 "BE" 1896
1 1897 0.538709677419355 0 0 0 "BE" 1897
1 1898 4.30645161290323 0 0 0 "BE" 1898
1 1899 4.64516129032258 0 0 0 "BE" 1899
1 1900 3.60645161290323 0 0 0 "BE" 1900
1 1901 1.76290322580645 0 0 0 "BE" 1901
1 1902 4.5 0 0 0 "BE" 1902
1 1903 3.43709677419355 0 0 0 "BE" 1903
1 1904 1.32096774193548 0 0 0 "BE" 1904
1 1905 1.2758064516129 0 0 0 "BE" 1905
1 1906 4.03387096774194 0 0 0 "BE" 1906
1 1907 2.20806451612903 0 0 0 "BE" 1907
1 1908 -0.106451612903226 0 0 0 "BE" 1908
1 1909 1.44516129032258 0 0 0 "BE" 1909
1 1910 3.56935483870968 0 0 0 "BE" 1910
1 1911 0.748387096774194 0 0 0 "BE" 1911
1 1912 3.53387096774194 0 0 0 "BE" 1912
1 1913 4.4 0 0 0 "BE" 1913
1 1914 -0.820967741935484 0 0 0 "BE" 1914
1 1915 3.05806451612903 0 0 0 "BE" 1915
1 1916 6.18064516129032 0 0 0 "BE" 1916
1 1917 -0.616129032258065 0 0 0 "BE" 1917
1 1918 3.6758064516129 0 0 0 "BE" 1918
1 1919 2.16129032258065 0 0 0 "BE" 1919
1 1920 4.53709677419355 0 0 0 "BE" 1920
1 1921 6.49032258064516 0 0 0 "BE" 1921
1 1922 1.17741935483871 0 0 0 "BE" 1922
1 1923 3.39838709677419 0 0 0 "BE" 1923
1 1924 1.95161290322581 0 0 0 "BE" 1924
1 1925 4.13064516129032 0 0 0 "BE" 1925
1 1926 2.91290322580645 0 0 0 "BE" 1926
1 1927 3.88225806451613 0 0 0 "BE" 1927
1 1928 3.93064516129032 0 0 0 "BE" 1928
1 1929 -1.31290322580645 0 0 0 "BE" 1929
1 1930 5.67741935483871 0 0 0 "BE" 1930
1 1931 2.95161290322581 0 0 0 "BE" 1931
1 1932 4.56612903225806 0 0 0 "BE" 1932
1 1933 0.411290322580645 0 0 0 "BE" 1933
1 1934 2.5258064516129 0 0 0 "BE" 1934
1 1935 2.57903225806452 0 0 0 "BE" 1935
1 1936 5.08387096774194 0 0 0 "BE" 1936
1 1937 4.34677419354839 0 0 0 "BE" 1937
1 1938 4.02741935483871 0 0 0 "BE" 1938
1 1939 5.05483870967742 0 0 0 "BE" 1939
1 1940 -4.45161290322581 0 0 0 "BE" 1940
1 1941 -1.67096774193548 0 0 0 "BE" 1941
1 1942 -3.97903225806452 0 0 0 "BE" 1942
1 1943 4.06451612903226 0 0 0 "BE" 1943
1 1944 5.06290322580645 0 0 0 "BE" 1944
1 1945 -2.47903225806452 0 0 0 "BE" 1945
1 1946 0.511290322580645 0 0 0 "BE" 1946
1 1947 -0.304838709677419 0 0 0 "BE" 1947
1 1948 5.67258064516129 0 0 0 "BE" 1948
1 1949 4.5241935483871 0 0 0 "BE" 1949
1 1950 1.40806451612903 0 0 0 "BE" 1950
1 1951 4.20322580645161 0 0 0 "BE" 1951
1 1952 2.58870967741935 0 0 0 "BE" 1952
